Snapshot Date,Symbol,Underlying Price,Expiry Date,DTE,Side,Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
2025-08-21 21:00:10,AAL,0,2025-10-17,57,C,3.0,-,9.05,10.1,11.15,0,1,294.28%,0.97,0.005,-0.01,0.0
2025-08-21 21:00:10,AAL,0,2025-10-17,57,C,4.0,-,8.8,8.85,8.9,0,0,168.34%,0.98,0.0054,0.0,0.0
2025-08-21 21:00:10,AAL,0,2025-10-17,57,C,5.0,-,7.8,7.85,7.9,0,2,136.04%,0.98,0.0076,0.0,0.0
2025-08-21 21:00:10,AAL,0,2025-10-17,57,C,6.0,-,6.8,6.85,6.9,0,7,110.06%,0.97,0.0105,0.0,0.0
2025-08-21 21:00:10,AAL,0,2025-10-17,57,C,7.0,-,5.8,5.85,5.9,0,25,88.32%,0.97,0.0146,0.0,0.0
2025-08-21 21:00:10,AAL,0,2025-10-17,57,C,8.0,-,4.85,4.9,4.95,0,52,80.60%,0.95,0.0256,0.0,0.01
2025-08-21 21:00:10,AAL,0,2025-10-17,57,C,9.0,-,3.9,3.95,4.0,0,106,70.10%,0.92,0.0413,-0.01,0.01
2025-08-21 21:00:10,AAL,0,2025-10-17,57,C,10.0,3.05,2.97,3.01,3.05,4,"1,346",59.19%,0.88,0.0662,-0.01,0.01
2025-08-21 21:00:10,AAL,0,2025-10-17,57,C,11.0,2.20,2.12,2.14,2.16,5,"2,279",51.80%,0.8,0.1051,-0.01,0.01
2025-08-21 21:00:10,AAL,0,2025-10-17,57,C,12.0,1.43,1.39,1.41,1.43,391,"9,712",48.03%,0.67,0.1472,-0.01,0.02
2025-08-21 21:00:10,AAL,0,2025-10-17,57,C,13.0,0.86,0.84,0.86,0.87,199,"11,731",45.97%,0.51,0.1698,-0.01,0.02
2025-08-21 21:00:10,AAL,0,2025-10-17,57,C,14.0,0.49,0.48,0.49,0.49,475,"6,491",45.19%,0.35,0.1599,-0.01,0.02
2025-08-21 21:00:10,AAL,0,2025-10-17,57,C,15.0,0.25,0.25,0.26,0.27,"5,467","21,647",44.93%,0.22,0.1279,-0.01,0.02
2025-08-21 21:00:10,AAL,0,2025-10-17,57,C,16.0,0.16,0.13,0.15,0.16,110,"1,372",46.02%,0.13,0.0915,0.0,0.01
2025-08-21 21:00:10,AAL,0,2025-10-17,57,C,17.0,0.09,0.06,0.08,0.1,2,"1,147",47.02%,0.08,0.0616,0.0,0.01
2025-08-21 21:00:10,AAL,0,2025-10-17,57,C,18.0,0.04,0.03,0.05,0.07,7,401,49.10%,0.05,0.042,0.0,0.01
2025-08-21 21:00:10,AAL,0,2025-10-17,57,C,19.0,0.06,0.0,0.04,0.07,1,181,51.78%,0.04,0.0299,0.0,0.0
2025-08-21 21:00:10,AAL,0,2025-10-17,57,C,20.0,-,0.0,0.03,0.06,0,148,55.74%,0.03,0.0236,0.0,0.0
2025-08-21 21:00:10,AAL,0,2025-10-17,57,C,21.0,-,0.0,0.03,0.06,0,19,60.65%,0.03,0.0205,0.0,0.0
2025-08-21 21:00:10,AAL,0,2025-10-17,57,C,22.0,-,0.0,0.03,0.05,0,160,63.53%,0.02,0.0165,0.0,0.0
2025-08-21 21:00:10,AAL,0,2025-10-17,57,C,23.0,-,0.0,0.03,0.05,0,10,67.78%,0.02,0.0148,0.0,0.0
2025-08-21 21:00:10,AAL,0,2025-10-17,57,C,24.0,-,0.0,0.02,0.04,0,0,69.66%,0.02,0.0119,0.0,0.0
2025-08-21 21:00:10,AAL,0,2025-10-17,57,C,25.0,-,0.0,0.02,0.04,0,0,73.40%,0.02,0.0109,0.0,0.0
2025-08-21 21:00:10,AAL,0,2025-10-17,57,C,26.0,-,0.0,0.05,0.1,0,0,87.62%,0.03,0.0162,0.0,0.0
