Snapshot Date,Symbol,Underlying Price,Expiry Date,DTE,Side,Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
2025-08-23 12:46:39,AAL,0,2025-10-17,55,P,3.0,-,0.0,0.01,0.02,0,0,159.69%,0.0,0.0012,0.0,0.0
2025-08-23 12:46:39,AAL,0,2025-10-17,55,P,4.0,-,0.0,0.01,0.02,0,0,130.08%,0.0,0.0017,0.0,0.0
2025-08-23 12:46:39,AAL,0,2025-10-17,55,P,5.0,-,0.0,0.08,0.15,0,0,146.22%,-0.02,0.0066,0.0,0.0
2025-08-23 12:46:39,AAL,0,2025-10-17,55,P,6.0,-,0.0,0.06,0.12,0,11,116.77%,-0.02,0.0085,0.0,0.0
2025-08-23 12:46:39,AAL,0,2025-10-17,55,P,7.0,-,0.0,0.02,0.04,0,132,80.64%,-0.01,0.0074,0.0,0.0
2025-08-23 12:46:39,AAL,0,2025-10-17,55,P,8.0,-,0.0,0.03,0.06,0,350,70.27%,-0.02,0.013,0.0,0.0
2025-08-23 12:46:39,AAL,0,2025-10-17,55,P,9.0,0.04,0.04,0.07,0.09,21,"4,777",65.36%,-0.04,0.0259,0.0,0.0
2025-08-23 12:46:39,AAL,0,2025-10-17,55,P,10.0,0.08,0.07,0.08,0.09,20,"11,534",53.65%,-0.06,0.0421,0.0,0.01
2025-08-23 12:46:39,AAL,0,2025-10-17,55,P,11.0,0.15,0.15,0.16,0.17,111,"16,116",48.68%,-0.12,0.0762,0.0,0.01
2025-08-23 12:46:39,AAL,0,2025-10-17,55,P,12.0,0.33,0.31,0.33,0.34,957,"9,453",45.08%,-0.22,0.1234,-0.01,0.02
2025-08-23 12:46:39,AAL,0,2025-10-17,55,P,13.0,0.65,0.62,0.64,0.66,792,"4,237",43.11%,-0.37,0.1653,-0.01,0.02
2025-08-23 12:46:39,AAL,0,2025-10-17,55,P,14.0,1.12,1.12,1.14,1.15,119,262,41.88%,-0.55,0.1785,-0.01,0.02
2025-08-23 12:46:39,AAL,0,2025-10-17,55,P,15.0,1.79,1.77,1.8,1.82,23,42,40.58%,-0.71,0.1586,-0.01,0.02
2025-08-23 12:46:39,AAL,0,2025-10-17,55,P,16.0,-,2.57,2.61,2.65,0,19,40.55%,-0.83,0.1163,0.0,0.01
2025-08-23 12:46:39,AAL,0,2025-10-17,55,P,17.0,-,3.45,3.5,3.55,0,6,39.42%,-0.92,0.0725,0.0,0.01
2025-08-23 12:46:39,AAL,0,2025-10-17,55,P,18.0,-,4.25,4.38,4.5,0,0,0.00%,-1.0,0.0,0.0,0.0
2025-08-23 12:46:39,AAL,0,2025-10-17,55,P,19.0,-,5.4,5.45,5.5,0,0,46.44%,-0.96,0.034,0.0,0.0
2025-08-23 12:46:39,AAL,0,2025-10-17,55,P,20.0,-,6.4,6.45,6.5,0,0,53.46%,-0.96,0.0302,0.0,0.0
2025-08-23 12:46:39,AAL,0,2025-10-17,55,P,21.0,-,7.4,7.63,7.85,0,0,83.13%,-0.88,0.045,-0.01,0.01
2025-08-23 12:46:39,AAL,0,2025-10-17,55,P,22.0,-,8.4,8.45,8.5,0,0,66.53%,-0.96,0.0253,0.0,0.0
2025-08-23 12:46:39,AAL,0,2025-10-17,55,P,23.0,-,9.4,9.45,9.5,0,0,72.64%,-0.96,0.0237,0.0,0.0
2025-08-23 12:46:39,AAL,0,2025-10-17,55,P,24.0,-,10.4,10.45,10.5,0,0,78.50%,-0.96,0.0224,0.0,0.0
2025-08-23 12:46:39,AAL,0,2025-10-17,55,P,25.0,-,11.4,11.45,11.5,0,0,84.13%,-0.95,0.0213,0.0,0.01
2025-08-23 12:46:39,AAL,0,2025-10-17,55,P,26.0,-,12.15,12.33,12.5,0,0,0.00%,-1.0,0.0,0.0,0.0
