Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
3.00,-,9.30,10.25,11.20,0,1,436.30%,0.98,0.0040,-0.02,0.00
4.00,-,8.30,9.28,10.25,0,0,367.56%,0.97,0.0064,-0.02,0.00
5.00,-,8.10,8.15,8.20,0,0,223.59%,0.99,0.0051,-0.01,0.00
6.00,-,7.10,7.18,7.25,0,0,202.56%,0.98,0.0092,-0.01,0.00
6.50,-,6.60,6.68,6.75,0,0,183.44%,0.98,0.0109,-0.01,0.00
7.00,-,6.10,6.18,6.25,0,0,165.75%,0.97,0.0130,-0.01,0.00
7.50,-,5.60,5.68,5.75,0,0,149.28%,0.97,0.0155,-0.01,0.00
8.00,-,5.10,5.18,5.25,0,0,133.85%,0.97,0.0186,-0.01,0.00
8.50,-,4.65,4.70,4.75,0,0,129.64%,0.96,0.0258,-0.01,0.00
9.00,-,4.15,4.20,4.25,0,0,115.06%,0.95,0.0316,-0.01,0.00
9.50,-,3.65,3.70,3.75,0,0,101.15%,0.94,0.0391,-0.01,0.00
10.00,3.14,3.15,3.20,3.25,33,28,87.80%,0.94,0.0495,-0.01,0.00
10.50,-,2.70,2.72,2.74,0,145,79.81%,0.92,0.0676,-0.01,0.00
11.00,2.15,2.22,2.24,2.26,54,455,70.71%,0.89,0.0925,-0.01,0.01
11.50,1.70,1.75,1.78,1.80,2,536,62.99%,0.85,0.1295,-0.01,0.01
12.00,1.29,1.32,1.35,1.37,87,976,57.76%,0.78,0.1790,-0.02,0.01
12.50,0.91,0.94,0.96,0.98,54,709,53.71%,0.69,0.2332,-0.02,0.01
13.00,0.65,0.64,0.66,0.67,563,"1,782",52.24%,0.56,0.2667,-0.02,0.01
13.50,0.41,0.40,0.42,0.43,151,"3,750",50.70%,0.42,0.2724,-0.02,0.01
14.00,0.24,0.24,0.26,0.27,243,"2,672",50.60%,0.30,0.2418,-0.02,0.01
14.50,0.16,0.14,0.16,0.17,"8,066","5,551",51.36%,0.20,0.1930,-0.01,0.01
15.00,0.11,0.08,0.10,0.11,7,"1,968",52.68%,0.13,0.1440,-0.01,0.01
15.50,-,0.00,0.03,0.06,0,424,46.71%,0.06,0.0847,0.00,0.00
16.00,0.03,0.03,0.04,0.05,27,298,56.78%,0.06,0.0746,-0.01,0.00
16.50,-,0.00,0.09,0.18,0,46,76.06%,0.10,0.0786,-0.01,0.00
17.00,-,0.00,0.10,0.19,0,10,84.28%,0.09,0.0692,-0.01,0.00
17.50,0.02,0.00,0.01,0.02,2,2,60.79%,0.02,0.0243,0.00,0.00
18.00,-,0.00,0.01,0.02,0,0,65.78%,0.02,0.0212,0.00,0.00
19.00,-,0.00,0.01,0.02,0,55,75.19%,0.01,0.0168,0.00,0.00
20.00,0.01,0.00,0.01,0.02,42,2,83.93%,0.01,0.0139,0.00,0.00
21.00,-,0.00,0.01,0.01,0,0,84.93%,0.01,0.0078,0.00,0.00
22.00,-,0.00,0.01,0.01,0,0,92.16%,0.01,0.0068,0.00,0.00
22.50,-,0.00,0.01,0.01,0,0,95.62%,0.01,0.0064,0.00,0.00
23.00,-,0.00,0.01,0.01,0,0,98.99%,0.01,0.0060,0.00,0.00
25.00,-,0.00,0.01,0.01,0,0,111.61%,0.01,0.0048,0.00,0.00
