Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
1.00,-,0.00,0.05,0.09,0,1,176.88%,-0.01,0.0009,0.00,0.00
2.00,-,0.00,0.05,0.09,0,0,126.11%,-0.01,0.0019,0.00,0.00
3.00,-,0.00,0.08,0.16,0,171,109.36%,-0.02,0.0038,0.00,0.00
4.00,-,0.00,0.06,0.11,0,7,82.43%,-0.02,0.0051,0.00,0.00
5.00,-,0.00,0.04,0.07,0,"23,337",62.44%,-0.01,0.0061,0.00,0.00
6.00,0.07,0.00,0.07,0.13,9,0,57.20%,-0.03,0.0114,0.00,0.01
7.00,-,0.08,0.11,0.14,0,"3,287",52.29%,-0.05,0.0195,0.00,0.01
8.00,-,0.16,0.18,0.20,0,"27,513",48.00%,-0.08,0.0313,0.00,0.01
9.00,-,0.29,0.31,0.33,0,"13,437",45.44%,-0.13,0.0475,0.00,0.02
10.00,-,0.48,0.51,0.53,0,"19,514",43.19%,-0.19,0.0662,0.00,0.03
11.00,0.80,0.77,0.79,0.81,152,"15,844",41.48%,-0.28,0.0845,0.00,0.03
12.00,1.20,1.15,1.17,1.20,1,"8,710",40.05%,-0.38,0.0992,0.00,0.04
13.00,-,1.65,1.67,1.69,0,"16,680",38.96%,-0.48,0.1071,0.00,0.04
14.00,-,2.25,2.28,2.30,0,72,38.23%,-0.58,0.1067,0.00,0.04
15.00,-,2.94,3.00,3.05,0,"4,940",38.33%,-0.67,0.0984,0.00,0.03
16.00,-,3.70,3.75,3.80,0,5,37.36%,-0.76,0.0877,0.00,0.03
17.00,-,4.55,4.60,4.65,0,493,37.71%,-0.82,0.0739,0.00,0.03
18.00,-,5.45,5.50,5.55,0,0,38.71%,-0.86,0.0613,0.00,0.02
19.00,-,6.40,6.45,6.50,0,0,41.21%,-0.88,0.0522,0.00,0.02
20.00,-,7.40,7.45,7.50,0,2,45.93%,-0.87,0.0471,0.00,0.02
21.00,-,8.40,8.45,8.50,0,0,50.44%,-0.87,0.0433,0.00,0.02
22.00,-,9.40,9.45,9.50,0,0,54.74%,-0.87,0.0403,0.00,0.02
23.00,-,10.40,10.63,10.85,0,0,66.77%,-0.82,0.0406,0.00,0.02
24.00,-,11.40,11.45,11.50,0,0,62.84%,-0.87,0.0359,0.00,0.02
25.00,-,12.40,12.45,12.50,0,0,66.65%,-0.86,0.0343,0.00,0.02
26.00,-,13.40,13.60,13.80,0,0,77.04%,-0.83,0.0347,0.00,0.02
30.00,-,17.40,17.45,17.50,0,0,83.86%,-0.85,0.0290,0.00,0.02
35.00,-,22.40,22.45,22.50,0,0,98.70%,-0.84,0.0260,0.00,0.02
