Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
1.00,-,12.05,12.48,12.90,0,0,"1,000.00%",1.00,0.0000,0.00,0.00
2.00,-,10.15,11.23,12.30,0,3,184.38%,0.97,0.0021,0.00,0.01
3.00,10.40,10.30,10.40,10.50,3,151,147.60%,0.96,0.0041,0.00,0.01
4.00,7.50,9.45,9.52,9.60,0,20,122.35%,0.94,0.0065,0.00,0.02
5.00,8.70,8.55,8.63,8.70,0,956,103.27%,0.92,0.0095,0.00,0.02
8.00,6.30,6.10,6.15,6.20,0,"1,137",72.28%,0.84,0.0219,0.00,0.04
10.00,4.80,4.65,4.70,4.75,0,"11,511",61.03%,0.77,0.0327,0.00,0.05
12.00,3.55,3.45,3.50,3.55,0,"2,588",54.34%,0.67,0.0432,0.00,0.06
15.00,2.14,2.10,2.14,2.18,21,"11,245",48.24%,0.52,0.0539,0.00,0.06
17.00,1.60,1.45,1.50,1.55,0,"1,168",45.66%,0.41,0.0556,0.00,0.06
20.00,0.84,0.83,0.87,0.91,4,"6,972",43.32%,0.28,0.0509,0.00,0.05
22.00,0.65,0.58,0.62,0.65,0,"8,353",42.59%,0.22,0.0449,0.00,0.05
25.00,0.39,0.34,0.37,0.40,0,"3,914",41.93%,0.14,0.0353,0.00,0.03
30.00,0.20,0.15,0.18,0.21,0,"4,730",42.13%,0.08,0.0226,0.00,0.02
35.00,0.12,0.09,0.11,0.12,0,"13,310",43.31%,0.05,0.0150,0.00,0.02
