Snapshot Date,Symbol,Underlying Price,Expiry Date,DTE,Side,Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,90.0,142.77,142.35,143.23,144.1,8,7,0.00%,1.0,0.0,-0.01,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,95.0,136.07,137.35,138.25,139.15,15,12,0.00%,1.0,0.0,-0.01,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,100.0,-,132.95,133.6,134.25,0,7,512.93%,0.99,0.0002,-0.48,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,105.0,-,127.25,128.15,129.05,0,1,0.00%,1.0,0.0,-0.01,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,110.0,123.00,122.45,123.23,124.0,1,11,0.00%,1.0,0.0,-0.01,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,115.0,-,117.35,118.23,119.1,0,9,0.00%,1.0,0.0,-0.01,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,120.0,-,112.4,113.2,114.0,0,1,0.00%,1.0,0.0,-0.01,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,125.0,-,107.3,108.23,109.15,0,5,0.00%,1.0,0.0,-0.01,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,130.0,-,103.0,103.53,104.05,0,1,346.82%,0.99,0.0004,-0.34,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,135.0,97.11,97.3,98.18,99.05,10,4,0.00%,1.0,0.0,-0.02,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,140.0,93.68,92.6,93.4,94.2,8,10,261.67%,1.0,0.0002,-0.12,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,145.0,88.07,87.55,88.35,89.15,17,10,0.00%,1.0,0.0,-0.02,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,150.0,83.90,82.45,83.48,84.5,5,118,256.18%,0.99,0.0005,-0.25,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,155.0,79.00,77.7,78.4,79.1,1,4,211.61%,1.0,0.0003,-0.11,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,160.0,-,72.4,73.23,74.05,0,49,0.00%,1.0,0.0,-0.02,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,165.0,68.70,67.55,68.35,69.15,36,63,0.00%,1.0,0.0,-0.02,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,170.0,63.30,62.8,63.65,64.5,4,332,216.71%,0.98,0.0013,-0.47,0.01
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,175.0,-,57.3,58.22,59.15,0,27,0.00%,1.0,0.0,-0.02,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,177.5,57.40,55.05,56.03,57.0,1,4,174.64%,0.99,0.0012,-0.3,0.01
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,180.0,53.30,52.85,53.68,54.5,6,159,184.93%,0.98,0.0018,-0.48,0.01
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,182.5,-,49.85,50.7,51.55,0,1,0.00%,1.0,0.0,-0.02,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,185.0,48.48,48.05,48.6,49.15,16,45,160.47%,0.98,0.0019,-0.38,0.01
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,187.5,47.00,45.35,45.88,46.4,13,14,102.78%,1.0,0.0003,-0.05,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,190.0,44.80,42.7,43.33,43.95,19,65,0.00%,1.0,0.0,-0.02,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,192.5,-,39.95,40.78,41.6,0,0,0.00%,1.0,0.0,-0.02,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,195.0,38.01,37.45,38.15,38.85,13,120,0.00%,1.0,0.0,-0.02,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,197.5,36.14,35.55,35.9,36.25,22,"3,163",91.39%,0.99,0.0011,-0.09,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,200.0,33.90,33.05,33.35,33.65,179,"10,739",0.00%,1.0,0.0,-0.02,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,202.5,31.50,30.3,30.8,31.3,367,"1,147",0.00%,1.0,0.0,-0.02,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,205.0,28.35,28.05,28.45,28.85,154,"13,082",82.43%,0.98,0.0027,-0.16,0.01
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,207.5,26.25,25.6,25.95,26.3,204,"5,012",75.66%,0.98,0.0032,-0.16,0.01
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,210.0,23.65,22.75,23.2,23.65,680,"17,362",0.00%,1.0,0.0,-0.02,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,212.5,21.05,20.75,21.05,21.35,348,"6,770",71.36%,0.96,0.0064,-0.27,0.01
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,215.0,18.70,18.1,18.48,18.85,"1,774","24,241",57.99%,0.97,0.0062,-0.18,0.01
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,217.5,16.24,15.85,16.08,16.3,492,"4,951",57.95%,0.95,0.01,-0.27,0.02
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,220.0,13.53,13.3,13.5,13.7,"4,762","30,025",45.82%,0.96,0.0108,-0.19,0.01
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,222.5,10.85,10.75,11.0,11.25,"3,829","8,535",38.52%,0.95,0.0144,-0.18,0.02
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,225.0,8.65,8.5,8.63,8.75,"8,420","33,346",36.49%,0.91,0.0249,-0.27,0.03
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,227.5,6.54,6.2,6.33,6.45,"17,831","13,766",33.50%,0.85,0.0401,-0.36,0.04
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,230.0,4.29,4.2,4.3,4.4,"79,529","74,606",32.40%,0.73,0.0589,-0.48,0.06
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,232.5,2.64,2.56,2.61,2.66,"110,852","18,907",31.19%,0.57,0.073,-0.54,0.07
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,235.0,1.48,1.41,1.44,1.47,"165,763","38,788",31.19%,0.39,0.0711,-0.53,0.07
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,237.5,0.74,0.71,0.74,0.76,"52,884","20,030",31.83%,0.23,0.0555,-0.43,0.05
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,240.0,0.36,0.36,0.37,0.37,"61,120","36,536",33.10%,0.13,0.0368,-0.3,0.04
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,242.5,0.18,0.16,0.18,0.19,"19,019","3,879",34.41%,0.07,0.022,-0.2,0.02
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,245.0,0.10,0.09,0.1,0.11,"17,441","24,138",37.04%,0.04,0.0133,-0.14,0.01
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,247.5,0.06,0.05,0.06,0.06,"6,673","7,835",39.18%,0.02,0.0078,-0.09,0.01
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,250.0,0.03,0.03,0.04,0.04,"9,582","21,073",41.97%,0.01,0.0049,-0.06,0.01
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,252.5,0.04,0.02,0.03,0.03,"1,090",395,45.14%,0.01,0.0033,-0.05,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,255.0,0.03,0.02,0.03,0.03,"1,672","6,799",50.03%,0.01,0.0027,-0.05,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,257.5,0.02,0.01,0.02,0.02,484,346,51.69%,0.01,0.0017,-0.03,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,260.0,0.02,0.01,0.02,0.02,"5,188","17,006",56.16%,0.0,0.0015,-0.03,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,265.0,0.01,0.0,0.01,0.01,193,"4,336",58.35%,0.0,0.0006,-0.01,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,270.0,0.01,0.0,0.01,0.01,7,"4,126",66.07%,0.0,0.0004,-0.01,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,275.0,-,0.0,0.01,0.01,0,"2,512",73.58%,0.0,0.0004,-0.01,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,280.0,0.01,0.0,0.01,0.01,3,"8,898",80.88%,0.0,0.0003,-0.01,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,285.0,0.01,0.0,0.01,0.01,7,"1,456",87.99%,0.0,0.0003,-0.02,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,290.0,-,0.0,0.01,0.01,0,"4,481",94.91%,0.0,0.0002,-0.02,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,295.0,-,0.0,0.01,0.01,0,"2,968",101.68%,0.0,0.0002,-0.02,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,300.0,-,0.0,0.01,0.01,0,"2,877",108.30%,0.0,0.0002,-0.02,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,305.0,-,0.0,0.01,0.01,0,"1,562",114.77%,0.0,0.0002,-0.02,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,310.0,-,0.0,0.01,0.01,0,"1,852",121.09%,0.0,0.0001,-0.02,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,315.0,-,0.0,0.01,0.01,0,941,127.29%,0.0,0.0001,-0.02,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,320.0,-,0.0,0.01,0.01,0,"1,202",133.35%,0.0,0.0001,-0.02,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,325.0,-,0.0,0.01,0.01,0,165,139.30%,0.0,0.0001,-0.02,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,330.0,-,0.0,0.01,0.01,0,"1,311",145.14%,0.0,0.0001,-0.02,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,340.0,0.01,0.0,0.01,0.01,2,"1,288",156.48%,0.0,0.0001,-0.02,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,350.0,0.01,0.0,0.01,0.01,51,"1,265",167.41%,0.0,0.0001,-0.02,0.0
2025-08-14 09:05:00,AAPL,0,2025-08-15,1,C,360.0,0.01,0.0,0.01,0.01,1,203,177.97%,0.0,0.0001,-0.02,0.0
