Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
110.00,-,122.75,123.75,124.75,0,7,164.42%,0.99,0.0003,-0.07,0.01
120.00,-,112.75,113.75,114.75,0,11,145.61%,0.99,0.0004,-0.07,0.01
125.00,-,107.60,108.73,109.85,0,7,134.81%,0.99,0.0004,-0.06,0.01
130.00,-,102.90,103.80,104.70,0,4,131.89%,0.99,0.0005,-0.08,0.02
135.00,-,97.85,98.78,99.70,0,9,122.01%,0.99,0.0005,-0.07,0.01
140.00,-,92.60,93.57,94.55,0,11,92.72%,1.00,0.0002,-0.03,0.00
145.00,-,87.65,88.55,89.45,0,17,75.87%,1.00,0.0001,-0.02,0.00
150.00,-,83.30,83.88,84.45,0,28,104.79%,0.98,0.0008,-0.08,0.02
155.00,-,77.60,78.78,79.95,0,5,92.15%,0.99,0.0007,-0.06,0.02
160.00,72.73,72.70,73.78,74.85,8,10,85.29%,0.99,0.0008,-0.06,0.02
165.00,67.51,67.60,68.63,69.65,8,2,65.85%,1.00,0.0004,-0.03,0.01
170.00,-,62.70,63.68,64.65,0,17,65.26%,0.99,0.0007,-0.04,0.01
175.00,-,57.80,58.68,59.55,0,12,59.14%,0.99,0.0008,-0.04,0.01
180.00,52.74,52.85,53.55,54.25,8,125,0.00%,1.00,0.0000,-0.02,0.00
185.00,47.53,48.00,48.65,49.30,8,133,44.67%,0.99,0.0007,-0.03,0.01
190.00,43.20,42.70,43.70,44.70,5,103,43.82%,0.99,0.0013,-0.04,0.01
195.00,39.72,38.30,38.88,39.45,2,200,46.25%,0.97,0.0028,-0.07,0.03
200.00,34.12,33.45,33.90,34.35,21,"1,261",41.21%,0.97,0.0036,-0.07,0.04
202.50,32.20,30.90,31.40,31.90,343,109,38.33%,0.97,0.0040,-0.07,0.04
205.00,29.20,28.80,29.10,29.40,23,"1,637",39.84%,0.95,0.0056,-0.09,0.05
207.50,26.77,26.25,26.63,27.00,73,101,37.24%,0.94,0.0065,-0.09,0.06
210.00,24.65,23.90,24.20,24.50,180,"1,559",35.37%,0.93,0.0077,-0.09,0.07
212.50,21.15,21.30,21.78,22.25,16,37,33.30%,0.92,0.0092,-0.10,0.07
215.00,19.30,19.20,19.40,19.60,264,"3,658",31.64%,0.90,0.0112,-0.11,0.08
217.50,17.40,16.80,17.13,17.45,14,114,30.68%,0.88,0.0137,-0.12,0.10
220.00,15.11,14.80,14.93,15.05,851,"7,456",29.83%,0.84,0.0166,-0.13,0.12
222.50,13.27,12.50,12.75,13.00,189,301,28.54%,0.80,0.0199,-0.14,0.14
225.00,10.94,10.65,10.78,10.90,842,"8,474",28.00%,0.75,0.0232,-0.15,0.15
227.50,9.06,8.75,8.88,9.00,600,"1,163",27.10%,0.69,0.0266,-0.16,0.17
230.00,7.35,7.10,7.20,7.30,"13,015","19,772",26.63%,0.62,0.0292,-0.17,0.19
232.50,5.80,5.60,5.70,5.80,"3,451","1,010",26.15%,0.55,0.0310,-0.17,0.19
235.00,4.47,4.35,4.43,4.50,"7,460","12,922",25.84%,0.47,0.0315,-0.17,0.19
237.50,3.37,3.30,3.38,3.45,"2,209","1,380",25.71%,0.39,0.0306,-0.16,0.19
240.00,2.49,2.45,2.49,2.52,"18,822","10,813",25.41%,0.32,0.0287,-0.15,0.17
242.50,1.82,1.73,1.80,1.86,"1,407",996,25.25%,0.25,0.0258,-0.13,0.16
245.00,1.28,1.25,1.28,1.31,"12,167","25,306",25.23%,0.19,0.0222,-0.11,0.13
247.50,0.90,0.85,0.91,0.96,763,230,25.34%,0.15,0.0185,-0.09,0.11
250.00,0.67,0.60,0.63,0.66,"6,428","3,853",25.46%,0.11,0.0149,-0.07,0.09
255.00,0.35,0.32,0.36,0.39,"10,686","1,316",26.84%,0.06,0.0095,-0.05,0.06
260.00,0.19,0.18,0.19,0.20,"1,046",954,27.85%,0.04,0.0058,-0.03,0.04
265.00,0.11,0.11,0.11,0.12,"2,083",274,29.38%,0.02,0.0037,-0.02,0.03
270.00,0.07,0.06,0.07,0.08,200,"1,082",30.77%,0.01,0.0023,-0.02,0.02
275.00,0.03,0.04,0.05,0.05,5,509,32.25%,0.01,0.0015,-0.01,0.01
280.00,0.04,0.03,0.04,0.05,14,457,34.86%,0.01,0.0012,-0.01,0.01
285.00,0.02,0.02,0.23,0.44,82,786,47.86%,0.03,0.0026,-0.05,0.03
290.00,-,0.00,0.28,0.55,0,56,52.78%,0.03,0.0026,-0.05,0.03
295.00,-,0.00,0.22,0.43,0,41,54.08%,0.02,0.0020,-0.05,0.03
300.00,0.01,0.01,0.02,0.03,20,35,43.07%,0.00,0.0005,-0.01,0.00
305.00,0.01,0.00,0.12,0.23,1,2,55.45%,0.01,0.0012,-0.03,0.02
310.00,-,0.00,0.12,0.23,0,0,58.33%,0.01,0.0011,-0.03,0.02
315.00,-,0.00,0.12,0.23,0,1,61.15%,0.01,0.0010,-0.03,0.01
320.00,-,0.00,0.11,0.22,0,0,63.53%,0.01,0.0009,-0.03,0.01
325.00,-,0.00,0.11,0.22,0,40,66.21%,0.01,0.0009,-0.03,0.01
