Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
110.00,-,0.00,0.04,0.07,0,0,82.68%,0.00,0.0001,0.00,0.00
120.00,-,0.00,0.04,0.08,0,0,74.51%,0.00,0.0001,-0.01,0.01
125.00,-,0.00,0.05,0.09,0,0,71.01%,0.00,0.0002,-0.01,0.01
130.00,-,0.00,0.05,0.09,0,0,66.78%,0.00,0.0002,-0.01,0.01
135.00,-,0.00,0.05,0.10,0,0,63.40%,0.00,0.0002,-0.01,0.01
140.00,-,0.00,0.06,0.11,0,0,60.02%,0.00,0.0003,-0.01,0.01
145.00,-,0.00,0.06,0.12,0,0,56.68%,0.00,0.0003,-0.01,0.01
150.00,0.04,0.01,0.07,0.13,1,10,53.83%,-0.01,0.0004,-0.01,0.01
155.00,-,0.02,0.08,0.15,0,0,51.26%,-0.01,0.0005,-0.01,0.01
160.00,-,0.04,0.11,0.17,0,16,48.82%,-0.01,0.0006,-0.01,0.02
165.00,0.14,0.07,0.14,0.20,5,7,46.65%,-0.01,0.0008,-0.01,0.02
170.00,-,0.12,0.16,0.19,0,39,43.78%,-0.01,0.0010,-0.01,0.02
175.00,-,0.17,0.22,0.27,0,14,42.26%,-0.02,0.0014,-0.02,0.03
180.00,0.27,0.23,0.26,0.28,11,59,39.42%,-0.02,0.0018,-0.02,0.04
185.00,0.37,0.30,0.35,0.40,48,15,37.66%,-0.03,0.0025,-0.02,0.05
190.00,0.48,0.40,0.46,0.51,1,21,35.53%,-0.04,0.0033,-0.03,0.07
195.00,0.61,0.51,0.58,0.64,15,37,33.15%,-0.05,0.0044,-0.03,0.08
200.00,0.86,0.74,0.79,0.84,24,32,31.32%,-0.07,0.0060,-0.04,0.10
205.00,1.10,0.78,0.97,1.15,29,69,28.51%,-0.09,0.0079,-0.04,0.12
210.00,1.66,1.43,1.53,1.63,88,160,27.79%,-0.14,0.0108,-0.06,0.16
215.00,2.31,2.13,2.25,2.36,38,85,26.53%,-0.20,0.0141,-0.07,0.21
220.00,3.37,3.20,3.30,3.40,25,131,25.47%,-0.27,0.0176,-0.08,0.25
225.00,4.80,4.70,4.83,4.95,33,585,24.68%,-0.37,0.0206,-0.08,0.28
230.00,7.28,6.65,6.80,6.95,38,105,23.73%,-0.48,0.0227,-0.08,0.29
235.00,11.05,9.25,9.40,9.55,3,75,23.04%,-0.59,0.0228,-0.07,0.29
240.00,13.80,12.55,12.75,12.95,18,1,23.08%,-0.70,0.0205,-0.06,0.26
245.00,19.41,16.40,16.60,16.80,2,0,23.27%,-0.78,0.0171,-0.04,0.22
250.00,23.78,20.50,20.93,21.35,1,0,24.14%,-0.84,0.0134,-0.03,0.18
255.00,-,24.05,25.55,27.05,0,2,25.62%,-0.88,0.0104,-0.02,0.15
260.00,-,29.90,30.63,31.35,0,0,29.71%,-0.89,0.0087,-0.03,0.14
265.00,-,35.25,35.78,36.30,0,0,34.24%,-0.89,0.0076,-0.04,0.14
270.00,-,39.60,40.30,41.00,0,0,33.74%,-0.92,0.0060,-0.02,0.11
275.00,-,44.40,45.15,45.90,0,0,35.35%,-0.93,0.0050,-0.02,0.10
280.00,50.65,49.75,50.63,51.50,2,0,42.76%,-0.91,0.0051,-0.04,0.12
285.00,-,54.50,55.73,56.95,0,0,46.62%,-0.91,0.0047,-0.04,0.12
290.00,-,60.20,60.88,61.55,0,0,50.82%,-0.91,0.0044,-0.05,0.12
295.00,-,64.55,65.75,66.95,0,0,52.67%,-0.91,0.0040,-0.05,0.12
300.00,-,69.70,70.80,71.90,0,0,55.92%,-0.92,0.0038,-0.05,0.12
305.00,-,74.70,75.38,76.05,0,0,54.59%,-0.93,0.0032,-0.04,0.10
310.00,-,79.55,80.50,81.45,0,0,58.51%,-0.93,0.0031,-0.04,0.10
315.00,-,84.45,85.25,86.05,0,0,58.39%,-0.94,0.0027,-0.03,0.09
320.00,-,89.50,90.73,91.95,0,0,65.88%,-0.93,0.0029,-0.06,0.10
325.00,-,94.35,95.38,96.40,0,0,64.79%,-0.94,0.0025,-0.04,0.09
