Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
100.00,120.45,128.90,129.53,130.15,0,8,104.89%,0.97,0.0006,-0.06,0.09
105.00,122.55,124.00,124.68,125.35,0,0,100.50%,0.96,0.0007,-0.06,0.09
110.00,100.22,119.00,119.98,120.95,0,1,97.74%,0.96,0.0008,-0.06,0.10
115.00,119.07,114.25,115.05,115.85,0,10,92.84%,0.96,0.0009,-0.06,0.11
120.00,85.11,109.00,109.63,110.25,0,3,83.43%,0.96,0.0009,-0.06,0.10
125.00,-,103.90,105.08,106.25,0,37,82.52%,0.95,0.0011,-0.06,0.12
130.00,100.17,99.20,100.25,101.30,0,71,79.02%,0.95,0.0012,-0.07,0.12
135.00,-,94.40,95.03,95.65,0,8,72.41%,0.95,0.0013,-0.06,0.12
140.00,84.50,89.30,89.98,90.65,0,86,67.46%,0.95,0.0014,-0.06,0.12
145.00,87.25,84.45,85.45,86.45,0,105,66.57%,0.94,0.0016,-0.07,0.14
150.00,82.80,79.75,80.50,81.25,0,625,62.55%,0.93,0.0018,-0.06,0.15
155.00,77.75,74.70,75.38,76.05,0,116,57.50%,0.93,0.0020,-0.06,0.15
160.00,75.32,69.95,70.48,71.00,0,84,54.06%,0.93,0.0023,-0.06,0.16
165.00,70.80,65.20,65.95,66.70,0,570,52.81%,0.91,0.0026,-0.07,0.18
170.00,63.85,60.30,61.05,61.80,0,66,49.35%,0.91,0.0030,-0.07,0.19
175.00,56.95,55.50,56.35,57.20,0,133,46.91%,0.89,0.0034,-0.07,0.21
180.00,53.65,51.25,51.53,51.80,0,162,43.81%,0.88,0.0039,-0.07,0.22
185.00,49.65,46.75,47.00,47.25,0,367,41.93%,0.87,0.0045,-0.07,0.25
190.00,44.36,42.15,42.38,42.60,0,471,39.48%,0.85,0.0052,-0.07,0.27
195.00,38.95,37.70,37.90,38.10,0,520,37.40%,0.83,0.0060,-0.08,0.29
200.00,33.10,33.25,33.40,33.55,1,"1,561",35.01%,0.80,0.0069,-0.08,0.32
205.00,30.05,28.95,29.08,29.20,1,"1,436",32.93%,0.77,0.0080,-0.08,0.35
210.00,24.80,25.00,25.15,25.30,2,"2,077",31.64%,0.73,0.0091,-0.08,0.38
215.00,22.17,21.25,21.38,21.50,0,"3,255",30.26%,0.69,0.0102,-0.08,0.41
220.00,17.71,17.70,17.78,17.85,31,"7,378",28.81%,0.64,0.0114,-0.08,0.43
225.00,14.50,14.45,14.52,14.60,23,"5,943",27.62%,0.58,0.0124,-0.08,0.45
230.00,11.60,11.55,11.60,11.65,37,"7,120",26.52%,0.51,0.0131,-0.08,0.46
235.00,8.90,8.90,8.95,9.00,35,"11,626",25.34%,0.44,0.0136,-0.07,0.45
240.00,6.80,6.80,6.85,6.90,17,"9,288",24.64%,0.38,0.0134,-0.07,0.43
245.00,5.09,5.05,5.10,5.15,96,"32,620",23.98%,0.31,0.0128,-0.06,0.40
250.00,3.66,3.65,3.70,3.75,51,"12,675",23.40%,0.25,0.0118,-0.05,0.36
255.00,2.79,2.62,2.65,2.68,202,"4,874",23.01%,0.19,0.0104,-0.04,0.31
260.00,1.85,1.85,1.86,1.87,265,"7,654",22.69%,0.15,0.0088,-0.04,0.26
265.00,1.28,1.28,1.29,1.30,12,"39,794",22.48%,0.11,0.0072,-0.03,0.21
270.00,1.08,0.93,0.95,0.96,0,"2,030",22.69%,0.08,0.0059,-0.02,0.18
275.00,0.69,0.66,0.68,0.69,101,"1,029",22.79%,0.06,0.0047,-0.02,0.14
280.00,0.47,0.47,0.48,0.49,11,"10,775",22.91%,0.05,0.0037,-0.01,0.11
285.00,0.47,0.35,0.36,0.37,0,631,23.27%,0.04,0.0029,-0.01,0.09
290.00,0.32,0.26,0.27,0.28,0,721,23.61%,0.03,0.0023,-0.01,0.07
295.00,0.26,0.19,0.21,0.22,0,256,23.98%,0.02,0.0018,-0.01,0.06
300.00,0.19,0.14,0.15,0.16,0,"2,003",24.20%,0.02,0.0014,-0.01,0.05
305.00,0.16,0.10,0.12,0.13,0,308,24.57%,0.01,0.0011,-0.01,0.04
310.00,0.13,0.07,0.09,0.10,0,52,24.81%,0.01,0.0009,0.00,0.03
315.00,0.09,0.05,0.07,0.08,0,223,25.14%,0.01,0.0007,0.00,0.02
320.00,0.11,0.03,0.05,0.07,0,21,25.47%,0.01,0.0005,0.00,0.02
325.00,0.07,0.02,0.05,0.07,0,107,26.20%,0.00,0.0005,0.00,0.02
330.00,0.05,0.01,0.05,0.08,0,182,27.20%,0.00,0.0004,0.00,0.02
335.00,0.04,0.02,0.08,0.15,0,198,30.20%,0.01,0.0006,0.00,0.02
340.00,0.04,0.01,0.03,0.06,0,527,28.42%,0.00,0.0003,0.00,0.01
345.00,0.02,0.01,0.03,0.06,0,702,29.34%,0.00,0.0003,0.00,0.01
350.00,0.02,0.01,0.05,0.08,0,"3,266",31.01%,0.00,0.0004,0.00,0.01
