Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
5.00,-,0.00,0.01,0.02,0,"4,879",221.76%,0.00,0.0000,0.00,0.00
10.00,-,0.00,0.01,0.01,0,89,169.29%,0.00,0.0000,0.00,0.00
15.00,-,0.00,0.07,0.13,0,3,183.60%,0.00,0.0000,0.00,0.00
20.00,-,0.00,0.17,0.33,0,53,181.66%,0.00,0.0000,-0.01,0.01
25.00,-,0.00,0.02,0.03,0,6,129.12%,0.00,0.0000,0.00,0.00
30.00,-,0.00,0.07,0.13,0,153,135.66%,0.00,0.0000,0.00,0.00
35.00,-,0.00,0.03,0.05,0,10,114.36%,0.00,0.0000,0.00,0.00
40.00,-,0.00,0.07,0.13,0,"3,050",116.49%,0.00,0.0000,0.00,0.01
45.00,-,0.00,0.01,0.02,0,309,91.89%,0.00,0.0000,0.00,0.00
50.00,-,0.00,0.01,0.01,0,"6,897",81.68%,0.00,0.0000,0.00,0.00
55.00,-,0.00,0.01,0.02,0,677,80.80%,0.00,0.0000,0.00,0.00
60.00,-,0.00,0.12,0.23,0,733,95.75%,0.00,0.0001,0.00,0.01
65.00,-,0.00,0.02,0.03,0,"2,197",74.02%,0.00,0.0000,0.00,0.00
70.00,-,0.00,0.02,0.03,0,"1,289",69.84%,0.00,0.0000,0.00,0.00
75.00,-,0.02,0.13,0.23,0,"3,637",81.29%,0.00,0.0001,0.00,0.01
80.00,0.01,0.01,0.03,0.04,3,"2,422",65.15%,0.00,0.0000,0.00,0.00
85.00,-,0.01,0.03,0.05,0,"1,880",62.63%,0.00,0.0000,0.00,0.01
90.00,-,0.02,0.04,0.05,0,"1,835",60.10%,0.00,0.0001,0.00,0.01
95.00,0.04,0.03,0.05,0.06,30,"1,676",58.25%,0.00,0.0001,0.00,0.01
100.00,0.05,0.04,0.06,0.07,45,"3,728",56.23%,0.00,0.0001,0.00,0.01
105.00,-,0.01,0.05,0.09,0,924,52.64%,0.00,0.0001,0.00,0.01
110.00,-,0.06,0.08,0.10,0,"2,274",52.31%,0.00,0.0002,0.00,0.01
115.00,0.10,0.08,0.10,0.11,5,922,50.39%,0.00,0.0002,0.00,0.02
120.00,0.14,0.10,0.12,0.13,10,"4,519",48.64%,-0.01,0.0002,0.00,0.02
125.00,0.15,0.11,0.14,0.16,25,"2,657",46.78%,-0.01,0.0003,0.00,0.02
130.00,0.18,0.15,0.17,0.19,1,"3,677",45.39%,-0.01,0.0004,-0.01,0.03
135.00,-,0.20,0.21,0.22,0,877,43.94%,-0.01,0.0005,-0.01,0.03
140.00,0.25,0.21,0.24,0.26,3,"3,320",41.94%,-0.01,0.0006,-0.01,0.04
145.00,0.34,0.27,0.29,0.31,15,"3,413",40.57%,-0.01,0.0007,-0.01,0.05
150.00,0.38,0.34,0.36,0.37,5,"4,408",39.19%,-0.02,0.0009,-0.01,0.06
155.00,0.45,0.42,0.44,0.45,2,"3,740",37.85%,-0.02,0.0011,-0.01,0.07
160.00,0.54,0.52,0.54,0.55,13,"6,986",36.56%,-0.03,0.0013,-0.01,0.08
165.00,0.72,0.64,0.66,0.68,5,"12,877",35.33%,-0.03,0.0017,-0.01,0.10
170.00,0.88,0.75,0.79,0.83,142,"16,766",33.91%,-0.04,0.0020,-0.02,0.11
175.00,1.06,0.99,1.01,1.03,9,"12,788",32.98%,-0.05,0.0025,-0.02,0.14
180.00,1.34,1.25,1.27,1.29,119,"11,396",31.96%,-0.07,0.0031,-0.02,0.16
185.00,1.61,1.56,1.59,1.61,97,"7,031",30.93%,-0.08,0.0038,-0.02,0.19
190.00,2.10,1.89,1.96,2.02,34,"14,190",29.83%,-0.10,0.0046,-0.03,0.23
195.00,2.53,2.47,2.50,2.53,305,"21,524",29.10%,-0.13,0.0055,-0.03,0.27
200.00,3.30,3.10,3.15,3.20,148,"19,333",28.30%,-0.15,0.0065,-0.03,0.31
205.00,4.25,3.90,3.95,4.00,112,"6,095",27.52%,-0.19,0.0076,-0.04,0.35
210.00,5.30,4.85,4.90,4.95,29,"5,807",26.69%,-0.23,0.0088,-0.04,0.39
215.00,6.53,6.05,6.10,6.15,177,"8,065",26.00%,-0.27,0.0100,-0.04,0.43
220.00,7.90,7.50,7.55,7.60,160,"8,449",25.36%,-0.33,0.0110,-0.04,0.46
225.00,9.35,9.25,9.30,9.35,148,"5,332",24.81%,-0.38,0.0120,-0.04,0.49
230.00,12.00,11.25,11.35,11.45,57,"2,659",24.27%,-0.45,0.0126,-0.04,0.51
235.00,13.75,13.60,13.73,13.85,64,"2,599",23.79%,-0.51,0.0130,-0.04,0.51
240.00,17.15,16.40,16.50,16.60,75,"3,775",23.49%,-0.57,0.0130,-0.03,0.51
245.00,20.15,19.50,19.75,20.00,5,659,23.53%,-0.63,0.0124,-0.03,0.48
250.00,23.90,22.90,23.25,23.60,6,"3,255",23.53%,-0.69,0.0116,-0.03,0.45
255.00,-,26.80,27.18,27.55,0,180,23.97%,-0.74,0.0106,-0.02,0.42
260.00,33.90,31.00,31.38,31.75,10,565,24.65%,-0.77,0.0095,-0.02,0.39
265.00,-,35.50,35.85,36.20,0,53,25.71%,-0.80,0.0084,-0.02,0.36
270.00,43.16,40.30,40.88,41.45,20,7,28.13%,-0.81,0.0075,-0.02,0.35
275.00,-,45.25,45.85,46.45,0,0,30.32%,-0.82,0.0068,-0.02,0.34
280.00,-,50.20,50.80,51.40,0,0,32.37%,-0.83,0.0061,-0.02,0.33
285.00,-,54.80,55.63,56.45,0,0,33.94%,-0.84,0.0056,-0.02,0.32
290.00,-,59.85,60.65,61.45,0,1,36.08%,-0.84,0.0052,-0.02,0.31
295.00,-,65.30,65.85,66.40,0,0,38.72%,-0.84,0.0049,-0.02,0.31
300.00,-,70.10,70.78,71.45,0,0,40.44%,-0.85,0.0046,-0.02,0.31
310.00,82.05,79.90,80.48,81.05,2,0,43.19%,-0.86,0.0040,-0.02,0.29
320.00,-,90.25,90.80,91.35,0,0,47.92%,-0.86,0.0037,-0.03,0.29
330.00,-,99.85,100.63,101.40,0,0,50.78%,-0.86,0.0034,-0.03,0.28
340.00,-,110.00,110.55,111.10,0,0,53.85%,-0.87,0.0031,-0.03,0.28
350.00,-,120.30,120.78,121.25,0,0,57.88%,-0.86,0.0029,-0.03,0.28
360.00,-,130.30,130.80,131.30,0,0,61.09%,-0.87,0.0027,-0.04,0.28
370.00,-,139.85,140.45,141.05,0,0,62.82%,-0.87,0.0026,-0.03,0.27
380.00,-,150.25,150.68,151.10,0,0,66.59%,-0.87,0.0025,-0.04,0.27
390.00,-,159.85,160.63,161.40,0,0,69.26%,-0.87,0.0023,-0.04,0.27
400.00,-,170.20,170.77,171.35,0,0,72.58%,-0.87,0.0022,-0.04,0.27
