Snapshot Date,Symbol,Underlying Price,Expiry Date,DTE,Side,Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
2025-08-15 09:25:56,AMD,0,2025-08-29,14,C,40.0,-,140.5,141.25,142.0,0,0,390.17%,0.99,0.0002,-0.14,0.01
2025-08-15 09:25:56,AMD,0,2025-08-29,14,C,45.0,-,135.45,136.27,137.1,0,0,362.01%,0.99,0.0002,-0.14,0.01
2025-08-15 09:25:56,AMD,0,2025-08-29,14,C,50.0,-,130.55,131.28,132.0,0,0,334.95%,0.99,0.0003,-0.14,0.01
2025-08-15 09:25:56,AMD,0,2025-08-29,14,C,55.0,-,125.45,126.28,127.1,0,0,310.69%,0.99,0.0003,-0.14,0.01
2025-08-15 09:25:56,AMD,0,2025-08-29,14,C,60.0,-,120.55,121.3,122.05,0,0,290.51%,0.98,0.0004,-0.14,0.01
2025-08-15 09:25:56,AMD,0,2025-08-29,14,C,65.0,-,115.5,116.3,117.1,0,1,270.30%,0.98,0.0004,-0.14,0.01
2025-08-15 09:25:56,AMD,0,2025-08-29,14,C,70.0,-,110.55,111.3,112.05,0,0,251.67%,0.98,0.0005,-0.14,0.02
2025-08-15 09:25:56,AMD,0,2025-08-29,14,C,75.0,-,105.5,106.33,107.15,0,0,235.90%,0.98,0.0005,-0.14,0.02
2025-08-15 09:25:56,AMD,0,2025-08-29,14,C,80.0,-,99.55,100.65,101.75,0,2,136.62%,1.0,0.0001,-0.01,0.0
2025-08-15 09:25:56,AMD,0,2025-08-29,14,C,85.0,-,94.4,95.58,96.75,0,5,0.00%,1.0,0.0,-0.01,0.0
2025-08-15 09:25:56,AMD,0,2025-08-29,14,C,90.0,-,89.55,90.7,91.85,0,26,132.08%,1.0,0.0002,-0.03,0.0
2025-08-15 09:25:56,AMD,0,2025-08-29,14,C,95.0,86.65,85.1,85.95,86.8,2,11,154.03%,0.99,0.0006,-0.07,0.01
2025-08-15 09:25:56,AMD,0,2025-08-29,14,C,100.0,-,81.0,81.33,81.65,0,62,163.94%,0.97,0.001,-0.13,0.02
2025-08-15 09:25:56,AMD,0,2025-08-29,14,C,105.0,76.05,75.65,76.23,76.8,6,34,147.19%,0.98,0.0011,-0.11,0.02
