Snapshot Date,Symbol,Underlying Price,Expiry Date,DTE,Side,Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,40.0,-,0.0,0.1,0.19,0,1,289.20%,0.0,0.0001,-0.03,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,45.0,-,0.0,0.1,0.19,0,0,267.30%,0.0,0.0001,-0.03,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,50.0,-,0.0,0.1,0.19,0,1,247.83%,0.0,0.0001,-0.03,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,55.0,-,0.0,0.1,0.19,0,0,230.30%,0.0,0.0001,-0.03,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,60.0,-,0.0,0.1,0.19,0,6,214.34%,0.0,0.0001,-0.03,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,65.0,-,0.0,0.1,0.19,0,5,199.70%,0.0,0.0001,-0.03,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,70.0,-,0.0,0.1,0.19,0,470,186.18%,0.0,0.0002,-0.03,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,75.0,-,0.0,0.1,0.19,0,"1,488",173.60%,0.0,0.0002,-0.03,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,80.0,-,0.0,0.1,0.19,0,180,161.83%,0.0,0.0002,-0.03,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,85.0,-,0.0,0.01,0.02,0,43,120.44%,0.0,0.0001,0.0,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,90.0,-,0.0,0.01,0.02,0,72,111.93%,0.0,0.0001,0.0,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,95.0,0.04,0.0,0.01,0.02,3,48,103.87%,0.0,0.0001,0.0,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,100.0,0.02,0.01,0.02,0.02,17,"1,229",99.72%,0.0,0.0001,-0.01,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,105.0,0.02,0.0,0.02,0.03,6,78,92.18%,0.0,0.0001,-0.01,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,110.0,0.03,0.01,0.02,0.03,21,206,87.32%,0.0,0.0002,-0.01,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,115.0,0.03,0.02,0.03,0.04,16,"3,065",83.59%,0.0,0.0003,-0.01,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,120.0,0.04,0.03,0.06,0.08,104,"1,161",81.84%,-0.01,0.0005,-0.01,0.01
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,125.0,0.06,0.05,0.07,0.08,206,280,76.16%,-0.01,0.0006,-0.02,0.01
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,126.0,0.07,0.05,0.07,0.08,9,71,74.73%,-0.01,0.0007,-0.02,0.01
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,127.0,-,0.06,0.07,0.08,0,67,73.98%,-0.01,0.0007,-0.02,0.01
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,128.0,0.08,0.06,0.07,0.07,7,59,71.90%,-0.01,0.0007,-0.02,0.01
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,129.0,0.08,0.07,0.08,0.09,6,36,72.35%,-0.01,0.0008,-0.02,0.01
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,130.0,0.09,0.08,0.09,0.1,33,502,72.02%,-0.01,0.0009,-0.02,0.01
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,131.0,0.08,0.08,0.09,0.1,7,"1,031",70.58%,-0.01,0.0009,-0.02,0.01
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,132.0,0.10,0.09,0.1,0.11,4,104,70.13%,-0.01,0.001,-0.02,0.01
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,133.0,0.12,0.09,0.11,0.12,25,113,69.16%,-0.01,0.0011,-0.02,0.01
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,134.0,0.13,0.1,0.12,0.13,15,350,68.58%,-0.01,0.0012,-0.03,0.01
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,135.0,0.11,0.11,0.12,0.13,86,698,67.55%,-0.01,0.0013,-0.03,0.01
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,136.0,0.13,0.12,0.13,0.14,27,115,66.87%,-0.01,0.0014,-0.03,0.01
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,137.0,0.15,0.13,0.14,0.14,24,171,65.78%,-0.01,0.0015,-0.03,0.01
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,138.0,0.15,0.08,0.11,0.15,25,135,62.88%,-0.01,0.0014,-0.03,0.01
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,139.0,0.16,0.15,0.16,0.16,15,534,64.22%,-0.02,0.0017,-0.03,0.02
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,140.0,0.17,0.16,0.17,0.18,113,862,63.66%,-0.02,0.0018,-0.03,0.02
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,141.0,0.18,0.17,0.19,0.2,15,175,63.04%,-0.02,0.002,-0.04,0.02
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,142.0,0.20,0.19,0.2,0.21,4,158,62.34%,-0.02,0.0022,-0.04,0.02
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,143.0,0.21,0.2,0.22,0.23,34,166,61.60%,-0.02,0.0023,-0.04,0.02
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,144.0,0.29,0.22,0.23,0.24,18,187,60.80%,-0.03,0.0025,-0.04,0.02
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,145.0,0.25,0.24,0.25,0.26,836,"1,264",60.17%,-0.03,0.0027,-0.04,0.02
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,146.0,0.27,0.25,0.27,0.28,29,121,59.28%,-0.03,0.0029,-0.05,0.03
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,147.0,0.29,0.27,0.29,0.3,54,277,58.53%,-0.03,0.0031,-0.05,0.03
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,148.0,0.31,0.29,0.31,0.32,33,521,57.73%,-0.03,0.0034,-0.05,0.03
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,149.0,0.36,0.32,0.33,0.34,51,305,57.04%,-0.04,0.0037,-0.05,0.03
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,150.0,0.35,0.35,0.36,0.37,"1,929","2,591",56.45%,-0.04,0.004,-0.06,0.03
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,152.5,0.43,0.42,0.44,0.45,183,656,54.66%,-0.05,0.0048,-0.06,0.04
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,155.0,0.54,0.52,0.54,0.55,589,"2,394",53.07%,-0.06,0.0058,-0.07,0.04
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,157.5,0.67,0.65,0.67,0.68,"1,951","2,197",51.61%,-0.07,0.007,-0.08,0.05
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,160.0,0.84,0.81,0.83,0.84,"2,587","4,504",50.15%,-0.09,0.0084,-0.09,0.06
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,162.5,1.05,1.02,1.04,1.05,466,820,48.87%,-0.11,0.01,-0.11,0.07
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,165.0,1.31,1.29,1.31,1.33,"1,377","1,748",47.79%,-0.14,0.0119,-0.12,0.08
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,167.5,1.60,1.64,1.66,1.68,"1,246","1,857",46.82%,-0.17,0.0139,-0.14,0.1
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,170.0,2.10,2.1,2.11,2.12,"2,117","2,480",46.05%,-0.2,0.0161,-0.15,0.11
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,172.5,2.61,2.55,2.65,2.75,815,"1,024",45.24%,-0.25,0.0182,-0.17,0.12
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,175.0,3.30,3.25,3.3,3.35,"1,765","1,549",44.44%,-0.29,0.0202,-0.18,0.13
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,177.5,4.10,4.05,4.1,4.15,578,"1,548",43.84%,-0.35,0.022,-0.19,0.14
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,180.0,5.05,5.0,5.05,5.1,"4,107","1,117",43.35%,-0.4,0.0233,-0.19,0.15
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,182.5,6.02,6.05,6.13,6.2,"2,753",143,42.71%,-0.46,0.0243,-0.19,0.15
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,185.0,7.35,7.3,7.38,7.45,"2,950",114,42.26%,-0.52,0.0246,-0.19,0.15
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,187.5,8.70,8.7,8.77,8.85,348,60,41.78%,-0.59,0.0244,-0.18,0.15
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,190.0,10.15,10.25,10.3,10.35,453,153,41.13%,-0.65,0.0236,-0.17,0.14
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,192.5,12.30,11.9,11.98,12.05,50,63,40.51%,-0.7,0.0223,-0.15,0.13
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,195.0,14.00,13.05,13.45,13.85,66,59,36.98%,-0.78,0.0211,-0.11,0.11
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,197.5,16.25,15.6,15.7,15.8,26,3,38.94%,-0.81,0.0182,-0.11,0.1
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,200.0,17.80,17.5,17.65,17.8,434,201,36.99%,-0.86,0.0156,-0.08,0.08
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,205.0,22.05,21.8,21.93,22.05,19,69,31.76%,-0.95,0.0084,-0.02,0.04
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,210.0,26.90,26.3,26.43,26.55,96,17,0.00%,-1.0,0.0,0.02,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,215.0,31.20,30.3,30.8,31.3,34,20,0.00%,-1.0,0.0,0.02,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,220.0,-,35.55,35.93,36.3,0,0,0.00%,-1.0,0.0,0.02,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,225.0,-,40.4,40.7,41.0,0,0,0.00%,-1.0,0.0,0.03,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,230.0,-,45.0,45.48,45.95,0,0,0.00%,-1.0,0.0,0.03,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,240.0,-,55.05,56.0,56.95,0,0,0.00%,-1.0,0.0,0.03,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,250.0,-,64.5,65.48,66.45,0,0,0.00%,-1.0,0.0,0.03,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,260.0,-,74.7,75.68,76.65,0,0,0.00%,-1.0,0.0,0.03,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,270.0,-,83.85,85.35,86.85,0,0,0.00%,-1.0,0.0,0.03,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,280.0,-,95.15,96.0,96.85,0,0,0.00%,-1.0,0.0,0.03,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,290.0,-,104.3,105.63,106.95,0,0,0.00%,-1.0,0.0,0.03,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,300.0,-,114.2,115.4,116.6,0,0,0.00%,-1.0,0.0,0.03,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,310.0,-,124.8,125.55,126.3,0,0,0.00%,-1.0,0.0,0.03,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,320.0,-,135.1,135.7,136.3,0,0,0.00%,-1.0,0.0,0.04,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,330.0,-,144.2,145.2,146.2,0,0,0.00%,-1.0,0.0,0.04,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,340.0,-,154.3,155.35,156.4,0,0,0.00%,-1.0,0.0,0.04,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,350.0,-,165.15,166.03,166.9,0,0,0.00%,-1.0,0.0,0.04,0.0
2025-08-14 08:57:21,AMD,0,2025-08-29,15,P,360.0,-,174.2,175.45,176.7,0,0,0.00%,-1.0,0.0,0.04,0.0
