Snapshot Date,Symbol,Underlying Price,Expiry Date,DTE,Side,Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
2025-08-23 12:41:38,AMD,0,2025-10-17,55,P,45.0,-,0.01,0.12,0.23,0,837,139.99%,0.0,0.0001,-0.01,0.01
2025-08-23 12:41:38,AMD,0,2025-10-17,55,P,50.0,-,0.02,0.03,0.03,0,920,109.30%,0.0,0.0001,0.0,0.0
2025-08-23 12:41:38,AMD,0,2025-10-17,55,P,55.0,-,0.03,0.04,0.04,0,515,104.39%,0.0,0.0001,0.0,0.0
2025-08-23 12:41:38,AMD,0,2025-10-17,55,P,60.0,0.03,0.03,0.04,0.05,25,"4,006",97.94%,0.0,0.0001,0.0,0.0
2025-08-23 12:41:38,AMD,0,2025-10-17,55,P,65.0,0.06,0.04,0.05,0.05,20,"1,423",91.84%,0.0,0.0001,0.0,0.0
2025-08-23 12:41:38,AMD,0,2025-10-17,55,P,70.0,-,0.06,0.07,0.07,0,"2,503",88.54%,0.0,0.0002,-0.01,0.01
2025-08-23 12:41:38,AMD,0,2025-10-17,55,P,75.0,0.09,0.08,0.08,0.09,15,"4,115",84.61%,0.0,0.0002,-0.01,0.01
2025-08-23 12:41:38,AMD,0,2025-10-17,55,P,80.0,-,0.11,0.11,0.12,0,"4,996",81.28%,-0.01,0.0003,-0.01,0.01
2025-08-23 12:41:38,AMD,0,2025-10-17,55,P,85.0,0.14,0.15,0.16,0.16,15,"5,554",78.17%,-0.01,0.0004,-0.01,0.01
2025-08-23 12:41:38,AMD,0,2025-10-17,55,P,90.0,0.20,0.19,0.2,0.2,1,"5,259",74.56%,-0.01,0.0006,-0.01,0.02
2025-08-23 12:41:38,AMD,0,2025-10-17,55,P,95.0,0.25,0.24,0.25,0.25,6,"9,111",71.10%,-0.01,0.0007,-0.01,0.02
2025-08-23 12:41:38,AMD,0,2025-10-17,55,P,100.0,0.30,0.3,0.31,0.31,35,"14,308",67.70%,-0.02,0.001,-0.02,0.03
2025-08-23 12:41:38,AMD,0,2025-10-17,55,P,105.0,0.38,0.36,0.38,0.39,7,"3,952",64.29%,-0.02,0.0012,-0.02,0.03
2025-08-23 12:41:38,AMD,0,2025-10-17,55,P,110.0,0.45,0.45,0.46,0.47,12,"5,685",60.96%,-0.03,0.0016,-0.02,0.04
2025-08-23 12:41:38,AMD,0,2025-10-17,55,P,115.0,0.56,0.56,0.57,0.58,35,"4,819",57.81%,-0.03,0.002,-0.03,0.05
2025-08-23 12:41:38,AMD,0,2025-10-17,55,P,120.0,0.75,0.71,0.72,0.73,77,"5,711",54.97%,-0.04,0.0026,-0.03,0.06
