Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
45.00,-,0.00,0.01,0.01,0,397,812.97%,0.00,0.0000,-0.03,0.00
50.00,-,0.00,0.01,0.01,0,"3,276",752.62%,0.00,0.0000,-0.03,0.00
55.00,-,0.00,0.01,0.01,0,"3,083",698.16%,0.00,0.0000,-0.03,0.00
60.00,-,0.00,0.01,0.01,0,"2,020",648.53%,0.00,0.0000,-0.03,0.00
65.00,-,0.00,0.01,0.01,0,"12,537",602.93%,0.00,0.0000,-0.03,0.00
70.00,-,0.00,0.01,0.01,0,"2,116",560.75%,0.00,0.0000,-0.03,0.00
75.00,-,0.00,0.01,0.01,0,"3,511",521.48%,0.00,0.0000,-0.03,0.00
80.00,-,0.00,0.01,0.01,0,"6,616",484.75%,0.00,0.0000,-0.03,0.00
85.00,-,0.00,0.01,0.01,0,"22,133",450.24%,0.00,0.0000,-0.03,0.00
90.00,-,0.00,0.01,0.01,0,"19,358",417.66%,0.00,0.0000,-0.03,0.00
95.00,-,0.00,0.01,0.01,0,"20,516",386.81%,0.00,0.0000,-0.03,0.00
100.00,0.01,0.00,0.01,0.01,3,"15,306",357.49%,0.00,0.0001,-0.03,0.00
105.00,0.01,0.00,0.01,0.01,1,"11,351",329.56%,0.00,0.0001,-0.03,0.00
110.00,0.01,0.00,0.01,0.01,1,"28,974",302.85%,0.00,0.0001,-0.03,0.00
115.00,0.01,0.00,0.01,0.01,3,"9,423",277.26%,0.00,0.0001,-0.03,0.00
120.00,0.01,0.00,0.01,0.01,39,"12,462",252.67%,0.00,0.0001,-0.03,0.00
125.00,0.01,0.00,0.01,0.01,16,"10,218",228.99%,0.00,0.0001,-0.03,0.00
130.00,0.01,0.00,0.01,0.01,42,"17,529",206.13%,0.00,0.0002,-0.03,0.00
135.00,0.01,0.00,0.01,0.01,112,"10,512",184.02%,0.00,0.0002,-0.03,0.00
140.00,0.01,0.00,0.01,0.01,310,"14,249",162.58%,0.00,0.0003,-0.03,0.00
143.00,0.01,0.00,0.01,0.01,613,"3,513",150.01%,0.00,0.0003,-0.03,0.00
144.00,0.03,0.00,0.01,0.01,"1,595","3,157",145.86%,0.00,0.0003,-0.03,0.00
145.00,0.01,0.00,0.01,0.01,"2,804","8,033",141.74%,0.00,0.0003,-0.03,0.00
146.00,0.02,0.01,0.02,0.02,"1,409",973,152.81%,0.00,0.0007,-0.07,0.00
147.00,0.01,0.01,0.02,0.02,573,"1,164",148.35%,0.00,0.0007,-0.07,0.00
148.00,0.03,0.01,0.02,0.02,15,"2,400",143.90%,0.00,0.0008,-0.07,0.00
