Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
40.00,-,140.50,141.20,141.90,0,3,531.70%,0.99,0.0002,-0.25,0.01
45.00,-,135.40,136.20,137.00,0,0,490.72%,0.99,0.0002,-0.25,0.01
50.00,-,130.50,131.23,131.95,0,0,457.33%,0.99,0.0003,-0.25,0.01
55.00,-,125.40,126.20,127.00,0,0,421.88%,0.99,0.0003,-0.25,0.01
60.00,-,120.50,121.23,121.95,0,1,394.91%,0.99,0.0004,-0.25,0.01
65.00,-,115.45,116.23,117.00,0,0,367.75%,0.98,0.0004,-0.25,0.01
70.00,-,110.50,111.23,111.95,0,4,342.71%,0.98,0.0005,-0.25,0.01
75.00,-,105.45,106.25,107.05,0,2,321.57%,0.98,0.0005,-0.25,0.01
80.00,-,100.55,101.25,101.95,0,7,299.77%,0.98,0.0006,-0.25,0.01
85.00,97.00,94.95,95.73,96.50,10,6,222.00%,0.99,0.0003,-0.08,0.01
90.00,91.48,90.95,91.25,91.55,2,6,260.06%,0.98,0.0008,-0.24,0.01
95.00,86.00,85.45,85.90,86.35,46,8,213.41%,0.99,0.0006,-0.14,0.01
100.00,81.03,80.55,81.60,82.65,15,149,243.82%,0.97,0.0012,-0.32,0.02
105.00,76.42,75.05,75.75,76.45,10,41,165.49%,0.99,0.0006,-0.08,0.01
110.00,71.00,70.85,71.03,71.20,4,31,178.20%,0.98,0.0011,-0.17,0.01
115.00,66.28,65.35,65.95,66.55,17,44,158.57%,0.98,0.0012,-0.14,0.01
120.00,61.20,60.50,60.98,61.45,4,94,146.91%,0.98,0.0014,-0.15,0.01
125.00,56.50,55.35,55.85,56.35,11,58,124.84%,0.98,0.0014,-0.11,0.01
126.00,54.38,54.45,55.00,55.55,2,51,132.88%,0.97,0.0017,-0.15,0.02
127.00,53.85,53.05,53.80,54.55,14,95,115.65%,0.98,0.0013,-0.09,0.01
128.00,-,51.40,52.47,53.55,0,37,0.00%,1.00,0.0000,-0.01,0.00
129.00,-,51.05,51.80,52.55,0,72,110.99%,0.98,0.0014,-0.09,0.01
130.00,50.99,50.70,51.13,51.55,20,82,129.38%,0.97,0.0022,-0.18,0.02
131.00,-,49.40,49.97,50.55,0,32,118.85%,0.97,0.0020,-0.14,0.02
132.00,51.30,48.60,49.08,49.55,23,60,121.79%,0.97,0.0023,-0.17,0.02
133.00,-,46.95,47.75,48.55,0,21,97.05%,0.99,0.0014,-0.07,0.01
134.00,46.52,45.40,46.43,47.45,1,47,0.00%,1.00,0.0000,-0.02,0.00
135.00,46.96,45.10,45.68,46.25,3,205,82.52%,0.99,0.0009,-0.04,0.01
136.00,46.11,45.00,45.20,45.40,11,146,117.35%,0.96,0.0029,-0.19,0.02
137.00,43.83,43.05,43.83,44.60,2,89,94.91%,0.98,0.0020,-0.09,0.01
138.00,42.45,41.95,42.75,43.55,1,47,86.28%,0.99,0.0016,-0.07,0.01
139.00,42.50,40.90,41.68,42.45,10,52,74.45%,0.99,0.0010,-0.04,0.01
140.00,41.30,40.75,41.55,42.35,48,619,119.22%,0.94,0.0039,-0.26,0.03
141.00,39.72,39.70,40.18,40.65,11,77,103.81%,0.95,0.0034,-0.18,0.03
