Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
40.00,-,0.00,0.11,0.22,0,1,309.36%,0.00,0.0001,-0.03,0.00
45.00,-,0.00,0.11,0.22,0,0,285.53%,0.00,0.0001,-0.03,0.00
50.00,-,0.00,0.11,0.22,0,1,264.32%,0.00,0.0001,-0.03,0.00
55.00,-,0.00,0.11,0.22,0,0,245.23%,0.00,0.0001,-0.03,0.00
60.00,-,0.00,0.11,0.22,0,6,227.86%,0.00,0.0001,-0.03,0.00
65.00,-,0.00,0.01,0.01,0,5,158.05%,0.00,0.0000,0.00,0.00
70.00,0.01,0.00,0.11,0.22,5,470,197.18%,0.00,0.0002,-0.03,0.00
75.00,-,0.00,0.01,0.01,0,"1,488",136.39%,0.00,0.0000,0.00,0.00
80.00,-,0.00,0.01,0.01,0,180,126.61%,0.00,0.0000,0.00,0.00
85.00,-,0.00,0.01,0.01,0,43,117.43%,0.00,0.0000,0.00,0.00
90.00,0.01,0.00,0.04,0.07,5,72,129.38%,0.00,0.0002,-0.01,0.00
95.00,-,0.00,0.01,0.02,0,48,106.44%,0.00,0.0001,0.00,0.00
100.00,0.03,0.01,0.09,0.17,1,"1,226",123.10%,-0.01,0.0004,-0.03,0.01
105.00,-,0.01,0.02,0.03,0,77,96.33%,0.00,0.0002,-0.01,0.00
110.00,0.03,0.02,0.03,0.04,15,207,92.09%,0.00,0.0003,-0.01,0.00
115.00,0.04,0.03,0.04,0.05,17,"3,052",86.86%,0.00,0.0004,-0.01,0.00
120.00,0.06,0.05,0.06,0.06,"7,038","1,158",82.04%,-0.01,0.0006,-0.02,0.01
125.00,0.07,0.06,0.07,0.08,26,413,76.52%,-0.01,0.0008,-0.02,0.01
126.00,-,0.07,0.08,0.09,0,71,76.24%,-0.01,0.0009,-0.02,0.01
127.00,0.08,0.07,0.08,0.09,12,68,74.68%,-0.01,0.0009,-0.02,0.01
128.00,0.10,0.08,0.09,0.10,31,63,74.26%,-0.01,0.0010,-0.02,0.01
129.00,0.08,0.08,0.09,0.10,12,39,72.70%,-0.01,0.0011,-0.02,0.01
130.00,0.10,0.09,0.10,0.11,86,497,72.15%,-0.01,0.0012,-0.03,0.01
131.00,0.11,0.10,0.11,0.11,58,"1,029",71.06%,-0.01,0.0012,-0.03,0.01
132.00,0.11,0.10,0.11,0.12,9,112,69.95%,-0.01,0.0013,-0.03,0.01
133.00,0.13,0.11,0.12,0.13,5,114,69.24%,-0.01,0.0014,-0.03,0.01
134.00,0.13,0.11,0.13,0.14,12,340,68.07%,-0.01,0.0015,-0.03,0.01
135.00,0.14,0.13,0.14,0.14,12,689,67.25%,-0.02,0.0017,-0.03,0.01
136.00,0.16,0.14,0.15,0.15,34,121,66.39%,-0.02,0.0018,-0.03,0.01
137.00,0.18,0.14,0.15,0.16,13,186,65.14%,-0.02,0.0019,-0.03,0.02
138.00,0.17,0.16,0.17,0.17,13,149,64.50%,-0.02,0.0021,-0.04,0.02
139.00,0.18,0.17,0.18,0.19,33,553,63.79%,-0.02,0.0023,-0.04,0.02
140.00,0.19,0.18,0.19,0.20,129,848,62.74%,-0.02,0.0024,-0.04,0.02
141.00,0.21,0.19,0.20,0.20,13,132,61.40%,-0.02,0.0026,-0.04,0.02
142.00,0.25,0.20,0.21,0.22,7,155,60.54%,-0.03,0.0028,-0.04,0.02
143.00,0.28,0.22,0.23,0.24,3,159,59.86%,-0.03,0.0031,-0.05,0.02
144.00,0.26,0.23,0.24,0.25,10,165,58.67%,-0.03,0.0033,-0.05,0.02
145.00,0.27,0.26,0.27,0.27,"1,004","2,065",58.07%,-0.03,0.0036,-0.05,0.03
146.00,0.33,0.27,0.28,0.29,111,313,57.00%,-0.03,0.0038,-0.05,0.03
147.00,0.32,0.29,0.30,0.31,19,241,56.08%,-0.04,0.0042,-0.06,0.03
148.00,0.32,0.31,0.32,0.33,23,507,55.10%,-0.04,0.0045,-0.06,0.03
149.00,0.36,0.34,0.35,0.36,22,292,54.39%,-0.04,0.0049,-0.06,0.03
150.00,0.38,0.37,0.38,0.39,651,"1,509",53.59%,-0.05,0.0053,-0.06,0.03
152.50,0.48,0.47,0.48,0.48,203,685,51.79%,-0.06,0.0065,-0.07,0.04
155.00,0.60,0.59,0.60,0.61,497,"2,172",50.11%,-0.07,0.0081,-0.09,0.05
157.50,0.78,0.76,0.78,0.79,"1,773","1,586",48.73%,-0.09,0.0099,-0.10,0.06
160.00,1.01,1.00,1.02,1.03,"1,126","4,664",47.61%,-0.12,0.0121,-0.12,0.07
162.50,1.32,1.31,1.33,1.34,386,837,46.55%,-0.15,0.0145,-0.13,0.08
165.00,1.74,1.72,1.73,1.75,915,"1,531",45.70%,-0.19,0.0171,-0.15,0.09
167.50,2.29,2.25,2.27,2.29,"1,145","1,487",45.08%,-0.24,0.0197,-0.17,0.11
170.00,2.95,2.93,2.95,2.97,"1,104","3,169",44.64%,-0.29,0.0221,-0.18,0.12
172.50,3.80,3.75,3.80,3.85,"2,002","1,244",44.44%,-0.35,0.0240,-0.20,0.13
175.00,4.75,4.75,4.80,4.85,"1,162","1,989",44.20%,-0.41,0.0253,-0.20,0.14
177.50,5.90,5.90,5.95,6.00,"1,719","1,712",43.88%,-0.48,0.0261,-0.21,0.14
180.00,7.31,7.25,7.33,7.40,"1,008","2,139",44.03%,-0.54,0.0260,-0.21,0.14
182.50,8.72,8.80,8.85,8.90,152,"1,119",44.12%,-0.60,0.0252,-0.20,0.13
