Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
120.00,53.20,51.90,52.38,52.85,1,1,49.54%,0.85,0.0036,-0.04,0.30
125.00,-,48.20,48.63,49.05,0,0,48.85%,0.83,0.0040,-0.04,0.33
130.00,45.13,44.50,45.25,46.00,5,0,48.83%,0.80,0.0044,-0.05,0.37
135.00,-,40.60,41.43,42.25,0,2,47.24%,0.78,0.0048,-0.05,0.39
140.00,39.20,37.25,38.40,39.55,2,0,47.34%,0.75,0.0052,-0.05,0.42
145.00,-,34.20,34.95,35.70,0,14,46.08%,0.72,0.0056,-0.05,0.44
150.00,32.70,31.25,32.35,33.45,3,15,46.38%,0.69,0.0058,-0.05,0.46
155.00,-,28.45,29.25,30.05,0,3,45.28%,0.65,0.0062,-0.06,0.48
160.00,27.05,25.90,26.50,27.10,104,154,44.60%,0.62,0.0065,-0.06,0.50
165.00,24.82,24.50,24.60,24.70,7,116,45.29%,0.59,0.0066,-0.06,0.51
170.00,22.43,22.30,22.40,22.50,1,202,45.07%,0.56,0.0067,-0.06,0.52
175.00,20.33,20.30,20.38,20.45,48,159,44.90%,0.52,0.0068,-0.06,0.52
180.00,18.83,18.45,18.53,18.60,55,130,44.77%,0.49,0.0068,-0.06,0.52
185.00,17.10,16.75,16.83,16.90,48,110,44.67%,0.46,0.0068,-0.06,0.52
190.00,15.69,15.15,15.25,15.35,6,33,44.55%,0.43,0.0067,-0.05,0.51
195.00,14.40,13.75,13.83,13.90,4,40,44.48%,0.40,0.0066,-0.05,0.51
200.00,12.65,12.50,12.55,12.60,61,93,44.48%,0.38,0.0065,-0.05,0.50
210.00,10.65,10.30,10.35,10.40,33,35,44.54%,0.33,0.0062,-0.05,0.47
220.00,8.65,8.50,8.55,8.60,19,153,44.67%,0.28,0.0058,-0.05,0.44
230.00,-,7.05,7.10,7.15,0,165,44.89%,0.24,0.0053,-0.04,0.41
240.00,5.95,5.85,5.90,5.95,49,79,45.11%,0.21,0.0049,-0.04,0.38
250.00,5.06,4.90,4.95,5.00,6,214,45.44%,0.18,0.0044,-0.04,0.34
260.00,4.30,4.10,4.15,4.20,21,13,45.72%,0.16,0.0040,-0.03,0.31
