Snapshot Date,Symbol,Underlying Price,Expiry Date,DTE,Side,Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,100.0,0.01,0.0,0.1,0.2,10,12,181.52%,0.0,0.0,-0.02,0.01
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,105.0,-,0.0,0.09,0.17,0,0,171.37%,0.0,0.0,-0.02,0.0
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,110.0,-,0.0,0.09,0.18,0,0,165.58%,0.0,0.0,-0.02,0.01
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,115.0,-,0.0,0.1,0.2,0,0,160.85%,0.0,0.0001,-0.02,0.01
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,120.0,-,0.0,0.11,0.21,0,0,155.38%,0.0,0.0001,-0.02,0.01
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,125.0,-,0.0,0.12,0.23,0,0,150.82%,0.0,0.0001,-0.02,0.01
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,130.0,-,0.0,0.12,0.23,0,0,144.95%,0.0,0.0001,-0.02,0.01
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,135.0,-,0.0,0.12,0.24,0,0,139.97%,0.0,0.0001,-0.02,0.01
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,140.0,-,0.0,0.13,0.25,0,0,135.14%,0.0,0.0001,-0.03,0.01
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,145.0,-,0.0,0.12,0.24,0,0,129.25%,0.0,0.0001,-0.02,0.01
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,150.0,-,0.0,0.14,0.27,0,2,125.84%,0.0,0.0001,-0.03,0.01
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,155.0,-,0.0,0.14,0.27,0,0,120.85%,0.0,0.0001,-0.03,0.01
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,160.0,-,0.0,0.14,0.27,0,0,116.02%,0.0,0.0001,-0.03,0.01
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,165.0,-,0.0,0.14,0.27,0,1,111.35%,0.0,0.0001,-0.03,0.01
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,170.0,-,0.0,0.15,0.29,0,1,107.70%,0.0,0.0002,-0.03,0.01
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,175.0,-,0.0,0.12,0.24,0,0,100.99%,0.0,0.0002,-0.02,0.01
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,180.0,0.09,0.05,0.18,0.3,4,50,101.20%,-0.01,0.0002,-0.03,0.01
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,185.0,-,0.0,0.13,0.26,0,0,93.47%,-0.01,0.0002,-0.02,0.01
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,190.0,-,0.0,0.17,0.34,0,51,92.37%,-0.01,0.0003,-0.03,0.01
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,195.0,-,0.0,0.19,0.38,0,4,89.54%,-0.01,0.0003,-0.03,0.02
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,200.0,-,0.06,0.23,0.4,0,27,87.67%,-0.01,0.0004,-0.04,0.02
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,205.0,-,0.0,0.21,0.42,0,14,82.64%,-0.01,0.0004,-0.04,0.02
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,210.0,-,0.05,0.24,0.42,0,8,79.94%,-0.01,0.0004,-0.04,0.02
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,215.0,-,0.04,0.28,0.52,0,11,77.95%,-0.01,0.0005,-0.04,0.03
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,220.0,-,0.4,0.5,0.59,0,58,80.79%,-0.02,0.0007,-0.07,0.04
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,225.0,-,0.33,0.46,0.6,0,23,75.95%,-0.02,0.0008,-0.06,0.04
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,230.0,0.71,0.42,0.56,0.7,14,35,74.24%,-0.02,0.0009,-0.07,0.04
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,235.0,0.84,0.53,0.66,0.78,1,18,72.19%,-0.03,0.0011,-0.08,0.05
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,240.0,0.80,0.64,0.77,0.89,4,67,70.14%,-0.03,0.0013,-0.09,0.06
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,245.0,0.95,0.74,0.89,1.04,2,36,68.06%,-0.04,0.0015,-0.1,0.07
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,250.0,1.36,0.95,1.09,1.22,11,163,66.63%,-0.05,0.0018,-0.12,0.08
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,255.0,1.28,1.26,1.38,1.49,14,79,65.83%,-0.06,0.0022,-0.14,0.09
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,260.0,1.64,1.5,1.6,1.7,22,352,63.82%,-0.07,0.0026,-0.15,0.1
2025-08-15 09:30:32,COIN,0,2025-09-05,21,P,265.0,1.84,1.8,1.86,1.91,28,166,61.76%,-0.08,0.003,-0.16,0.12
