Snapshot Date,Symbol,Underlying Price,Expiry Date,DTE,Side,Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,100.0,-,218.55,221.1,223.65,0,0,0.00%,1.0,0.0,-0.01,0.0
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,105.0,-,214.15,216.68,219.2,0,0,128.15%,1.0,0.0,-0.02,0.01
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,110.0,-,209.25,211.55,213.85,0,0,0.00%,1.0,0.0,-0.01,0.0
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,115.0,-,204.15,206.45,208.75,0,0,0.00%,1.0,0.0,-0.01,0.0
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,120.0,-,199.4,201.88,204.35,0,0,126.35%,1.0,0.0001,-0.04,0.01
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,125.0,-,194.25,196.7,199.15,0,0,96.26%,1.0,0.0,-0.02,0.0
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,130.0,-,190.45,191.55,192.65,0,0,0.00%,1.0,0.0,-0.01,0.0
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,135.0,-,185.35,186.65,187.95,0,0,0.00%,1.0,0.0,-0.02,0.0
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,140.0,-,180.5,181.65,182.8,0,0,0.00%,1.0,0.0,-0.02,0.0
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,145.0,-,175.35,176.8,178.25,0,0,85.11%,1.0,0.0,-0.02,0.0
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,150.0,-,170.45,171.83,173.2,0,0,82.35%,1.0,0.0001,-0.02,0.0
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,155.0,-,165.5,167.0,168.5,0,0,93.94%,0.99,0.0002,-0.04,0.02
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,160.0,-,160.7,161.95,163.2,0,1,85.29%,1.0,0.0001,-0.03,0.01
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,165.0,-,155.55,156.95,158.35,0,0,79.98%,1.0,0.0001,-0.03,0.01
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,170.0,-,150.6,151.8,153.0,0,2,0.00%,1.0,0.0,-0.02,0.0
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,175.0,-,145.7,147.1,148.5,0,0,80.17%,0.99,0.0002,-0.04,0.02
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,180.0,-,140.6,142.13,143.65,0,0,76.94%,0.99,0.0002,-0.04,0.02
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,185.0,-,135.75,137.15,138.55,0,1,73.78%,0.99,0.0003,-0.04,0.02
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,190.0,-,130.85,132.25,133.65,0,1,73.61%,0.99,0.0003,-0.05,0.03
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,195.0,-,125.9,127.48,129.05,0,1,76.09%,0.98,0.0005,-0.06,0.04
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,200.0,-,121.0,122.65,124.3,0,2,75.94%,0.98,0.0006,-0.07,0.05
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,205.0,-,116.0,117.33,118.65,0,0,64.36%,0.99,0.0005,-0.05,0.03
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,210.0,-,111.05,112.78,114.5,0,0,70.55%,0.98,0.0008,-0.08,0.06
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,215.0,100.00,106.85,108.0,109.15,1,0,70.25%,0.97,0.0009,-0.09,0.07
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,220.0,-,101.45,103.15,104.85,0,2,68.51%,0.97,0.0011,-0.09,0.08
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,225.0,-,96.4,98.2,100.0,0,0,65.43%,0.96,0.0012,-0.09,0.08
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,230.0,-,91.65,93.43,95.2,0,0,64.28%,0.96,0.0014,-0.1,0.1
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,235.0,-,86.85,88.65,90.45,0,0,62.83%,0.95,0.0016,-0.11,0.11
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,240.0,-,82.1,83.75,85.4,0,0,60.09%,0.95,0.0017,-0.11,0.12
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,245.0,80.65,77.65,79.13,80.6,5,0,59.47%,0.93,0.002,-0.13,0.13
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,250.0,-,73.0,74.45,75.9,0,0,58.09%,0.92,0.0023,-0.14,0.15
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,255.0,-,68.4,69.9,71.4,0,8,57.21%,0.91,0.0027,-0.15,0.17
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,260.0,-,64.95,65.73,66.5,0,3,57.93%,0.89,0.0031,-0.17,0.2
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,265.0,-,60.6,61.38,62.15,0,2,57.16%,0.87,0.0035,-0.18,0.22
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,270.0,-,55.9,56.9,57.9,0,73,55.47%,0.86,0.0039,-0.19,0.24
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,275.0,55.00,50.35,52.68,55.0,1,82,54.52%,0.84,0.0043,-0.2,0.26
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,280.0,-,47.75,48.78,49.8,0,3,54.37%,0.81,0.0047,-0.22,0.28
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,285.0,-,44.05,45.47,46.9,0,5,55.68%,0.78,0.0051,-0.25,0.31
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,290.0,43.65,39.9,41.22,42.55,2,6,53.46%,0.76,0.0056,-0.25,0.33
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,295.0,31.20,37.5,38.2,38.9,1,3,54.51%,0.72,0.0059,-0.27,0.35
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,300.0,34.95,32.6,33.88,35.15,30,123,51.45%,0.7,0.0065,-0.26,0.37
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,305.0,25.73,31.1,31.73,32.35,1,37,53.84%,0.66,0.0065,-0.29,0.39
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,310.0,28.92,28.4,28.67,28.95,39,24,53.34%,0.62,0.0068,-0.29,0.4
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,315.0,27.98,25.3,25.78,26.25,43,62,52.80%,0.59,0.007,-0.29,0.41
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,320.0,23.30,23.1,23.43,23.75,40,68,53.16%,0.55,0.0071,-0.3,0.41
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,325.0,22.80,20.85,21.3,21.75,58,125,53.62%,0.52,0.0071,-0.3,0.42
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,330.0,20.70,18.3,19.15,20.0,47,171,53.60%,0.48,0.0071,-0.3,0.42
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,335.0,18.02,16.95,17.25,17.55,32,67,53.79%,0.45,0.007,-0.3,0.42
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,340.0,15.73,14.25,15.15,16.05,21,104,53.10%,0.41,0.007,-0.29,0.41
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,345.0,14.17,13.55,13.95,14.35,10,21,54.23%,0.39,0.0067,-0.29,0.4
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,350.0,12.91,12.4,12.65,12.9,40,108,54.80%,0.36,0.0065,-0.29,0.39
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,355.0,11.70,10.75,11.2,11.65,8,85,54.64%,0.33,0.0063,-0.28,0.38
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,360.0,10.62,9.75,10.2,10.65,28,178,55.35%,0.3,0.006,-0.27,0.37
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,365.0,10.55,9.0,9.3,9.6,10,33,56.05%,0.28,0.0057,-0.26,0.35
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,370.0,9.40,8.15,8.33,8.5,8,56,56.27%,0.26,0.0055,-0.25,0.34
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,375.0,8.60,7.35,7.77,8.2,9,24,57.51%,0.24,0.0051,-0.25,0.33
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,380.0,8.00,6.65,6.93,7.2,56,23,57.59%,0.22,0.0049,-0.24,0.31
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,385.0,6.40,5.9,6.15,6.4,8,11,57.64%,0.2,0.0046,-0.22,0.29
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,390.0,6.09,5.3,5.57,5.85,10,21,58.13%,0.18,0.0043,-0.21,0.28
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,395.0,3.95,4.65,5.05,5.45,5,46,58.59%,0.17,0.0041,-0.2,0.26
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,400.0,4.80,4.6,4.78,4.95,99,355,59.83%,0.16,0.0038,-0.2,0.25
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,405.0,-,4.15,4.38,4.6,0,75,60.44%,0.15,0.0036,-0.19,0.24
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,410.0,4.30,3.85,4.05,4.25,4,30,61.20%,0.14,0.0034,-0.18,0.23
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,415.0,4.25,3.55,3.78,4.0,5,112,62.04%,0.13,0.0032,-0.18,0.22
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,420.0,3.79,3.3,3.45,3.6,5,8,62.51%,0.12,0.003,-0.17,0.21
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,425.0,3.50,3.05,3.2,3.35,48,40,63.21%,0.11,0.0028,-0.16,0.2
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,430.0,3.10,2.68,2.89,3.1,2,4,63.45%,0.1,0.0026,-0.15,0.18
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,435.0,-,2.5,2.9,3.3,0,47,65.33%,0.1,0.0025,-0.15,0.18
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,440.0,2.92,2.47,2.59,2.7,54,8,65.30%,0.09,0.0023,-0.14,0.17
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,445.0,2.10,2.11,2.33,2.54,2,8,65.43%,0.08,0.0022,-0.13,0.16
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,450.0,2.20,1.94,2.18,2.41,43,72,66.12%,0.08,0.0021,-0.13,0.15
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,455.0,1.84,1.83,2.05,2.26,4,5,66.86%,0.07,0.0019,-0.13,0.14
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,460.0,2.15,1.76,1.94,2.12,2,38,67.69%,0.07,0.0018,-0.12,0.14
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,465.0,2.00,1.66,1.82,1.98,1,5,68.34%,0.06,0.0017,-0.12,0.13
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,470.0,2.13,1.63,1.76,1.88,7,36,69.35%,0.06,0.0017,-0.11,0.13
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,475.0,-,1.28,1.53,1.78,0,3,68.96%,0.05,0.0015,-0.1,0.12
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,480.0,-,1.22,1.45,1.68,0,3,69.68%,0.05,0.0014,-0.1,0.11
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,485.0,-,1.19,1.44,1.69,0,10,71.00%,0.05,0.0014,-0.1,0.11
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,490.0,1.17,1.21,1.38,1.55,3,39,71.81%,0.05,0.0013,-0.1,0.1
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,495.0,-,1.04,1.29,1.54,0,33,72.28%,0.05,0.0012,-0.09,0.1
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,500.0,-,0.96,1.21,1.46,0,2,72.78%,0.04,0.0012,-0.09,0.09
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,505.0,-,0.91,1.16,1.41,0,6,73.54%,0.04,0.0011,-0.09,0.09
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,510.0,1.00,0.9,1.09,1.28,2,4,74.02%,0.04,0.0011,-0.08,0.09
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,515.0,0.87,0.9,1.06,1.22,1,3,74.92%,0.04,0.001,-0.08,0.08
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,520.0,-,0.79,1.04,1.29,0,0,75.91%,0.04,0.001,-0.08,0.08
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,525.0,-,0.7,0.95,1.2,0,0,75.98%,0.03,0.0009,-0.08,0.08
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,530.0,-,0.67,0.92,1.17,0,0,76.77%,0.03,0.0009,-0.07,0.08
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,535.0,0.80,0.57,0.8,1.04,4,5,76.32%,0.03,0.0008,-0.07,0.07
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,540.0,-,0.61,0.86,1.11,0,1,78.25%,0.03,0.0008,-0.07,0.07
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,545.0,-,0.52,0.77,1.02,0,17,78.04%,0.03,0.0008,-0.07,0.07
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,550.0,-,0.53,0.78,1.03,0,0,79.30%,0.03,0.0007,-0.07,0.06
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,555.0,-,0.5,0.75,1.0,0,0,79.91%,0.03,0.0007,-0.07,0.06
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,560.0,-,0.41,0.66,0.91,0,1,79.48%,0.02,0.0007,-0.06,0.06
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,565.0,-,0.43,0.68,0.93,0,0,80.88%,0.02,0.0007,-0.06,0.06
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,570.0,-,0.4,0.65,0.9,0,2,81.38%,0.02,0.0006,-0.06,0.06
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,575.0,0.56,0.32,0.54,0.76,11,1,80.28%,0.02,0.0006,-0.05,0.05
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,580.0,0.56,0.3,0.55,0.8,1,1,81.48%,0.02,0.0005,-0.05,0.05
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,590.0,-,0.28,0.53,0.78,0,1,83.01%,0.02,0.0005,-0.05,0.05
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,600.0,-,0.26,0.51,0.76,0,35,84.48%,0.02,0.0005,-0.05,0.05
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,610.0,0.19,0.18,0.43,0.67,1,51,84.30%,0.01,0.0004,-0.04,0.04
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,620.0,-,0.21,0.46,0.71,0,30,86.96%,0.02,0.0004,-0.05,0.04
2025-08-19 21:11:32,COIN,0,2025-09-26,38,C,630.0,-,0.17,0.42,0.67,0,0,87.70%,0.01,0.0004,-0.04,0.04
