Snapshot Date,Symbol,Underlying Price,Expiry Date,DTE,Side,Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
2025-08-21 20:57:15,COIN,0,2025-10-17,57,P,100.0,0.07,0.05,0.16,0.27,1,440,113.00%,0.0,0.0001,-0.01,0.01
2025-08-21 20:57:15,COIN,0,2025-10-17,57,P,105.0,0.09,0.07,0.21,0.34,1,2,111.53%,0.0,0.0001,-0.01,0.02
2025-08-21 20:57:15,COIN,0,2025-10-17,57,P,110.0,0.10,0.1,0.22,0.34,3,206,107.87%,0.0,0.0001,-0.02,0.02
2025-08-21 20:57:15,COIN,0,2025-10-17,57,P,115.0,0.20,0.11,0.26,0.4,1,2,105.38%,-0.01,0.0001,-0.02,0.02
2025-08-21 20:57:15,COIN,0,2025-10-17,57,P,120.0,-,0.1,0.27,0.44,0,15,101.83%,-0.01,0.0001,-0.02,0.02
2025-08-21 20:57:15,COIN,0,2025-10-17,57,P,125.0,-,0.1,0.3,0.49,0,13,98.81%,-0.01,0.0002,-0.02,0.02
2025-08-21 20:57:15,COIN,0,2025-10-17,57,P,130.0,-,0.1,0.32,0.54,0,31,95.82%,-0.01,0.0002,-0.02,0.02
2025-08-21 20:57:15,COIN,0,2025-10-17,57,P,135.0,-,0.0,0.26,0.52,0,2,89.42%,-0.01,0.0002,-0.02,0.02
2025-08-21 20:57:15,COIN,0,2025-10-17,57,P,140.0,-,0.1,0.37,0.64,0,12,89.92%,-0.01,0.0002,-0.02,0.03
2025-08-21 20:57:15,COIN,0,2025-10-17,57,P,145.0,-,0.07,0.35,0.63,0,30,85.55%,-0.01,0.0002,-0.02,0.03
2025-08-21 20:57:15,COIN,0,2025-10-17,57,P,150.0,-,0.13,0.45,0.77,0,704,85.00%,-0.01,0.0003,-0.03,0.04
2025-08-21 20:57:15,COIN,0,2025-10-17,57,P,155.0,0.54,0.19,0.52,0.84,1,47,83.11%,-0.01,0.0003,-0.03,0.04
2025-08-21 20:57:15,COIN,0,2025-10-17,57,P,160.0,-,0.39,0.58,0.77,0,82,81.09%,-0.01,0.0004,-0.03,0.05
2025-08-21 20:57:15,COIN,0,2025-10-17,57,P,165.0,-,0.45,0.7,0.94,0,38,79.93%,-0.02,0.0005,-0.04,0.05
2025-08-21 20:57:15,COIN,0,2025-10-17,57,P,170.0,1.12,0.63,0.86,1.08,2,68,79.22%,-0.02,0.0005,-0.04,0.06
2025-08-21 20:57:15,COIN,0,2025-10-17,57,P,175.0,1.10,0.75,0.9,1.04,6,53,76.39%,-0.02,0.0006,-0.04,0.07
2025-08-21 20:57:15,COIN,0,2025-10-17,57,P,180.0,1.52,0.71,0.91,1.11,2,59,73.24%,-0.02,0.0006,-0.04,0.07
2025-08-21 20:57:15,COIN,0,2025-10-17,57,P,185.0,1.60,0.84,1.14,1.43,1,34,72.86%,-0.03,0.0008,-0.05,0.08
2025-08-21 20:57:15,COIN,0,2025-10-17,57,P,190.0,1.70,1.02,1.27,1.52,1,63,71.07%,-0.03,0.0009,-0.05,0.09
2025-08-21 20:57:15,COIN,0,2025-10-17,57,P,195.0,1.76,1.46,1.6,1.74,5,54,71.05%,-0.04,0.001,-0.06,0.11
2025-08-21 20:57:15,COIN,0,2025-10-17,57,P,200.0,2.08,1.47,1.73,1.98,105,"1,127",68.81%,-0.05,0.0011,-0.07,0.12
2025-08-21 20:57:15,COIN,0,2025-10-17,57,P,210.0,2.62,2.36,2.46,2.56,18,551,67.61%,-0.06,0.0015,-0.08,0.15
2025-08-21 20:57:15,COIN,0,2025-10-17,57,P,220.0,3.59,3.2,3.43,3.65,72,888,66.45%,-0.08,0.0019,-0.1,0.19
2025-08-21 20:57:15,COIN,0,2025-10-17,57,P,230.0,4.25,4.2,5.03,5.85,34,881,66.89%,-0.11,0.0024,-0.13,0.23
2025-08-21 20:57:15,COIN,0,2025-10-17,57,P,240.0,5.61,5.55,5.75,5.95,46,908,62.44%,-0.13,0.0029,-0.14,0.26
2025-08-21 20:57:15,COIN,0,2025-10-17,57,P,250.0,7.42,7.25,7.43,7.6,286,"1,123",60.79%,-0.17,0.0034,-0.15,0.3
2025-08-21 20:57:15,COIN,0,2025-10-17,57,P,260.0,9.64,9.4,9.53,9.65,709,"1,858",59.35%,-0.21,0.004,-0.17,0.35
2025-08-21 20:57:15,COIN,0,2025-10-17,57,P,270.0,12.40,12.15,12.25,12.35,315,"2,149",58.44%,-0.25,0.0045,-0.19,0.39
2025-08-21 20:57:15,COIN,0,2025-10-17,57,P,280.0,15.52,15.4,15.55,15.7,146,"3,444",57.70%,-0.31,0.005,-0.2,0.43
