Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
100.00,-,0.00,0.06,0.12,0,11,189.08%,0.00,0.0000,-0.02,0.00
105.00,-,0.00,0.07,0.14,0,0,184.03%,0.00,0.0000,-0.02,0.00
110.00,-,0.00,0.08,0.16,0,0,178.87%,0.00,0.0001,-0.02,0.00
115.00,-,0.00,0.08,0.15,0,0,170.40%,0.00,0.0001,-0.02,0.00
120.00,-,0.00,0.07,0.14,0,0,162.27%,0.00,0.0001,-0.02,0.00
125.00,-,0.00,0.09,0.18,0,0,159.76%,0.00,0.0001,-0.02,0.01
130.00,-,0.00,0.08,0.15,0,1,150.31%,0.00,0.0001,-0.02,0.00
135.00,-,0.00,0.08,0.16,0,0,145.11%,0.00,0.0001,-0.02,0.01
140.00,-,0.00,0.08,0.16,0,0,139.11%,0.00,0.0001,-0.02,0.01
145.00,0.04,0.00,0.05,0.10,25,54,127.07%,0.00,0.0001,-0.01,0.00
150.00,-,0.00,0.08,0.15,0,3,126.86%,0.00,0.0001,-0.02,0.01
155.00,-,0.00,0.10,0.20,0,1,125.33%,0.00,0.0001,-0.03,0.01
160.00,-,0.00,0.09,0.18,0,4,118.58%,0.00,0.0001,-0.02,0.01
165.00,-,0.00,0.10,0.20,0,2,114.77%,0.00,0.0002,-0.03,0.01
170.00,-,0.00,0.11,0.21,0,218,110.32%,0.00,0.0002,-0.03,0.01
175.00,-,0.00,0.14,0.27,0,0,108.53%,-0.01,0.0002,-0.03,0.01
180.00,-,0.00,0.12,0.24,0,232,102.16%,-0.01,0.0002,-0.03,0.01
185.00,-,0.00,0.17,0.34,0,6,101.66%,-0.01,0.0003,-0.04,0.01
190.00,0.22,0.02,0.15,0.28,1,70,95.34%,-0.01,0.0003,-0.04,0.01
195.00,-,0.01,0.16,0.31,0,104,91.46%,-0.01,0.0003,-0.04,0.01
200.00,-,0.12,0.22,0.32,0,211,90.63%,-0.01,0.0004,-0.05,0.02
205.00,-,0.07,0.21,0.35,0,82,85.48%,-0.01,0.0005,-0.05,0.02
210.00,0.33,0.11,0.26,0.41,10,49,83.44%,-0.01,0.0006,-0.05,0.02
215.00,0.44,0.16,0.32,0.47,1,24,81.19%,-0.02,0.0007,-0.06,0.03
220.00,0.45,0.40,0.49,0.57,11,48,82.10%,-0.02,0.0010,-0.08,0.04
225.00,0.60,0.38,0.48,0.58,4,68,77.27%,-0.02,0.0011,-0.08,0.04
230.00,0.66,0.42,0.55,0.68,2,53,74.39%,-0.03,0.0013,-0.09,0.04
235.00,0.67,0.55,0.68,0.80,25,220,72.43%,-0.03,0.0016,-0.10,0.05
240.00,0.78,0.69,0.82,0.95,20,414,70.35%,-0.04,0.0019,-0.12,0.06
245.00,1.22,0.83,0.96,1.09,27,169,67.78%,-0.05,0.0022,-0.13,0.07
250.00,1.41,1.09,1.14,1.18,26,184,65.32%,-0.06,0.0027,-0.15,0.08
255.00,1.72,1.36,1.54,1.71,9,86,64.98%,-0.07,0.0033,-0.18,0.09
