Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
235.00,69.40,67.35,69.32,71.30,4,0,59.70%,0.91,0.0027,-0.14,0.17
240.00,-,63.50,65.18,66.85,0,0,60.28%,0.89,0.0031,-0.16,0.20
245.00,-,59.30,60.93,62.55,0,0,59.73%,0.87,0.0035,-0.18,0.22
250.00,-,55.10,56.78,58.45,0,0,59.16%,0.85,0.0039,-0.19,0.24
255.00,54.75,51.15,52.75,54.35,2,0,58.64%,0.83,0.0043,-0.20,0.26
260.00,-,47.20,48.88,50.55,0,0,58.21%,0.80,0.0047,-0.22,0.29
265.00,47.20,42.60,44.73,46.85,2,0,56.45%,0.78,0.0051,-0.22,0.31
270.00,43.89,40.00,41.50,43.00,1,0,57.24%,0.75,0.0054,-0.24,0.33
275.00,-,36.95,38.83,40.70,0,0,59.02%,0.71,0.0056,-0.26,0.35
280.00,34.55,34.05,35.50,36.95,2,0,58.40%,0.68,0.0059,-0.27,0.37
285.00,-,30.70,32.03,33.35,0,0,56.99%,0.65,0.0063,-0.27,0.38
290.00,-,27.70,29.13,30.55,0,0,56.70%,0.62,0.0065,-0.28,0.39
295.00,25.45,25.35,26.63,27.90,8,0,56.97%,0.58,0.0066,-0.28,0.40
300.00,24.55,23.05,23.60,24.15,14,0,55.53%,0.55,0.0069,-0.28,0.41
305.00,21.14,20.30,21.18,22.05,6,0,55.16%,0.52,0.0070,-0.28,0.41
310.00,18.95,18.50,19.25,20.00,1,0,55.60%,0.48,0.0070,-0.28,0.41
315.00,-,16.25,17.05,17.85,0,0,54.97%,0.45,0.0070,-0.27,0.41
320.00,-,14.50,15.35,16.20,0,0,55.16%,0.41,0.0069,-0.27,0.40
325.00,14.14,11.90,13.15,14.40,3,0,53.71%,0.38,0.0069,-0.26,0.39
330.00,13.34,11.95,12.95,13.95,2,0,57.04%,0.36,0.0064,-0.27,0.39
335.00,-,10.75,11.45,12.15,0,0,56.71%,0.33,0.0062,-0.26,0.37
340.00,10.17,9.65,10.28,10.90,2,0,56.90%,0.30,0.0060,-0.25,0.36
345.00,-,8.65,9.40,10.15,0,0,57.64%,0.28,0.0057,-0.24,0.35
350.00,8.05,7.80,8.23,8.65,13,0,57.22%,0.26,0.0055,-0.23,0.33
355.00,-,6.75,7.33,7.90,0,0,57.32%,0.23,0.0052,-0.22,0.32
360.00,-,6.05,6.60,7.15,0,0,57.70%,0.21,0.0049,-0.21,0.30
365.00,6.07,5.45,5.98,6.50,1,0,58.17%,0.20,0.0046,-0.20,0.29
370.00,-,4.90,5.43,5.95,0,0,58.68%,0.18,0.0044,-0.19,0.27
375.00,5.02,4.40,4.88,5.35,2,0,58.98%,0.17,0.0041,-0.18,0.26
