Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
100.00,-,217.60,220.13,222.65,0,104,0.00%,1.00,0.0000,-0.01,0.00
105.00,-,214.30,215.53,216.75,0,0,0.00%,1.00,0.0000,-0.01,0.00
110.00,-,209.20,211.08,212.95,0,0,117.82%,0.99,0.0001,-0.03,0.02
115.00,-,204.85,206.27,207.70,0,0,120.50%,0.99,0.0001,-0.04,0.03
120.00,-,200.10,201.25,202.40,0,0,113.71%,0.99,0.0001,-0.04,0.03
125.00,-,194.90,196.03,197.15,0,0,96.00%,1.00,0.0001,-0.02,0.01
130.00,-,189.90,191.13,192.35,0,0,96.69%,1.00,0.0001,-0.03,0.02
135.00,-,184.75,185.83,186.90,0,2,0.00%,1.00,0.0000,-0.02,0.00
140.00,-,180.30,181.95,183.60,0,0,111.36%,0.98,0.0003,-0.07,0.05
145.00,-,175.35,176.35,177.35,0,1,91.37%,0.99,0.0002,-0.04,0.03
150.00,-,170.35,171.33,172.30,0,1,85.68%,0.99,0.0002,-0.04,0.03
155.00,-,165.55,166.50,167.45,0,1,87.07%,0.99,0.0003,-0.04,0.03
160.00,-,160.35,161.48,162.60,0,1,81.96%,0.99,0.0003,-0.04,0.03
165.00,-,155.70,156.68,157.65,0,2,83.10%,0.99,0.0003,-0.05,0.04
170.00,-,150.80,151.88,152.95,0,3,83.25%,0.98,0.0004,-0.06,0.05
175.00,-,145.85,146.88,147.90,0,2,79.29%,0.98,0.0004,-0.06,0.05
180.00,-,141.00,142.45,143.90,0,4,84.24%,0.97,0.0006,-0.08,0.08
185.00,-,136.10,137.75,139.40,0,1,83.93%,0.97,0.0007,-0.09,0.09
190.00,-,131.10,132.08,133.05,0,2,71.47%,0.98,0.0006,-0.06,0.06
195.00,128.50,126.45,127.63,128.80,2,"1,082",75.03%,0.97,0.0008,-0.08,0.09
200.00,123.00,121.30,122.63,123.95,3,575,71.44%,0.97,0.0008,-0.08,0.09
210.00,-,111.85,112.80,113.75,0,58,66.28%,0.96,0.0010,-0.08,0.10
220.00,105.10,102.55,103.30,104.05,2,27,63.84%,0.95,0.0013,-0.10,0.13
230.00,-,93.20,94.08,94.95,0,63,62.43%,0.93,0.0017,-0.11,0.16
240.00,74.32,84.25,85.60,86.95,1,130,63.63%,0.90,0.0021,-0.14,0.21
250.00,75.89,74.75,76.35,77.95,2,392,59.84%,0.88,0.0026,-0.15,0.24
260.00,67.98,66.55,67.48,68.40,8,75,56.99%,0.86,0.0031,-0.17,0.28
270.00,60.35,58.20,59.58,60.95,16,162,56.45%,0.82,0.0037,-0.19,0.33
280.00,53.80,51.90,52.45,53.00,4,463,56.72%,0.77,0.0043,-0.21,0.38
290.00,46.36,44.80,45.30,45.80,33,520,55.55%,0.72,0.0048,-0.23,0.42
