Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
75.00,-,1.37,1.58,1.78,0,69,70.50%,-0.01,0.0001,-0.01,0.12
80.00,-,1.39,1.84,2.30,0,312,69.51%,-0.02,0.0002,-0.01,0.14
85.00,2.20,1.85,2.18,2.51,10,182,68.81%,-0.02,0.0002,-0.01,0.16
90.00,-,2.18,2.55,2.91,0,252,68.11%,-0.02,0.0002,-0.01,0.18
95.00,2.88,2.66,2.96,3.25,12,20,67.49%,-0.02,0.0002,-0.01,0.20
100.00,-,2.84,3.20,3.55,0,"1,073",65.97%,-0.03,0.0003,-0.01,0.22
105.00,3.70,3.50,3.78,4.05,52,105,65.87%,-0.03,0.0003,-0.02,0.25
110.00,-,3.85,4.20,4.55,0,73,64.98%,-0.03,0.0003,-0.02,0.27
115.00,-,4.40,4.80,5.20,0,36,64.63%,-0.04,0.0004,-0.02,0.30
120.00,-,5.15,5.35,5.55,0,47,63.98%,-0.04,0.0004,-0.02,0.32
125.00,5.90,5.75,6.03,6.30,8,31,63.62%,-0.05,0.0004,-0.02,0.35
130.00,-,6.45,6.68,6.90,0,80,63.06%,-0.05,0.0005,-0.02,0.38
135.00,-,7.15,7.43,7.70,0,29,62.67%,-0.06,0.0005,-0.02,0.41
140.00,8.05,8.00,8.23,8.45,2,204,62.29%,-0.06,0.0006,-0.03,0.44
145.00,-,8.80,9.05,9.30,0,"1,085",61.87%,-0.07,0.0006,-0.03,0.47
150.00,-,9.70,10.00,10.30,0,408,61.63%,-0.08,0.0007,-0.03,0.50
155.00,-,10.65,11.03,11.40,0,62,61.42%,-0.08,0.0007,-0.03,0.53
160.00,-,11.75,12.00,12.25,0,86,61.02%,-0.09,0.0007,-0.03,0.56
165.00,-,12.80,13.08,13.35,0,76,60.73%,-0.09,0.0008,-0.03,0.59
170.00,-,13.90,14.23,14.55,0,99,60.47%,-0.10,0.0008,-0.03,0.62
175.00,-,15.10,15.43,15.75,0,103,60.22%,-0.11,0.0009,-0.04,0.65
180.00,-,16.45,16.73,17.00,0,131,60.04%,-0.12,0.0009,-0.04,0.69
185.00,17.60,17.80,18.10,18.40,1,59,59.88%,-0.12,0.0010,-0.04,0.72
190.00,-,19.15,19.45,19.75,0,67,59.61%,-0.13,0.0010,-0.04,0.75
195.00,20.49,20.55,20.93,21.30,1,96,59.44%,-0.14,0.0011,-0.04,0.78
200.00,22.18,22.10,22.50,22.90,11,139,59.33%,-0.15,0.0011,-0.04,0.81
210.00,25.00,25.35,25.73,26.10,1,134,58.99%,-0.17,0.0012,-0.04,0.87
220.00,28.93,28.90,29.28,29.65,4,112,58.77%,-0.18,0.0013,-0.05,0.93
230.00,-,32.65,33.05,33.45,0,73,58.55%,-0.20,0.0014,-0.05,0.98
240.00,36.61,36.70,37.18,37.65,2,99,58.46%,-0.22,0.0014,-0.05,1.03
250.00,40.45,41.00,41.45,41.90,3,255,58.30%,-0.24,0.0015,-0.05,1.08
260.00,45.15,45.55,46.03,46.50,16,217,58.22%,-0.26,0.0016,-0.05,1.13
270.00,-,50.25,50.75,51.25,0,92,58.09%,-0.27,0.0016,-0.06,1.17
280.00,53.88,55.30,55.80,56.30,2,194,58.06%,-0.29,0.0017,-0.06,1.20
290.00,-,60.55,61.03,61.50,0,316,58.00%,-0.31,0.0017,-0.06,1.24
300.00,65.85,66.05,66.53,67.00,2,326,58.03%,-0.33,0.0018,-0.06,1.27
310.00,-,71.75,72.30,72.85,0,392,58.11%,-0.35,0.0018,-0.06,1.29
320.00,-,77.65,78.23,78.80,0,75,58.17%,-0.36,0.0018,-0.06,1.32
330.00,-,83.80,84.32,84.85,0,325,58.24%,-0.38,0.0019,-0.06,1.34
340.00,88.40,90.05,90.80,91.55,1,41,58.46%,-0.40,0.0019,-0.06,1.35
350.00,-,96.60,97.23,97.85,0,354,58.54%,-0.41,0.0019,-0.06,1.37
360.00,-,103.20,103.88,104.55,0,25,58.66%,-0.43,0.0019,-0.06,1.38
370.00,-,110.05,110.82,111.60,0,82,58.90%,-0.45,0.0019,-0.06,1.39
380.00,-,117.15,118.30,119.45,0,128,59.43%,-0.46,0.0019,-0.06,1.39
390.00,-,124.20,124.98,125.75,0,19,59.28%,-0.48,0.0019,-0.06,1.40
400.00,-,131.55,132.23,132.90,0,50,59.47%,-0.49,0.0019,-0.05,1.40
410.00,-,139.10,140.13,141.15,0,21,60.04%,-0.50,0.0019,-0.05,1.40
420.00,-,146.10,147.35,148.60,0,28,60.05%,-0.52,0.0019,-0.05,1.40
430.00,-,152.70,155.05,157.40,0,18,60.33%,-0.53,0.0019,-0.05,1.40
440.00,-,161.00,162.60,164.20,0,4,60.44%,-0.54,0.0019,-0.05,1.39
450.00,-,168.35,170.80,173.25,0,7,60.95%,-0.55,0.0019,-0.05,1.39
460.00,-,178.10,178.90,179.70,0,14,61.32%,-0.56,0.0018,-0.05,1.38
