Snapshot Date,Symbol,Underlying Price,Expiry Date,DTE,Side,Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
2025-08-23 12:44:44,HOOD,0,2025-09-26,34,P,55.0,-,0.0,0.32,0.64,0,6,118.39%,-0.02,0.0012,-0.03,0.02
2025-08-23 12:44:44,HOOD,0,2025-09-26,34,P,60.0,0.15,0.1,0.2,0.3,3,62,97.23%,-0.02,0.0012,-0.02,0.01
2025-08-23 12:44:44,HOOD,0,2025-09-26,34,P,65.0,0.24,0.06,0.2,0.34,1,23,85.69%,-0.02,0.0015,-0.02,0.01
2025-08-23 12:44:44,HOOD,0,2025-09-26,34,P,70.0,0.34,0.09,0.37,0.64,10,30,83.30%,-0.03,0.0024,-0.03,0.02
2025-08-23 12:44:44,HOOD,0,2025-09-26,34,P,75.0,0.56,0.5,0.53,0.57,82,171,78.17%,-0.04,0.0036,-0.04,0.03
2025-08-23 12:44:44,HOOD,0,2025-09-26,34,P,80.0,0.79,0.74,0.82,0.89,48,390,74.11%,-0.07,0.0052,-0.05,0.04
2025-08-23 12:44:44,HOOD,0,2025-09-26,34,P,85.0,1.33,1.18,1.25,1.31,68,"4,412",70.62%,-0.1,0.0073,-0.06,0.06
2025-08-23 12:44:44,HOOD,0,2025-09-26,34,P,90.0,1.96,1.87,1.98,2.08,114,"1,456",68.73%,-0.15,0.01,-0.08,0.08
2025-08-23 12:44:44,HOOD,0,2025-09-26,34,P,91.0,2.10,1.91,2.05,2.18,7,102,67.02%,-0.16,0.0106,-0.08,0.08
2025-08-23 12:44:44,HOOD,0,2025-09-26,34,P,92.0,2.20,2.13,2.26,2.38,30,75,66.92%,-0.17,0.0111,-0.08,0.09
2025-08-23 12:44:44,HOOD,0,2025-09-26,34,P,93.0,2.46,2.4,2.52,2.64,48,228,67.28%,-0.18,0.0117,-0.08,0.09
2025-08-23 12:44:44,HOOD,0,2025-09-26,34,P,94.0,2.72,2.6,2.67,2.74,30,189,66.20%,-0.19,0.0123,-0.09,0.09
2025-08-23 12:44:44,HOOD,0,2025-09-26,34,P,95.0,2.88,2.77,2.88,2.99,82,478,65.65%,-0.21,0.0129,-0.09,0.1
2025-08-23 12:44:44,HOOD,0,2025-09-26,34,P,96.0,3.15,3.05,3.13,3.2,29,273,65.33%,-0.22,0.0135,-0.09,0.1
2025-08-23 12:44:44,HOOD,0,2025-09-26,34,P,97.0,3.48,2.9,3.18,3.45,22,122,62.98%,-0.23,0.0143,-0.09,0.1
