Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
50.00,58.17,58.05,58.83,59.60,9,32,0.00%,1.00,0.0000,-0.01,0.00
55.00,55.20,52.15,53.33,54.50,3,32,0.00%,1.00,0.0000,-0.01,0.00
60.00,50.63,46.85,48.20,49.55,6,10,0.00%,1.00,0.0000,-0.01,0.00
65.00,45.59,42.30,43.93,45.55,2,129,0.00%,1.00,0.0000,-0.01,0.00
70.00,37.95,37.75,39.10,40.45,97,14,0.00%,1.00,0.0000,-0.01,0.00
71.00,-,36.30,38.05,39.80,0,4,0.00%,1.00,0.0000,-0.01,0.00
72.00,-,35.80,36.88,37.95,0,5,0.00%,1.00,0.0000,-0.01,0.00
73.00,-,35.00,35.80,36.60,0,54,0.00%,1.00,0.0000,-0.01,0.00
74.00,35.07,33.55,35.08,36.60,4,12,0.00%,1.00,0.0000,-0.01,0.00
75.00,38.30,32.45,33.55,34.65,5,10,0.00%,1.00,0.0000,-0.01,0.00
76.00,-,30.70,32.35,34.00,0,14,0.00%,1.00,0.0000,-0.01,0.00
77.00,-,30.85,31.93,33.00,0,18,0.00%,1.00,0.0000,-0.01,0.00
78.00,30.75,29.55,30.60,31.65,9,37,0.00%,1.00,0.0000,-0.01,0.00
79.00,31.30,29.10,30.40,31.70,1,13,55.90%,1.00,0.0000,-0.01,0.00
80.00,-,27.45,28.60,29.75,0,258,0.00%,1.00,0.0000,-0.01,0.00
81.00,29.10,26.65,27.98,29.30,6,18,0.00%,1.00,0.0000,-0.01,0.00
82.00,-,25.55,26.78,28.00,0,44,0.00%,1.00,0.0000,-0.01,0.00
83.00,-,24.75,26.33,27.90,0,14,0.00%,1.00,0.0000,-0.01,0.00
84.00,-,23.50,24.60,25.70,0,31,0.00%,1.00,0.0000,-0.01,0.00
85.00,23.80,22.85,24.08,25.30,49,644,0.00%,1.00,0.0000,-0.01,0.00
86.00,23.69,21.60,23.13,24.65,4,7,0.00%,1.00,0.0000,-0.01,0.00
87.00,23.20,20.65,22.28,23.90,1,42,0.00%,1.00,0.0000,-0.01,0.00
88.00,21.20,19.85,20.83,21.80,7,54,0.00%,1.00,0.0000,-0.01,0.00
89.00,19.50,18.95,19.73,20.50,4,63,0.00%,1.00,0.0000,-0.01,0.00
90.00,18.50,18.15,19.00,19.85,26,139,0.00%,1.00,0.0000,-0.01,0.00
