Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
50.00,-,0.00,0.23,0.45,0,60,291.67%,-0.01,0.0007,-0.11,0.01
55.00,-,0.00,0.29,0.57,0,60,270.85%,-0.02,0.0010,-0.12,0.01
60.00,-,0.00,0.11,0.22,0,31,209.45%,-0.01,0.0007,-0.06,0.00
65.00,-,0.00,0.07,0.13,0,299,173.21%,-0.01,0.0007,-0.04,0.00
70.00,0.01,0.00,0.01,0.02,1,"3,459",124.16%,0.00,0.0003,-0.01,0.00
71.00,-,0.00,0.01,0.02,0,40,120.80%,0.00,0.0003,-0.01,0.00
72.00,-,0.01,0.02,0.03,0,88,125.90%,0.00,0.0005,-0.01,0.00
73.00,0.01,0.00,0.01,0.01,21,92,107.30%,0.00,0.0002,0.00,0.00
74.00,0.01,0.00,0.01,0.02,"3,509",85,111.00%,0.00,0.0003,-0.01,0.00
75.00,0.01,0.01,0.02,0.03,187,"5,347",115.60%,0.00,0.0006,-0.01,0.00
76.00,0.02,0.01,0.02,0.02,419,149,108.93%,0.00,0.0005,-0.01,0.00
77.00,0.02,0.02,0.03,0.03,429,"1,107",111.63%,0.00,0.0007,-0.02,0.00
78.00,0.02,0.01,0.02,0.03,218,188,105.67%,0.00,0.0007,-0.01,0.00
79.00,0.03,0.01,0.03,0.04,192,161,104.98%,0.00,0.0008,-0.02,0.00
80.00,0.03,0.02,0.03,0.03,123,"1,342",101.71%,0.00,0.0009,-0.02,0.00
81.00,0.03,0.02,0.04,0.05,156,286,102.42%,-0.01,0.0011,-0.02,0.00
82.00,0.03,0.02,0.03,0.04,22,352,97.30%,-0.01,0.0011,-0.02,0.00
83.00,0.03,0.02,0.04,0.05,16,226,95.83%,-0.01,0.0013,-0.02,0.00
84.00,0.04,0.03,0.04,0.05,124,467,94.13%,-0.01,0.0015,-0.02,0.00
85.00,0.04,0.04,0.05,0.05,109,567,92.24%,-0.01,0.0017,-0.02,0.00
86.00,0.10,0.03,0.05,0.06,7,"1,171",88.97%,-0.01,0.0018,-0.02,0.00
87.00,0.05,0.03,0.06,0.08,45,167,88.05%,-0.01,0.0021,-0.03,0.00
88.00,0.06,0.05,0.07,0.08,37,221,86.75%,-0.01,0.0025,-0.03,0.01
