Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
18.00,-,91.20,91.53,91.85,0,56,0.00%,1.00,0.0000,0.00,0.00
19.00,-,90.20,90.55,90.90,0,24,0.00%,1.00,0.0000,0.00,0.00
20.00,90.15,88.40,89.08,89.75,4,256,0.00%,1.00,0.0000,0.00,0.00
21.00,88.65,88.35,88.65,88.95,3,56,131.90%,1.00,0.0001,-0.01,0.00
22.00,-,87.25,87.55,87.85,0,37,0.00%,1.00,0.0000,0.00,0.00
23.00,-,86.25,86.60,86.95,0,38,0.00%,1.00,0.0000,0.00,0.00
24.00,86.20,85.35,86.03,86.70,1,129,159.38%,0.99,0.0003,-0.02,0.01
25.00,85.20,84.40,84.60,84.80,2,240,0.00%,1.00,0.0000,0.00,0.00
26.00,84.70,83.40,83.60,83.80,1,148,0.00%,1.00,0.0000,0.00,0.00
27.00,-,82.45,82.70,82.95,0,64,109.53%,1.00,0.0001,-0.01,0.00
28.00,82.05,81.40,81.63,81.85,12,61,0.00%,1.00,0.0000,0.00,0.00
29.00,80.80,79.90,80.50,81.10,7,172,0.00%,1.00,0.0000,0.00,0.00
30.00,79.90,79.45,79.68,79.90,2,120,0.00%,1.00,0.0000,0.00,0.00
31.00,78.65,78.45,78.68,78.90,1,107,0.00%,1.00,0.0000,0.00,0.00
32.00,-,77.45,77.78,78.10,0,31,101.57%,1.00,0.0002,-0.01,0.01
33.00,-,76.40,76.70,77.00,0,51,0.00%,1.00,0.0000,0.00,0.00
34.00,75.25,75.50,76.20,76.90,12,131,127.96%,0.98,0.0005,-0.02,0.02
35.00,74.90,74.55,74.78,75.00,8,"1,873",88.47%,1.00,0.0002,-0.01,0.00
36.00,74.65,73.55,73.78,74.00,1,241,83.63%,1.00,0.0001,-0.01,0.00
37.00,71.35,72.20,72.63,73.05,2,376,0.00%,1.00,0.0000,0.00,0.00
38.00,71.75,71.60,71.82,72.05,5,213,86.28%,1.00,0.0002,-0.01,0.01
39.00,-,69.85,70.48,71.10,0,136,0.00%,1.00,0.0000,0.00,0.00
40.00,-,69.10,70.05,71.00,0,809,100.96%,0.99,0.0006,-0.01,0.02
41.00,-,68.40,69.15,69.90,0,475,103.50%,0.99,0.0007,-0.02,0.02
42.00,-,67.70,68.40,69.10,0,149,110.99%,0.98,0.0009,-0.02,0.03
43.00,-,66.75,67.10,67.45,0,359,95.36%,0.99,0.0007,-0.01,0.02
44.00,66.10,64.80,65.50,66.20,3,"2,704",0.00%,1.00,0.0000,0.00,0.00
45.00,-,64.80,65.38,65.95,0,"3,852",101.86%,0.98,0.0009,-0.02,0.03
46.00,65.25,63.55,63.90,64.25,1,"1,180",70.64%,1.00,0.0003,-0.01,0.01
47.00,58.60,62.85,63.08,63.30,2,439,83.52%,0.99,0.0007,-0.01,0.02
48.00,-,60.95,62.10,63.25,0,291,82.47%,0.99,0.0007,-0.01,0.02
49.00,61.83,61.00,61.18,61.35,10,239,83.85%,0.98,0.0009,-0.02,0.02
50.00,60.15,60.05,60.65,61.25,8,"1,792",97.55%,0.97,0.0013,-0.03,0.04
55.00,54.97,55.05,55.38,55.70,3,"3,081",78.12%,0.98,0.0013,-0.02,0.03
60.00,50.45,49.75,50.63,51.50,5,"3,870",74.79%,0.97,0.0019,-0.02,0.04
65.00,47.10,45.90,46.35,46.80,3,"1,771",78.42%,0.94,0.0028,-0.03,0.07
70.00,42.80,41.55,42.00,42.45,2,"2,935",77.08%,0.92,0.0037,-0.04,0.08
75.00,37.41,36.40,37.18,37.95,22,"3,730",69.28%,0.90,0.0046,-0.04,0.09
80.00,34.10,32.35,33.30,34.25,32,"4,835",70.12%,0.86,0.0057,-0.05,0.12
85.00,30.15,28.60,29.13,29.65,14,"1,488",66.64%,0.83,0.0069,-0.06,0.14
90.00,25.97,25.65,26.28,26.90,"1,185","3,074",70.55%,0.78,0.0078,-0.07,0.16
95.00,23.23,22.45,22.58,22.70,23,"3,442",67.30%,0.73,0.0090,-0.07,0.18
100.00,19.54,19.45,19.55,19.65,86,"5,092",66.54%,0.68,0.0098,-0.08,0.20
105.00,17.05,16.75,16.85,16.95,157,"3,121",66.03%,0.63,0.0105,-0.08,0.21
110.00,14.35,14.35,14.45,14.55,444,"3,403",65.63%,0.57,0.0110,-0.08,0.21
115.00,12.42,12.25,12.33,12.40,215,"6,722",65.28%,0.52,0.0112,-0.08,0.22
120.00,10.50,10.40,10.48,10.55,255,"5,329",65.03%,0.46,0.0112,-0.08,0.22
125.00,8.85,8.80,9.03,9.25,70,"1,214",65.56%,0.42,0.0109,-0.08,0.21
130.00,7.50,7.40,7.50,7.60,"1,162","1,217",64.75%,0.37,0.0106,-0.08,0.21
135.00,6.36,6.25,6.33,6.40,115,"3,393",64.69%,0.32,0.0102,-0.07,0.20
140.00,5.40,5.25,5.33,5.40,"2,755","5,031",64.66%,0.28,0.0096,-0.07,0.18
145.00,4.55,4.40,4.48,4.55,20,"1,155",64.65%,0.25,0.0090,-0.06,0.17
150.00,3.90,3.70,3.78,3.85,86,"1,911",64.77%,0.22,0.0083,-0.06,0.16
155.00,3.23,3.15,3.20,3.25,497,480,65.02%,0.19,0.0076,-0.05,0.15
160.00,3.31,2.16,2.58,2.99,4,559,64.24%,0.16,0.0069,-0.05,0.13
165.00,2.54,2.13,2.28,2.43,4,123,65.33%,0.14,0.0063,-0.05,0.12
170.00,2.00,1.91,2.02,2.12,230,"5,797",66.28%,0.13,0.0058,-0.04,0.11
