Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
30.00,2.65,2.16,2.50,2.84,8,555,70.45%,-0.03,0.0007,0.00,0.13
35.00,-,1.20,2.80,4.40,0,356,64.99%,-0.04,0.0009,0.00,0.15
40.00,4.70,4.55,5.23,5.90,1,340,71.64%,-0.06,0.0010,-0.01,0.20
45.00,-,5.55,5.88,6.20,0,190,67.62%,-0.07,0.0013,-0.01,0.23
50.00,7.45,7.15,7.40,7.65,7,724,67.28%,-0.09,0.0015,-0.01,0.26
55.00,-,7.75,8.55,9.35,0,419,65.17%,-0.10,0.0017,-0.01,0.29
60.00,11.00,10.60,10.83,11.05,5,540,66.45%,-0.12,0.0018,-0.01,0.33
65.00,-,11.70,12.33,12.95,0,81,64.91%,-0.14,0.0021,-0.01,0.36
70.00,-,14.50,14.95,15.40,0,468,66.17%,-0.15,0.0022,-0.01,0.39
75.00,-,16.30,17.23,18.15,0,887,66.09%,-0.17,0.0023,-0.01,0.41
80.00,19.00,18.90,19.28,19.65,1,264,65.24%,-0.19,0.0025,-0.01,0.44
85.00,-,21.10,21.63,22.15,0,529,64.88%,-0.20,0.0027,-0.01,0.46
90.00,-,23.85,24.18,24.50,0,694,64.75%,-0.22,0.0028,-0.01,0.48
95.00,-,26.30,26.83,27.35,0,157,64.62%,-0.24,0.0029,-0.01,0.51
100.00,29.70,29.40,29.73,30.05,14,"1,444",64.81%,-0.25,0.0030,-0.01,0.52
105.00,32.30,30.35,31.53,32.70,14,175,62.79%,-0.27,0.0033,-0.01,0.54
110.00,35.20,35.15,35.53,35.90,10,92,64.69%,-0.29,0.0032,-0.01,0.56
115.00,37.50,38.10,38.65,39.20,2,98,64.82%,-0.30,0.0033,-0.01,0.57
120.00,-,41.35,41.88,42.40,0,130,64.98%,-0.32,0.0034,-0.01,0.58
125.00,45.05,44.40,44.97,45.55,2,152,64.83%,-0.33,0.0034,-0.01,0.59
130.00,-,46.35,47.68,49.00,0,9,63.91%,-0.35,0.0035,-0.01,0.60
135.00,-,50.55,51.47,52.40,0,10,64.72%,-0.36,0.0035,-0.01,0.61
140.00,-,54.70,55.30,55.90,0,28,65.45%,-0.37,0.0035,-0.01,0.62
145.00,-,58.10,58.80,59.50,0,4,65.56%,-0.39,0.0036,-0.01,0.62
150.00,62.50,61.65,62.40,63.15,1,225,65.76%,-0.40,0.0036,-0.01,0.63
155.00,-,64.65,65.78,66.90,0,18,65.53%,-0.41,0.0036,-0.01,0.63
160.00,-,68.75,70.15,71.55,0,10,66.79%,-0.42,0.0036,-0.01,0.64
165.00,-,73.00,74.00,75.00,0,20,67.17%,-0.43,0.0036,-0.01,0.64
170.00,77.50,77.00,77.80,78.60,2,283,67.39%,-0.44,0.0036,-0.01,0.64
