Snapshot Date,Symbol,Underlying Price,Expiry Date,DTE,Side,Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
2025-08-22 20:11:50,NVDA,0,2025-09-26,35,C,50.0,-,121.95,125.15,128.35,0,5,167.16%,1.0,0.0001,-0.02,0.01
2025-08-22 20:11:50,NVDA,0,2025-09-26,35,C,55.0,-,117.0,120.18,123.35,0,1,155.67%,1.0,0.0002,-0.02,0.01
2025-08-22 20:11:50,NVDA,0,2025-09-26,35,C,60.0,-,112.0,114.38,116.75,0,6,0.00%,1.0,0.0,-0.01,0.0
2025-08-22 20:11:50,NVDA,0,2025-09-26,35,C,65.0,-,107.05,109.4,111.75,0,5,0.00%,1.0,0.0,-0.01,0.0
2025-08-22 20:11:50,NVDA,0,2025-09-26,35,C,70.0,-,102.2,104.78,107.35,0,0,0.00%,1.0,0.0,-0.01,0.0
2025-08-22 20:11:50,NVDA,0,2025-09-26,35,C,75.0,-,98.6,99.75,100.9,0,0,0.00%,1.0,0.0,-0.01,0.0
2025-08-22 20:11:50,NVDA,0,2025-09-26,35,C,80.0,-,92.15,94.4,96.65,0,2,0.00%,1.0,0.0,-0.01,0.0
2025-08-22 20:11:50,NVDA,0,2025-09-26,35,C,85.0,-,87.15,88.93,90.7,0,0,0.00%,1.0,0.0,-0.01,0.0
2025-08-22 20:11:50,NVDA,0,2025-09-26,35,C,90.0,-,82.2,84.83,87.45,0,2,0.00%,1.0,0.0,-0.01,0.0
2025-08-22 20:11:50,NVDA,0,2025-09-26,35,C,95.0,80.60,78.0,79.93,81.85,3,1,0.00%,1.0,0.0,-0.01,0.0
2025-08-22 20:11:50,NVDA,0,2025-09-26,35,C,100.0,-,74.15,75.7,77.25,0,5,96.19%,0.98,0.001,-0.05,0.03
2025-08-22 20:11:50,NVDA,0,2025-09-26,35,C,105.0,-,67.7,69.3,70.9,0,12,0.00%,1.0,0.0,-0.01,0.0
2025-08-22 20:11:50,NVDA,0,2025-09-26,35,C,110.0,-,64.15,65.08,66.0,0,5,0.00%,1.0,0.0,-0.01,0.0
