Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
50.00,-,121.95,125.15,128.35,0,5,167.16%,1.00,0.0001,-0.02,0.01
55.00,-,117.00,120.18,123.35,0,1,155.67%,1.00,0.0002,-0.02,0.01
60.00,-,112.00,114.38,116.75,0,6,0.00%,1.00,0.0000,-0.01,0.00
65.00,-,107.05,109.40,111.75,0,5,0.00%,1.00,0.0000,-0.01,0.00
70.00,-,102.20,104.78,107.35,0,0,0.00%,1.00,0.0000,-0.01,0.00
75.00,-,98.60,99.75,100.90,0,0,0.00%,1.00,0.0000,-0.01,0.00
80.00,-,92.15,94.40,96.65,0,2,0.00%,1.00,0.0000,-0.01,0.00
85.00,-,87.15,88.93,90.70,0,0,0.00%,1.00,0.0000,-0.01,0.00
90.00,-,82.20,84.83,87.45,0,2,0.00%,1.00,0.0000,-0.01,0.00
95.00,80.60,78.00,79.93,81.85,3,1,0.00%,1.00,0.0000,-0.01,0.00
100.00,-,74.15,75.70,77.25,0,5,96.19%,0.98,0.0010,-0.05,0.03
105.00,-,67.70,69.30,70.90,0,12,0.00%,1.00,0.0000,-0.01,0.00
110.00,-,64.15,65.08,66.00,0,5,0.00%,1.00,0.0000,-0.01,0.00
115.00,-,58.50,59.85,61.20,0,19,0.00%,1.00,0.0000,-0.01,0.00
120.00,55.70,53.65,55.08,56.50,8,34,0.00%,1.00,0.0000,-0.01,0.00
125.00,50.76,49.85,50.60,51.35,13,18,56.53%,0.98,0.0017,-0.04,0.03
130.00,45.74,45.55,46.40,47.25,1,84,66.57%,0.94,0.0033,-0.08,0.07
135.00,41.35,41.05,41.40,41.75,4,28,59.56%,0.93,0.0040,-0.07,0.07
140.00,36.50,36.35,36.70,37.05,23,76,56.42%,0.91,0.0051,-0.08,0.09
145.00,31.77,31.85,32.10,32.35,7,75,53.52%,0.89,0.0064,-0.09,0.10
150.00,27.71,27.55,27.70,27.85,6,215,51.40%,0.85,0.0081,-0.10,0.13
155.00,23.45,23.30,23.53,23.75,33,274,49.64%,0.81,0.0100,-0.12,0.15
160.00,19.45,19.35,19.53,19.70,93,212,47.57%,0.76,0.0120,-0.13,0.17
165.00,16.00,15.95,16.00,16.05,117,321,46.61%,0.69,0.0138,-0.14,0.19
170.00,12.68,12.70,12.75,12.80,390,824,45.30%,0.62,0.0154,-0.14,0.21
175.00,9.95,9.90,9.95,10.00,457,"2,045",44.35%,0.54,0.0163,-0.14,0.22
180.00,7.55,7.50,7.55,7.60,"2,850","3,714",43.40%,0.45,0.0166,-0.14,0.22
185.00,5.65,5.60,5.65,5.70,654,"3,256",42.93%,0.37,0.0161,-0.13,0.21
190.00,4.10,4.05,4.10,4.15,695,"2,980",42.35%,0.30,0.0149,-0.12,0.19
195.00,2.96,2.93,2.95,2.97,288,"1,152",42.14%,0.23,0.0132,-0.10,0.17
200.00,2.08,2.09,2.11,2.12,694,"2,287",42.13%,0.18,0.0113,-0.09,0.14
