Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
50.00,0.03,0.00,0.02,0.04,0,3,133.87%,0.00,0.0000,0.00,0.00
55.00,0.01,0.00,0.02,0.04,0,12,123.97%,0.00,0.0000,0.00,0.00
60.00,0.02,0.01,0.03,0.04,0,1,117.34%,0.00,0.0001,0.00,0.00
65.00,0.02,0.01,0.03,0.04,0,10,108.90%,0.00,0.0001,0.00,0.00
70.00,0.03,0.01,0.03,0.05,0,110,102.88%,0.00,0.0001,0.00,0.00
75.00,0.04,0.01,0.03,0.06,0,2,96.97%,0.00,0.0001,0.00,0.00
80.00,0.05,0.03,0.05,0.07,0,2,93.36%,0.00,0.0002,-0.01,0.00
85.00,0.06,0.04,0.07,0.09,0,10,89.10%,0.00,0.0002,-0.01,0.01
90.00,0.08,0.06,0.08,0.11,0,192,85.12%,-0.01,0.0003,-0.01,0.01
95.00,0.10,0.08,0.10,0.12,0,832,80.27%,-0.01,0.0004,-0.01,0.01
100.00,0.15,0.11,0.14,0.17,0,"1,612",77.36%,-0.01,0.0006,-0.01,0.01
105.00,0.18,0.17,0.20,0.22,0,646,74.58%,-0.01,0.0008,-0.02,0.02
110.00,0.24,0.22,0.25,0.28,0,531,71.06%,-0.02,0.0010,-0.02,0.02
115.00,0.29,0.30,0.32,0.35,0,566,67.80%,-0.02,0.0014,-0.03,0.03
120.00,0.39,0.39,0.39,0.39,1,874,63.72%,-0.03,0.0018,-0.03,0.03
125.00,0.49,0.49,0.52,0.55,0,432,60.91%,-0.04,0.0023,-0.04,0.04
130.00,0.62,0.67,0.70,0.72,0,682,58.22%,-0.05,0.0031,-0.04,0.06
135.00,0.85,0.84,0.88,0.92,0,375,54.90%,-0.06,0.0040,-0.05,0.07
140.00,1.11,1.13,1.17,1.21,0,476,52.26%,-0.08,0.0053,-0.06,0.08
145.00,1.56,1.53,1.57,1.60,2,"3,758",49.77%,-0.11,0.0068,-0.07,0.10
150.00,2.16,2.12,2.14,2.16,6,"1,975",47.73%,-0.15,0.0087,-0.08,0.13
155.00,2.96,2.90,2.97,3.05,2,"2,168",46.21%,-0.20,0.0108,-0.09,0.15
160.00,3.95,3.90,4.00,4.10,4,"3,037",44.32%,-0.25,0.0130,-0.10,0.18
165.00,5.35,5.35,5.45,5.55,19,"3,881",43.11%,-0.32,0.0151,-0.11,0.20
170.00,7.27,7.15,7.25,7.35,54,"1,616",41.82%,-0.40,0.0167,-0.11,0.21
175.00,9.44,9.35,9.45,9.55,23,"1,267",40.52%,-0.49,0.0178,-0.11,0.22
180.00,12.00,11.95,11.98,12.00,3,639,38.72%,-0.58,0.0182,-0.10,0.22
185.00,14.05,15.10,15.25,15.40,0,"1,440",38.39%,-0.67,0.0171,-0.09,0.20
190.00,17.05,18.60,18.73,18.85,0,122,36.99%,-0.75,0.0154,-0.07,0.18
195.00,20.55,22.15,22.67,23.20,0,104,36.14%,-0.82,0.0130,-0.05,0.14
200.00,24.05,26.35,26.85,27.35,0,38,34.50%,-0.89,0.0101,-0.03,0.11
205.00,30.00,30.20,31.98,33.75,0,47,40.18%,-0.89,0.0086,-0.04,0.11
210.00,29.70,34.85,36.60,38.35,0,6,40.49%,-0.92,0.0068,-0.02,0.08
215.00,39.11,38.50,42.18,45.85,0,65,50.66%,-0.89,0.0067,-0.05,0.10
220.00,43.34,43.40,47.08,50.75,0,1,53.71%,-0.90,0.0059,-0.05,0.10
225.00,43.57,48.35,51.95,55.55,0,2,56.26%,-0.91,0.0052,-0.04,0.09
230.00,48.84,53.30,55.50,57.70,0,2,0.00%,-1.00,0.0000,0.03,0.00
235.00,53.83,55.60,60.58,65.55,0,2,0.00%,-1.00,0.0000,0.03,0.00
240.00,-,60.60,65.58,70.55,0,0,0.00%,-1.00,0.0000,0.03,0.00
245.00,-,65.60,70.53,75.45,0,0,0.00%,-1.00,0.0000,0.03,0.00
250.00,-,70.60,75.53,80.45,0,0,0.00%,-1.00,0.0000,0.03,0.00
255.00,-,75.60,80.53,85.45,0,0,0.00%,-1.00,0.0000,0.03,0.00
260.00,-,80.60,85.57,90.55,0,0,0.00%,-1.00,0.0000,0.03,0.00
265.00,-,85.60,90.55,95.50,0,0,0.00%,-1.00,0.0000,0.03,0.00
270.00,-,90.60,95.55,100.50,0,0,43.48%,-1.00,0.0001,0.03,0.00
275.00,-,95.60,100.57,105.55,0,0,54.66%,-0.99,0.0005,0.02,0.01
