Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
5.00,-,170.05,172.95,175.85,0,21,0.00%,1.00,0.0000,0.00,0.00
10.00,-,165.10,168.00,170.90,0,16,0.00%,1.00,0.0000,0.00,0.00
15.00,-,160.15,163.05,165.95,0,407,0.00%,1.00,0.0000,0.00,0.00
20.00,-,155.15,158.05,160.95,0,57,0.00%,1.00,0.0000,0.00,0.00
25.00,-,150.20,153.10,156.00,0,19,0.00%,1.00,0.0000,0.00,0.00
30.00,-,145.25,148.15,151.05,0,95,0.00%,1.00,0.0000,0.00,0.00
35.00,-,140.30,143.20,146.10,0,23,0.00%,1.00,0.0000,0.00,0.00
40.00,-,137.30,138.48,139.65,0,47,167.42%,1.00,0.0001,-0.02,0.01
45.00,-,132.40,134.03,135.65,0,70,187.44%,0.99,0.0002,-0.04,0.02
50.00,-,125.90,127.75,129.60,0,795,0.00%,1.00,0.0000,-0.01,0.00
55.00,-,122.40,123.70,125.00,0,221,142.60%,0.99,0.0002,-0.03,0.02
60.00,-,117.00,118.00,119.00,0,359,0.00%,1.00,0.0000,-0.01,0.00
65.00,113.45,112.25,113.08,113.90,1,167,0.00%,1.00,0.0000,-0.01,0.00
70.00,106.60,108.05,108.68,109.30,1,769,108.02%,0.99,0.0003,-0.02,0.01
75.00,-,103.15,104.00,104.85,0,695,114.67%,0.98,0.0005,-0.04,0.03
80.00,-,97.35,98.53,99.70,0,"8,030",0.00%,1.00,0.0000,-0.01,0.00
85.00,93.59,93.10,94.07,95.05,2,850,100.03%,0.98,0.0006,-0.04,0.03
90.00,89.10,87.30,88.25,89.20,3,"1,043",0.00%,1.00,0.0000,-0.01,0.00
95.00,-,82.90,83.53,84.15,0,"3,825",0.00%,1.00,0.0000,-0.01,0.00
100.00,79.11,77.90,78.65,79.40,6,"11,603",0.00%,1.00,0.0000,-0.01,0.00
105.00,-,72.35,73.32,74.30,0,"7,177",0.00%,1.00,0.0000,-0.01,0.00
110.00,69.06,68.55,69.05,69.55,7,"7,570",63.87%,0.98,0.0010,-0.03,0.03
115.00,64.20,62.70,63.83,64.95,37,"7,606",47.80%,0.99,0.0006,-0.02,0.01
120.00,59.00,58.05,58.93,59.80,42,"13,084",47.41%,0.99,0.0010,-0.02,0.02
125.00,54.59,53.05,53.95,54.85,16,"8,889",42.84%,0.99,0.0011,-0.02,0.02
130.00,50.10,49.00,49.80,50.60,75,"13,855",54.78%,0.95,0.0029,-0.05,0.08
135.00,45.30,44.60,45.00,45.40,81,"16,748",51.48%,0.93,0.0036,-0.05,0.09
140.00,40.75,39.95,40.35,40.75,122,"17,083",49.31%,0.92,0.0045,-0.06,0.11
145.00,35.83,35.65,35.95,36.25,22,"10,869",48.43%,0.89,0.0057,-0.07,0.13
150.00,31.68,31.25,31.50,31.75,"1,268","34,577",46.19%,0.86,0.0070,-0.08,0.16
155.00,27.45,27.10,27.33,27.55,98,"7,755",44.79%,0.82,0.0084,-0.09,0.18
160.00,23.42,23.15,23.40,23.65,361,"12,719",43.64%,0.77,0.0099,-0.09,0.21
165.00,19.79,19.55,19.75,19.95,504,"16,933",42.61%,0.72,0.0114,-0.10,0.24
170.00,16.50,16.45,16.50,16.55,"7,678","18,989",42.06%,0.66,0.0126,-0.11,0.26
175.00,13.50,13.45,13.50,13.55,"23,645","47,111",41.23%,0.59,0.0135,-0.11,0.27
180.00,10.83,10.80,10.83,10.85,"4,758","26,797",40.38%,0.52,0.0142,-0.11,0.28
185.00,8.55,8.50,8.55,8.60,"3,077","18,038",39.74%,0.45,0.0143,-0.11,0.28
190.00,6.60,6.60,6.65,6.70,"3,130","25,241",39.23%,0.38,0.0139,-0.10,0.27
195.00,5.10,5.10,5.13,5.15,"5,323","18,163",38.97%,0.32,0.0131,-0.09,0.25
200.00,3.95,3.85,3.90,3.95,"6,843","39,556",38.76%,0.26,0.0120,-0.08,0.23
210.00,2.24,2.24,2.25,2.26,"6,104","25,112",38.91%,0.17,0.0092,-0.06,0.17
220.00,1.33,1.32,1.33,1.34,"3,580","13,530",39.69%,0.11,0.0067,-0.05,0.13
230.00,0.82,0.81,0.82,0.83,"1,003","7,679",40.87%,0.07,0.0047,-0.04,0.09
240.00,0.53,0.52,0.53,0.54,631,"11,564",42.31%,0.05,0.0033,-0.03,0.07
250.00,0.36,0.35,0.36,0.37,664,"4,678",43.90%,0.03,0.0023,-0.02,0.05
260.00,0.25,0.24,0.25,0.25,173,"19,491",45.29%,0.02,0.0017,-0.02,0.04
270.00,0.17,0.16,0.17,0.18,15,"13,487",46.63%,0.02,0.0012,-0.01,0.03
280.00,0.12,0.12,0.13,0.13,20,"9,375",48.15%,0.01,0.0009,-0.01,0.02
290.00,0.09,0.08,0.09,0.10,68,"3,015",49.39%,0.01,0.0007,-0.01,0.02
300.00,0.07,0.06,0.07,0.07,105,"26,548",50.51%,0.01,0.0005,-0.01,0.01
310.00,-,0.04,0.05,0.05,0,318,51.30%,0.00,0.0004,0.00,0.01
320.00,0.04,0.03,0.04,0.04,13,951,52.59%,0.00,0.0003,0.00,0.01
330.00,0.02,0.02,0.03,0.03,"1,000",943,53.35%,0.00,0.0002,0.00,0.01
340.00,0.02,0.01,0.02,0.02,475,615,53.25%,0.00,0.0001,0.00,0.00
350.00,0.01,0.01,0.02,0.02,27,"1,996",55.39%,0.00,0.0001,0.00,0.00
