Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
0.50,-,0.00,0.01,0.01,0,"24,944",308.36%,0.00,0.0000,0.00,0.00
1.00,-,0.00,0.01,0.01,0,"16,378",264.37%,0.00,0.0000,0.00,0.00
1.50,0.01,0.00,0.01,0.02,0,"1,744",255.53%,0.00,0.0000,0.00,0.00
2.00,-,0.00,0.01,0.02,0,"1,255",237.55%,0.00,0.0000,0.00,0.00
2.50,-,0.00,0.01,0.02,0,"1,522",223.98%,0.00,0.0000,0.00,0.00
3.00,-,0.00,0.01,0.02,0,"7,776",213.12%,0.00,0.0000,0.00,0.00
3.50,-,0.00,0.02,0.03,0,"7,219",211.78%,0.00,0.0000,0.00,0.00
4.00,-,0.00,0.02,0.03,0,"9,013",203.70%,0.00,0.0000,0.00,0.00
4.50,-,0.00,0.02,0.03,0,"6,082",196.66%,0.00,0.0000,0.00,0.00
5.00,0.01,0.00,0.02,0.04,0,"6,351",195.65%,0.00,0.0000,0.00,0.00
5.50,-,0.00,0.02,0.03,0,"4,915",184.84%,0.00,0.0000,0.00,0.00
6.00,0.01,0.00,0.01,0.01,0,"2,935",163.89%,0.00,0.0000,0.00,0.00
7.00,-,0.00,0.02,0.03,0,"2,826",170.92%,0.00,0.0000,0.00,0.00
8.00,0.01,0.00,0.02,0.03,0,"17,770",163.33%,0.00,0.0000,0.00,0.00
9.00,0.01,0.00,0.02,0.04,0,"3,133",160.86%,0.00,0.0000,0.00,0.00
10.00,0.01,0.00,0.01,0.02,0,"13,890",145.64%,0.00,0.0000,0.00,0.00
11.00,0.02,0.02,0.03,0.04,0,"2,824",155.26%,0.00,0.0000,0.00,0.00
12.00,0.01,0.00,0.02,0.04,0,"4,041",144.47%,0.00,0.0000,0.00,0.00
13.00,-,0.00,0.02,0.03,0,"15,445",136.40%,0.00,0.0000,0.00,0.00
14.00,0.01,0.00,0.02,0.03,0,"2,490",132.37%,0.00,0.0000,0.00,0.00
15.00,0.01,0.01,0.03,0.04,0,"7,293",134.75%,0.00,0.0000,0.00,0.00
16.00,-,0.00,0.02,0.03,0,"6,791",125.17%,0.00,0.0000,0.00,0.00
17.00,-,0.01,0.03,0.04,0,"2,143",127.68%,0.00,0.0000,0.00,0.00
18.00,-,0.01,0.03,0.04,0,"2,862",124.48%,0.00,0.0000,0.00,0.00
19.00,0.01,0.01,0.03,0.05,0,"1,685",123.58%,0.00,0.0000,0.00,0.00
20.00,0.01,0.01,0.03,0.05,0,"5,822",120.67%,0.00,0.0000,0.00,0.00
21.00,0.01,0.01,0.03,0.05,0,"1,386",117.91%,0.00,0.0000,0.00,0.00
22.00,0.01,0.01,0.03,0.05,0,"1,585",115.29%,0.00,0.0000,0.00,0.00
23.00,0.01,0.01,0.02,0.03,0,"1,550",108.62%,0.00,0.0000,0.00,0.00
24.00,0.01,0.01,0.03,0.05,0,"3,936",110.41%,0.00,0.0000,0.00,0.00
25.00,0.01,0.01,0.03,0.05,0,"36,230",108.13%,0.00,0.0000,0.00,0.00
26.00,0.01,0.01,0.03,0.05,0,"5,936",105.95%,0.00,0.0000,0.00,0.00
27.00,0.01,0.01,0.02,0.03,0,"6,536",100.02%,0.00,0.0000,0.00,0.00
28.00,0.01,0.01,0.03,0.06,0,"3,399",103.36%,0.00,0.0000,0.00,0.00
29.00,0.01,0.01,0.03,0.06,0,"4,647",101.39%,0.00,0.0000,0.00,0.00
30.00,0.01,0.02,0.04,0.06,0,"18,209",100.80%,0.00,0.0000,0.00,0.00
31.00,0.02,0.02,0.04,0.06,0,811,98.95%,0.00,0.0000,0.00,0.00
31.50,0.02,0.02,0.05,0.07,0,463,99.21%,0.00,0.0000,0.00,0.00
32.00,0.02,0.02,0.05,0.07,0,"2,213",98.31%,0.00,0.0000,0.00,0.00
32.50,0.02,0.02,0.05,0.07,0,"1,321",97.42%,0.00,0.0000,0.00,0.00
33.00,0.03,0.02,0.05,0.07,0,"1,110",96.55%,0.00,0.0000,0.00,0.00
33.50,0.03,0.02,0.05,0.07,0,"1,261",95.69%,0.00,0.0000,0.00,0.00
34.00,0.02,0.03,0.06,0.08,0,754,96.83%,0.00,0.0000,0.00,0.01
34.50,0.03,0.03,0.06,0.08,0,"2,265",95.98%,0.00,0.0000,0.00,0.01
35.00,0.03,0.03,0.06,0.08,0,"16,608",95.14%,0.00,0.0000,0.00,0.01
35.50,0.04,0.03,0.06,0.08,0,"2,827",94.32%,0.00,0.0000,0.00,0.01
36.00,0.04,0.04,0.06,0.08,0,"1,479",94.37%,0.00,0.0001,0.00,0.01
36.50,0.04,0.04,0.07,0.09,0,"2,495",94.37%,0.00,0.0001,0.00,0.01
37.00,0.04,0.04,0.07,0.09,0,"2,753",93.56%,0.00,0.0001,0.00,0.01
37.50,0.05,0.04,0.05,0.05,0,"2,924",89.27%,0.00,0.0000,0.00,0.00
38.00,0.06,0.04,0.05,0.06,10,"2,950",89.48%,0.00,0.0000,0.00,0.01
38.50,0.05,0.05,0.06,0.06,0,"1,968",89.62%,0.00,0.0001,0.00,0.01
39.00,0.05,0.05,0.06,0.06,0,"2,278",88.87%,0.00,0.0001,0.00,0.01
39.50,0.05,0.06,0.08,0.10,0,"4,562",91.79%,0.00,0.0001,0.00,0.01
40.00,0.06,0.06,0.08,0.10,0,"18,118",91.03%,0.00,0.0001,0.00,0.01
40.50,0.06,0.06,0.08,0.10,0,"1,292",90.28%,0.00,0.0001,0.00,0.01
41.00,-,0.07,0.09,0.11,0,"1,172",90.75%,0.00,0.0001,0.00,0.01
41.50,0.07,0.06,0.08,0.11,0,"3,270",89.43%,0.00,0.0001,0.00,0.01
