Snapshot Date,Symbol,Underlying Price,Expiry Date,DTE,Side,Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
2025-08-15 09:28:26,PLTR,0,2025-08-22,7,P,75.0,0.01,0.0,0.01,0.01,2,234,184.28%,0.0,0.0,0.0,0.0
2025-08-15 09:28:26,PLTR,0,2025-08-22,7,P,80.0,-,0.0,0.03,0.05,0,82,196.61%,0.0,0.0001,-0.02,0.0
2025-08-15 09:28:26,PLTR,0,2025-08-22,7,P,85.0,0.01,0.0,0.01,0.01,8,"1,130",159.24%,0.0,0.0,0.0,0.0
2025-08-15 09:28:26,PLTR,0,2025-08-22,7,P,90.0,0.01,0.0,0.02,0.03,180,289,161.95%,0.0,0.0001,-0.01,0.0
2025-08-15 09:28:26,PLTR,0,2025-08-22,7,P,95.0,0.01,0.0,0.05,0.1,"4,380","1,221",169.20%,0.0,0.0002,-0.03,0.0
2025-08-15 09:28:26,PLTR,0,2025-08-22,7,P,100.0,0.01,0.0,0.01,0.01,"3,056",856,126.63%,0.0,0.0001,0.0,0.0
2025-08-15 09:28:26,PLTR,0,2025-08-22,7,P,105.0,0.03,0.0,0.01,0.02,"1,873","6,586",123.71%,0.0,0.0001,-0.01,0.0
2025-08-15 09:28:26,PLTR,0,2025-08-22,7,P,110.0,0.02,0.01,0.02,0.02,"1,506","3,871",118.07%,0.0,0.0002,-0.01,0.0
2025-08-15 09:28:26,PLTR,0,2025-08-22,7,P,115.0,0.03,0.01,0.02,0.02,"2,577","1,883",108.28%,0.0,0.0002,-0.01,0.0
2025-08-15 09:28:26,PLTR,0,2025-08-22,7,P,118.0,0.04,0.02,0.03,0.03,"1,005","1,257",107.87%,0.0,0.0003,-0.02,0.0
2025-08-15 09:28:26,PLTR,0,2025-08-22,7,P,119.0,0.07,0.02,0.03,0.04,12,919,107.94%,0.0,0.0003,-0.02,0.0
2025-08-15 09:28:26,PLTR,0,2025-08-22,7,P,120.0,0.03,0.02,0.03,0.03,160,"1,511",103.98%,0.0,0.0003,-0.02,0.0
2025-08-15 09:28:26,PLTR,0,2025-08-22,7,P,121.0,0.06,0.02,0.03,0.03,6,184,102.06%,0.0,0.0003,-0.02,0.0
2025-08-15 09:28:26,PLTR,0,2025-08-22,7,P,122.0,0.03,0.03,0.04,0.04,24,168,103.79%,0.0,0.0004,-0.02,0.0
2025-08-15 09:28:26,PLTR,0,2025-08-22,7,P,123.0,0.06,0.02,0.03,0.03,1,275,98.26%,0.0,0.0003,-0.02,0.0
2025-08-15 09:28:26,PLTR,0,2025-08-22,7,P,124.0,0.03,0.02,0.03,0.04,84,395,98.25%,0.0,0.0004,-0.02,0.0
2025-08-15 09:28:26,PLTR,0,2025-08-22,7,P,125.0,0.03,0.03,0.04,0.04,102,"2,544",97.97%,0.0,0.0005,-0.02,0.0
2025-08-15 09:28:26,PLTR,0,2025-08-22,7,P,126.0,0.05,0.03,0.06,0.09,43,346,102.21%,-0.01,0.0007,-0.03,0.0
2025-08-15 09:28:26,PLTR,0,2025-08-22,7,P,127.0,0.11,0.03,0.06,0.08,5,492,99.17%,-0.01,0.0007,-0.03,0.0
2025-08-15 09:28:26,PLTR,0,2025-08-22,7,P,128.0,0.07,0.04,0.05,0.06,61,250,96.11%,-0.01,0.0006,-0.03,0.0
2025-08-15 09:28:26,PLTR,0,2025-08-22,7,P,129.0,-,0.04,0.05,0.06,0,236,94.17%,-0.01,0.0007,-0.03,0.0
2025-08-15 09:28:26,PLTR,0,2025-08-22,7,P,130.0,0.05,0.05,0.06,0.06,275,"1,738",93.30%,-0.01,0.0007,-0.03,0.0
2025-08-15 09:28:26,PLTR,0,2025-08-22,7,P,131.0,0.07,0.05,0.06,0.06,322,514,91.37%,-0.01,0.0008,-0.03,0.0
