Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
80.00,101.25,77.60,77.90,78.20,0,16,308.38%,0.91,0.0017,-0.52,0.05
85.00,89.10,72.40,72.78,73.15,0,6,283.28%,0.90,0.0020,-0.50,0.06
90.00,69.31,67.80,68.30,68.80,0,180,270.40%,0.89,0.0022,-0.52,0.06
95.00,86.68,62.80,63.00,63.20,0,255,244.99%,0.88,0.0026,-0.49,0.06
100.00,58.59,57.65,58.05,58.45,0,49,226.16%,0.87,0.0029,-0.48,0.07
105.00,52.60,52.90,53.15,53.40,0,33,208.77%,0.86,0.0034,-0.48,0.07
110.00,50.19,47.65,48.18,48.70,0,33,190.99%,0.84,0.0039,-0.46,0.08
115.00,43.31,42.35,43.38,44.40,0,24,175.89%,0.83,0.0046,-0.45,0.08
120.00,44.50,38.20,38.48,38.75,0,50,159.86%,0.81,0.0053,-0.44,0.09
125.00,35.18,33.50,34.03,34.55,0,27,148.88%,0.78,0.0062,-0.44,0.09
130.00,29.11,28.85,29.08,29.30,0,40,132.44%,0.76,0.0073,-0.42,0.10
135.00,24.38,24.45,24.60,24.75,0,87,120.50%,0.72,0.0086,-0.41,0.11
139.00,20.90,21.00,21.53,22.05,0,20,114.93%,0.69,0.0096,-0.41,0.11
140.00,20.50,20.15,20.30,20.45,0,133,109.41%,0.68,0.0102,-0.39,0.11
141.00,20.90,19.35,19.55,19.75,0,61,108.02%,0.67,0.0104,-0.39,0.12
142.00,18.90,18.50,18.75,19.00,0,23,106.14%,0.66,0.0107,-0.39,0.12
143.00,17.45,17.70,17.83,17.95,0,26,103.14%,0.65,0.0112,-0.38,0.12
144.00,17.10,16.95,17.05,17.15,0,10,101.36%,0.64,0.0115,-0.38,0.12
145.00,15.65,16.15,16.25,16.35,0,100,99.31%,0.63,0.0119,-0.38,0.12
146.00,16.05,15.40,15.50,15.60,0,67,97.61%,0.62,0.0122,-0.38,0.12
147.00,14.40,14.65,14.75,14.85,0,16,95.83%,0.61,0.0125,-0.37,0.12
148.00,14.10,13.90,14.00,14.10,0,54,93.97%,0.59,0.0129,-0.37,0.12
149.00,13.25,13.15,13.28,13.40,0,49,92.24%,0.58,0.0132,-0.36,0.13
150.00,8.95,8.45,8.70,8.95,2,197,59.90%,0.57,0.0205,-0.24,0.13
152.50,7.65,5.60,6.63,7.65,1,129,53.28%,0.51,0.0233,-0.22,0.13
155.00,6.85,4.95,5.90,6.85,5,286,56.21%,0.46,0.0220,-0.23,0.13
157.50,8.00,7.95,8.03,8.10,0,346,80.75%,0.45,0.0153,-0.32,0.13
160.00,4.50,3.10,4.25,5.40,2,"1,485",57.54%,0.36,0.0203,-0.22,0.12
162.50,3.70,1.85,3.30,4.75,2,779,55.63%,0.31,0.0197,-0.20,0.11
165.00,4.65,4.65,4.73,4.80,0,"2,774",73.99%,0.33,0.0152,-0.27,0.12
167.50,2.56,1.26,2.43,3.60,1,571,58.33%,0.24,0.0164,-0.18,0.10
170.00,3.25,3.15,3.22,3.30,0,"2,371",71.26%,0.25,0.0140,-0.23,0.10
172.50,2.69,2.69,2.70,2.70,1,"1,231",70.79%,0.22,0.0131,-0.21,0.10
175.00,1.42,1.13,1.43,1.73,3,"2,256",60.45%,0.15,0.0121,-0.14,0.07
177.50,1.14,0.11,1.01,1.91,1,"1,120",58.26%,0.12,0.0105,-0.11,0.06
180.00,1.46,1.43,1.46,1.50,0,"2,642",68.84%,0.14,0.0100,-0.15,0.07
182.50,0.80,0.01,0.60,1.18,1,"1,067",57.58%,0.08,0.0077,-0.08,0.05
185.00,0.67,0.01,0.50,0.99,1,"2,905",58.54%,0.06,0.0067,-0.07,0.04
187.50,0.60,0.20,0.48,0.76,2,"1,390",61.09%,0.06,0.0061,-0.07,0.04
190.00,0.72,0.71,0.72,0.73,0,"2,959",69.86%,0.08,0.0064,-0.10,0.05
192.50,0.38,0.57,1.03,1.49,1,"1,260",79.25%,0.09,0.0065,-0.13,0.05
195.00,0.37,0.49,0.95,1.41,15,"1,287",80.83%,0.09,0.0060,-0.13,0.05
197.50,0.43,0.41,0.43,0.45,0,421,71.07%,0.05,0.0044,-0.07,0.03
200.00,0.29,0.19,0.28,0.37,1,"2,193",68.34%,0.03,0.0034,-0.05,0.02
205.00,0.28,0.28,0.76,1.24,2,"1,043",88.26%,0.07,0.0045,-0.11,0.04
210.00,0.19,0.19,0.20,0.20,0,775,73.77%,0.02,0.0023,-0.04,0.02
215.00,0.20,0.10,0.14,0.18,0,881,74.58%,0.02,0.0018,-0.03,0.01
220.00,0.10,0.01,0.11,0.21,35,"1,976",76.23%,0.01,0.0014,-0.03,0.01
225.00,0.08,0.02,0.06,0.09,0,663,73.72%,0.01,0.0009,-0.02,0.01
230.00,0.04,0.03,0.05,0.07,0,514,76.47%,0.01,0.0008,-0.01,0.01
235.00,0.05,0.03,0.04,0.05,0,141,78.01%,0.01,0.0006,-0.01,0.00
240.00,0.07,0.02,0.07,0.11,0,"1,696",85.70%,0.01,0.0008,-0.02,0.01
245.00,0.08,0.01,0.65,1.29,8,116,122.98%,0.04,0.0024,-0.11,0.03
250.00,0.02,0.02,0.04,0.05,0,415,86.43%,0.00,0.0005,-0.01,0.00
260.00,0.02,0.01,0.06,0.10,0,715,96.76%,0.01,0.0005,-0.02,0.01
270.00,0.03,0.01,0.04,0.07,0,107,99.34%,0.00,0.0004,-0.01,0.00
280.00,0.01,0.01,0.01,0.01,0,155,92.60%,0.00,0.0001,0.00,0.00
