Snapshot Date,Symbol,Underlying Price,Expiry Date,DTE,Side,Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,30.0,119.38,125.8,126.25,126.7,11,"2,376",0.00%,1.0,0.0,0.0,0.0
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,35.0,119.60,120.8,121.1,121.4,10,"4,570",0.00%,1.0,0.0,0.0,0.0
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,37.5,-,117.25,118.93,120.6,0,87,0.00%,1.0,0.0,0.0,0.0
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,40.0,112.10,115.9,116.18,116.45,4,329,0.00%,1.0,0.0,0.0,0.0
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,42.5,-,112.7,113.83,114.95,0,509,0.00%,1.0,0.0,0.0,0.0
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,45.0,-,111.15,111.33,111.5,0,932,0.00%,1.0,0.0,-0.01,0.0
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,47.5,-,107.65,108.4,109.15,0,48,0.00%,1.0,0.0,-0.01,0.0
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,50.0,104.70,105.8,106.18,106.55,43,"1,002",0.00%,1.0,0.0,-0.01,0.0
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,55.0,100.80,100.55,101.32,102.1,2,820,0.00%,1.0,0.0,-0.01,0.0
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,57.5,-,97.85,99.0,100.15,0,213,0.00%,1.0,0.0,-0.01,0.0
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,60.0,84.25,96.4,96.55,96.7,3,768,0.00%,1.0,0.0,-0.01,0.0
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,62.5,-,93.2,94.23,95.25,0,288,0.00%,1.0,0.0,-0.01,0.0
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,65.0,79.15,90.5,91.18,91.85,1,717,0.00%,1.0,0.0,-0.01,0.0
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,67.5,89.15,88.25,89.18,90.1,5,965,0.00%,1.0,0.0,-0.01,0.0
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,70.0,78.00,85.85,86.35,86.85,10,"1,859",0.00%,1.0,0.0,-0.01,0.0
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,72.5,74.56,83.55,84.03,84.5,2,645,0.00%,1.0,0.0,-0.01,0.0
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,75.0,68.90,80.8,81.78,82.75,30,863,0.00%,1.0,0.0,-0.01,0.0
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,77.5,-,78.25,78.9,79.55,0,349,0.00%,1.0,0.0,-0.01,0.0
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,80.0,76.93,76.8,77.03,77.25,58,"1,798",0.00%,1.0,0.0,-0.01,0.0
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,82.5,64.30,73.45,74.55,75.65,28,63,0.00%,1.0,0.0,-0.01,0.0
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,85.0,71.40,71.25,71.7,72.15,20,"2,156",0.00%,1.0,0.0,-0.01,0.0
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,87.5,69.77,68.55,69.95,71.35,5,166,0.00%,1.0,0.0,-0.01,0.0
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,90.0,65.80,67.1,67.53,67.95,16,"1,455",0.00%,1.0,0.0,-0.01,0.0
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,92.5,63.60,63.55,64.78,66.0,3,79,0.00%,1.0,0.0,-0.01,0.0
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,95.0,56.77,61.65,62.43,63.2,85,"1,640",0.00%,1.0,0.0,-0.01,0.0
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,97.5,-,59.0,60.18,61.35,0,174,41.74%,1.0,0.0002,-0.01,0.0
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,100.0,57.96,57.1,57.55,58.0,235,"1,782",0.00%,1.0,0.0,-0.01,0.0
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,105.0,53.10,52.75,53.03,53.3,146,"1,495",54.29%,0.98,0.0016,-0.03,0.03
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,110.0,46.43,48.2,48.45,48.7,41,"2,150",57.17%,0.96,0.0026,-0.04,0.06
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,115.0,42.55,43.7,43.95,44.2,79,761,57.77%,0.93,0.0036,-0.05,0.08
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,120.0,39.83,39.35,39.55,39.75,397,"2,889",57.48%,0.91,0.0047,-0.06,0.1
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,125.0,35.65,35.1,35.33,35.55,212,"2,034",57.09%,0.87,0.0058,-0.08,0.13
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,130.0,31.49,31.05,31.25,31.45,415,"3,251",56.34%,0.84,0.007,-0.09,0.15
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,135.0,27.45,27.3,27.43,27.55,261,"2,674",55.77%,0.79,0.0082,-0.1,0.18
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,140.0,23.80,23.7,23.8,23.9,381,"2,898",54.96%,0.75,0.0093,-0.11,0.2
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,145.0,20.35,20.3,20.4,20.5,"2,154","2,978",54.00%,0.69,0.0104,-0.11,0.22
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,150.0,17.28,17.2,17.3,17.4,"6,474","4,051",53.16%,0.64,0.0113,-0.12,0.23
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,155.0,14.50,14.4,14.5,14.6,"2,983","3,927",52.38%,0.58,0.0119,-0.12,0.24
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,160.0,11.99,11.95,12.02,12.1,"4,642","5,601",51.72%,0.52,0.0123,-0.12,0.25
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,165.0,9.83,9.75,9.83,9.9,"5,003","4,523",50.99%,0.46,0.0124,-0.12,0.25
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,170.0,8.00,7.9,7.98,8.05,"2,477","6,873",50.52%,0.4,0.0122,-0.11,0.24
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,175.0,6.45,6.4,6.45,6.5,"4,042","3,457",50.30%,0.34,0.0117,-0.1,0.23
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,180.0,5.19,5.15,5.2,5.25,"6,566","13,042",50.23%,0.29,0.0109,-0.1,0.21
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,185.0,4.20,4.15,4.2,4.25,"3,217","7,694",50.37%,0.25,0.01,-0.09,0.2
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,190.0,3.36,3.35,3.4,3.45,"11,222","9,083",50.64%,0.21,0.0091,-0.08,0.18
2025-08-21 20:56:22,PLTR,0,2025-10-17,57,C,195.0,2.70,2.71,2.74,2.77,"1,121","3,484",50.88%,0.17,0.0081,-0.07,0.16
