Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
75.00,0.04,0.01,0.06,0.10,55,236,169.28%,0.00,0.0001,-0.02,0.00
80.00,-,0.00,0.10,0.19,0,59,167.45%,0.00,0.0002,-0.03,0.00
85.00,0.01,0.00,0.06,0.12,2,396,147.54%,0.00,0.0002,-0.02,0.00
90.00,-,0.01,0.09,0.16,0,"1,106",142.48%,0.00,0.0003,-0.03,0.01
95.00,0.03,0.01,0.03,0.06,11,530,119.57%,0.00,0.0002,-0.01,0.00
100.00,0.04,0.03,0.05,0.07,33,461,114.76%,0.00,0.0003,-0.02,0.00
105.00,0.05,0.01,0.05,0.09,15,382,105.75%,0.00,0.0003,-0.02,0.00
110.00,0.05,0.05,0.08,0.10,386,"1,146",101.86%,-0.01,0.0005,-0.02,0.01
115.00,0.09,0.06,0.08,0.10,135,687,93.99%,-0.01,0.0006,-0.02,0.01
120.00,0.12,0.10,0.11,0.12,67,"2,979",89.27%,-0.01,0.0009,-0.03,0.01
125.00,0.17,0.12,0.16,0.20,50,630,85.35%,-0.01,0.0012,-0.04,0.01
127.00,0.16,0.10,0.18,0.25,4,203,83.05%,-0.02,0.0014,-0.04,0.01
128.00,0.18,0.08,0.14,0.20,4,203,78.70%,-0.01,0.0013,-0.03,0.01
129.00,0.18,0.00,0.14,0.27,9,136,76.65%,-0.01,0.0013,-0.03,0.01
130.00,0.19,0.18,0.20,0.22,107,"1,830",79.60%,-0.02,0.0017,-0.05,0.02
131.00,0.20,0.04,0.17,0.30,4,73,75.96%,-0.02,0.0016,-0.04,0.01
132.00,0.16,0.04,0.16,0.29,11,168,73.96%,-0.02,0.0016,-0.04,0.01
133.00,0.21,0.05,0.18,0.31,4,223,73.30%,-0.02,0.0018,-0.04,0.02
134.00,0.23,0.22,0.24,0.26,12,173,75.06%,-0.02,0.0021,-0.05,0.02
135.00,0.23,0.17,0.22,0.27,81,"1,000",72.31%,-0.02,0.0021,-0.05,0.02
136.00,0.29,0.22,0.31,0.40,3,175,74.92%,-0.03,0.0026,-0.06,0.02
137.00,0.25,0.13,0.25,0.36,29,348,70.22%,-0.03,0.0024,-0.05,0.02
138.00,0.27,0.17,0.28,0.38,7,126,69.93%,-0.03,0.0027,-0.06,0.02
139.00,0.30,0.23,0.32,0.40,1,154,69.91%,-0.03,0.0029,-0.06,0.02
140.00,0.31,0.30,0.32,0.33,285,"1,289",68.19%,-0.03,0.0031,-0.06,0.03
141.00,0.34,0.28,0.36,0.43,9,102,67.98%,-0.04,0.0034,-0.07,0.03
142.00,0.50,0.30,0.39,0.47,6,220,67.29%,-0.04,0.0036,-0.07,0.03
143.00,0.44,0.31,0.40,0.48,41,103,65.87%,-0.04,0.0038,-0.07,0.03
144.00,0.40,0.35,0.44,0.53,27,254,65.53%,-0.04,0.0042,-0.08,0.03
145.00,0.44,0.41,0.44,0.46,351,963,63.60%,-0.05,0.0044,-0.07,0.03
146.00,0.46,0.37,0.42,0.47,295,346,61.39%,-0.05,0.0045,-0.07,0.03
147.00,0.50,0.46,0.48,0.49,20,237,61.20%,-0.05,0.0049,-0.08,0.04
148.00,0.51,0.36,0.44,0.52,45,"1,124",58.46%,-0.05,0.0051,-0.07,0.04
