Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
35.00,0.04,0.01,0.04,0.07,20,"1,110",112.98%,0.00,0.0001,0.00,0.00
37.50,0.03,0.03,0.06,0.08,2,82,111.55%,0.00,0.0001,0.00,0.00
40.00,0.04,0.04,0.07,0.09,2,"2,080",108.62%,0.00,0.0001,0.00,0.01
42.50,0.09,0.05,0.08,0.11,1,461,106.40%,0.00,0.0001,0.00,0.01
45.00,-,0.06,0.10,0.14,0,982,104.62%,0.00,0.0001,0.00,0.01
47.50,0.12,0.10,0.13,0.15,18,272,103.05%,0.00,0.0002,-0.01,0.01
50.00,0.12,0.11,0.14,0.16,13,"1,875",99.79%,0.00,0.0002,-0.01,0.01
55.00,-,0.17,0.21,0.24,0,"1,307",97.14%,-0.01,0.0003,-0.01,0.02
60.00,0.28,0.25,0.28,0.31,22,"1,262",93.69%,-0.01,0.0004,-0.01,0.02
65.00,0.40,0.34,0.38,0.41,2,"3,791",90.44%,-0.01,0.0005,-0.01,0.03
70.00,0.49,0.46,0.50,0.53,20,"5,931",87.42%,-0.02,0.0006,-0.02,0.03
72.50,-,0.52,0.55,0.58,0,763,85.55%,-0.02,0.0007,-0.02,0.04
75.00,0.69,0.61,0.65,0.69,2,"2,623",84.70%,-0.02,0.0008,-0.02,0.04
77.50,-,0.69,0.73,0.76,0,"1,655",83.05%,-0.03,0.0009,-0.02,0.05
80.00,0.79,0.79,0.82,0.84,18,"1,941",81.59%,-0.03,0.0011,-0.02,0.05
82.50,0.88,0.89,0.93,0.96,5,553,80.36%,-0.03,0.0012,-0.03,0.06
85.00,1.00,1.01,1.05,1.08,42,"1,235",79.14%,-0.04,0.0013,-0.03,0.06
87.50,1.15,1.14,1.17,1.21,7,"1,575",77.91%,-0.04,0.0015,-0.03,0.07
90.00,1.27,1.29,1.32,1.35,59,"2,153",76.73%,-0.05,0.0017,-0.03,0.07
92.50,1.41,1.47,1.49,1.51,60,202,75.70%,-0.05,0.0019,-0.03,0.08
95.00,1.67,1.65,1.67,1.69,4,"2,234",74.61%,-0.06,0.0020,-0.04,0.09
97.50,1.80,1.85,1.87,1.89,81,917,73.57%,-0.07,0.0023,-0.04,0.10
100.00,2.08,2.06,2.09,2.11,189,"5,886",72.51%,-0.07,0.0025,-0.04,0.11
105.00,2.57,2.57,2.60,2.63,244,"3,505",70.65%,-0.09,0.0030,-0.05,0.12
110.00,3.25,3.15,3.20,3.25,387,"4,782",68.77%,-0.11,0.0035,-0.05,0.14
115.00,3.95,3.90,3.95,4.00,256,"3,539",67.21%,-0.13,0.0041,-0.06,0.16
120.00,4.80,4.80,4.82,4.85,303,"7,286",65.69%,-0.16,0.0048,-0.07,0.18
125.00,5.85,5.85,5.90,5.95,217,"3,678",64.47%,-0.19,0.0054,-0.07,0.21
130.00,7.10,7.05,7.10,7.15,470,"4,894",63.12%,-0.22,0.0061,-0.08,0.23
135.00,8.55,8.50,8.55,8.60,398,"2,947",62.12%,-0.25,0.0067,-0.08,0.25
140.00,10.15,10.10,10.18,10.25,315,"3,770",61.08%,-0.29,0.0073,-0.09,0.26
145.00,11.95,11.95,12.02,12.10,299,"2,583",60.15%,-0.33,0.0079,-0.09,0.28
150.00,14.10,14.05,14.10,14.15,"2,353","5,187",59.30%,-0.38,0.0084,-0.09,0.29
155.00,16.38,16.35,16.43,16.50,616,"1,637",58.59%,-0.42,0.0087,-0.09,0.30
160.00,18.80,18.90,18.98,19.05,483,"2,659",57.92%,-0.46,0.0090,-0.09,0.30
165.00,21.55,21.65,21.75,21.85,81,"1,834",57.31%,-0.51,0.0091,-0.09,0.31
170.00,24.65,24.65,24.75,24.85,218,"3,099",56.77%,-0.55,0.0091,-0.09,0.30
175.00,27.80,27.90,28.00,28.10,95,"1,261",56.40%,-0.59,0.0090,-0.08,0.30
180.00,30.60,31.35,31.45,31.55,37,"1,770",56.10%,-0.63,0.0087,-0.08,0.29
185.00,35.32,34.90,35.03,35.15,24,"1,963",55.62%,-0.67,0.0085,-0.07,0.28
190.00,39.47,38.70,38.85,39.00,9,476,55.48%,-0.71,0.0081,-0.07,0.26
195.00,44.53,42.70,42.83,42.95,1,205,55.39%,-0.74,0.0076,-0.06,0.25
200.00,46.45,46.85,46.98,47.10,7,325,55.51%,-0.77,0.0071,-0.05,0.23
210.00,55.19,55.45,55.60,55.75,102,361,55.85%,-0.82,0.0062,-0.04,0.20
220.00,66.90,64.50,64.65,64.80,1,171,56.80%,-0.85,0.0052,-0.03,0.17
230.00,73.20,73.80,73.98,74.15,4,54,58.15%,-0.88,0.0045,-0.03,0.15
240.00,82.77,83.15,83.55,83.95,1,21,60.32%,-0.90,0.0038,-0.02,0.14
250.00,-,92.75,93.10,93.45,0,26,61.63%,-0.92,0.0033,-0.02,0.12
260.00,-,102.60,102.90,103.20,0,0,64.53%,-0.92,0.0029,-0.01,0.11
270.00,-,112.60,112.82,113.05,0,5,68.30%,-0.92,0.0027,-0.01,0.11
280.00,-,122.55,122.88,123.20,0,1,73.06%,-0.92,0.0026,-0.02,0.11
