Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
3.00,150.00,152.25,152.83,153.40,9,490,0.00%,1.00,0.0000,0.00,0.00
5.00,-,150.35,151.15,151.95,0,483,0.00%,1.00,0.0000,0.00,0.00
8.00,143.68,147.50,148.28,149.05,3,798,0.00%,1.00,0.0000,0.00,0.00
10.00,-,145.60,146.27,146.95,0,"3,879",0.00%,1.00,0.0000,0.00,0.00
13.00,130.28,142.80,143.48,144.15,5,"3,460",0.00%,1.00,0.0000,0.00,0.00
15.00,140.15,140.35,140.93,141.50,31,"10,023",0.00%,1.00,0.0000,0.00,0.00
17.00,139.40,138.30,138.88,139.45,1,"4,877",0.00%,1.00,0.0000,0.00,0.00
20.00,134.50,135.50,136.03,136.55,25,"9,719",0.00%,1.00,0.0000,0.00,0.00
22.00,133.50,134.25,134.50,134.75,43,"8,194",0.00%,1.00,0.0000,0.00,0.00
25.00,131.70,130.40,131.03,131.65,64,"8,755",0.00%,1.00,0.0000,0.00,0.00
27.00,122.70,128.40,129.35,130.30,44,"3,193",0.00%,1.00,0.0000,0.00,0.00
30.00,126.10,125.60,126.25,126.90,39,"7,491",0.00%,1.00,0.0000,0.00,0.00
32.00,115.05,124.20,125.03,125.85,7,818,0.00%,1.00,0.0000,0.00,0.00
35.00,120.80,121.55,121.73,121.90,21,"8,321",0.00%,1.00,0.0000,0.00,0.00
37.00,109.10,119.60,119.82,120.05,3,"6,424",0.00%,1.00,0.0000,0.00,0.00
40.00,116.25,116.75,117.10,117.45,12,"20,020",0.00%,1.00,0.0000,0.00,0.00
42.00,104.02,114.75,114.98,115.20,5,"2,742",0.00%,1.00,0.0000,0.00,0.00
45.00,108.62,111.85,112.05,112.25,71,"4,377",0.00%,1.00,0.0000,0.00,0.00
47.00,-,109.95,110.15,110.35,0,"1,751",0.00%,1.00,0.0000,-0.01,0.00
50.00,105.62,107.05,107.25,107.45,27,"5,416",0.00%,1.00,0.0000,-0.01,0.00
55.00,96.43,102.00,102.33,102.65,8,"2,250",0.00%,1.00,0.0000,-0.01,0.00
57.50,-,99.90,100.35,100.80,0,"5,162",0.00%,1.00,0.0000,-0.01,0.00
60.00,93.75,96.85,97.38,97.90,31,"5,488",0.00%,1.00,0.0000,-0.01,0.00
62.50,-,95.10,95.35,95.60,0,257,0.00%,1.00,0.0000,-0.01,0.00
65.00,85.80,92.85,93.00,93.15,4,"2,952",0.00%,1.00,0.0000,-0.01,0.00
67.50,90.72,90.25,90.60,90.95,1,"2,002",0.00%,1.00,0.0000,-0.01,0.00
70.00,86.77,88.10,88.40,88.70,41,"5,420",59.47%,0.99,0.0004,-0.01,0.02
72.50,74.70,85.80,86.00,86.20,14,645,59.25%,0.99,0.0005,-0.01,0.03
75.00,78.24,83.50,84.03,84.55,24,"3,554",67.78%,0.98,0.0009,-0.02,0.06
77.50,80.80,81.25,81.50,81.75,6,560,64.03%,0.98,0.0009,-0.02,0.06
80.00,77.52,79.00,79.30,79.60,99,"9,988",65.52%,0.97,0.0011,-0.02,0.07
82.50,76.00,76.75,76.90,77.05,8,100,63.75%,0.97,0.0012,-0.02,0.08
85.00,73.75,74.35,74.57,74.80,15,"2,073",62.90%,0.96,0.0013,-0.03,0.08
87.50,72.80,71.65,72.50,73.35,2,81,64.53%,0.95,0.0015,-0.03,0.10
90.00,70.25,70.10,70.25,70.40,55,"4,102",63.94%,0.95,0.0017,-0.03,0.11
92.50,65.95,67.95,68.08,68.20,6,177,63.81%,0.94,0.0019,-0.03,0.12
95.00,65.95,65.75,65.90,66.05,200,"2,881",63.44%,0.93,0.0021,-0.04,0.13
97.50,57.70,63.05,63.70,64.35,6,94,62.73%,0.92,0.0023,-0.04,0.14
100.00,62.05,61.55,61.68,61.80,253,"8,826",63.00%,0.91,0.0025,-0.04,0.16
105.00,57.61,57.45,57.58,57.70,95,"7,738",62.52%,0.89,0.0029,-0.05,0.18
110.00,53.70,53.45,53.58,53.70,88,"2,934",61.86%,0.87,0.0034,-0.05,0.21
115.00,47.40,49.60,49.73,49.85,58,"4,858",61.27%,0.85,0.0038,-0.06,0.23
120.00,45.90,45.80,45.95,46.10,560,"8,515",60.40%,0.82,0.0043,-0.06,0.26
125.00,42.30,42.35,42.45,42.55,165,"4,626",60.01%,0.80,0.0047,-0.07,0.28
130.00,38.95,38.90,39.03,39.15,283,"3,751",59.32%,0.77,0.0051,-0.07,0.31
135.00,35.73,35.65,35.78,35.90,172,"2,188",58.70%,0.74,0.0055,-0.07,0.33
140.00,32.58,32.60,32.70,32.80,472,"3,705",58.10%,0.71,0.0059,-0.08,0.35
145.00,29.75,29.65,29.78,29.90,453,"1,891",57.47%,0.67,0.0063,-0.08,0.36
150.00,26.95,26.95,27.05,27.15,"2,403","8,053",56.93%,0.64,0.0066,-0.08,0.38
155.00,24.60,24.40,24.50,24.60,808,"1,721",56.42%,0.60,0.0068,-0.08,0.39
160.00,22.20,22.00,22.10,22.20,"1,528","4,958",55.87%,0.57,0.0070,-0.08,0.39
165.00,19.95,19.80,19.90,20.00,544,"2,474",55.40%,0.53,0.0072,-0.08,0.40
170.00,17.90,17.75,17.85,17.95,776,"3,186",54.92%,0.50,0.0072,-0.08,0.40
175.00,15.95,15.90,15.98,16.05,"1,064","2,707",54.49%,0.46,0.0073,-0.08,0.40
180.00,14.25,14.20,14.27,14.35,"1,812","5,548",54.12%,0.43,0.0072,-0.08,0.39
185.00,12.65,12.70,12.77,12.85,"1,116","6,525",53.91%,0.40,0.0071,-0.08,0.39
190.00,11.40,11.30,11.40,11.50,952,"5,015",53.67%,0.37,0.0070,-0.07,0.38
195.00,10.14,10.10,10.18,10.25,470,"2,814",53.51%,0.34,0.0068,-0.07,0.37
200.00,9.05,9.00,9.08,9.15,"3,252","17,091",53.37%,0.31,0.0066,-0.07,0.35
210.00,7.10,7.15,7.23,7.30,"1,132","4,137",53.23%,0.26,0.0061,-0.06,0.33
220.00,5.80,5.70,5.80,5.90,358,"2,975",53.35%,0.22,0.0055,-0.06,0.30
230.00,4.65,4.60,4.70,4.80,436,"2,997",53.64%,0.19,0.0050,-0.05,0.27
240.00,3.85,3.75,3.83,3.90,391,"2,688",53.97%,0.16,0.0044,-0.05,0.24
250.00,3.10,3.10,3.15,3.20,314,"2,131",54.45%,0.13,0.0039,-0.04,0.21
260.00,2.60,2.57,2.62,2.66,223,"1,551",54.96%,0.11,0.0035,-0.04,0.19
270.00,2.20,2.14,2.19,2.24,127,"2,792",55.52%,0.10,0.0031,-0.03,0.17
280.00,1.85,1.82,1.86,1.89,504,857,56.15%,0.08,0.0027,-0.03,0.15
