Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
35.00,-,125.50,127.60,129.70,0,"1,396",60.47%,0.99,0.0002,-0.01,0.05
37.50,127.60,124.20,126.10,128.00,20,189,68.87%,0.98,0.0003,-0.01,0.09
40.00,126.47,121.35,122.73,124.10,1,816,50.68%,0.99,0.0002,-0.01,0.04
42.50,-,120.05,121.73,123.40,0,106,65.82%,0.98,0.0004,-0.01,0.11
45.00,-,118.05,120.03,122.00,0,215,68.13%,0.97,0.0004,-0.01,0.14
47.50,-,116.05,118.03,120.00,0,147,67.70%,0.97,0.0005,-0.01,0.15
50.00,-,113.30,114.88,116.45,0,483,59.37%,0.97,0.0005,-0.01,0.13
55.00,-,109.20,110.83,112.45,0,309,59.01%,0.97,0.0006,-0.01,0.16
60.00,-,106.65,107.28,107.90,0,502,60.67%,0.96,0.0007,-0.01,0.20
65.00,104.66,103.00,104.05,105.10,1,592,62.59%,0.94,0.0009,-0.02,0.25
70.00,96.85,99.10,100.20,101.30,1,434,61.33%,0.93,0.0010,-0.02,0.28
72.50,97.44,97.60,98.25,98.90,1,197,60.57%,0.93,0.0010,-0.02,0.29
75.00,-,95.40,96.38,97.35,0,390,60.02%,0.92,0.0011,-0.02,0.31
77.50,99.40,94.05,95.10,96.15,1,206,61.25%,0.92,0.0012,-0.02,0.33
80.00,94.32,92.50,93.40,94.30,28,900,61.05%,0.91,0.0012,-0.02,0.35
82.50,-,90.85,91.30,91.75,0,876,59.70%,0.91,0.0013,-0.02,0.36
85.00,91.05,89.10,90.07,91.05,1,411,60.67%,0.90,0.0014,-0.02,0.38
87.50,-,87.55,88.45,89.35,0,226,60.48%,0.89,0.0014,-0.02,0.40
90.00,87.50,85.90,86.85,87.80,1,925,60.30%,0.89,0.0015,-0.03,0.42
92.50,-,84.40,85.30,86.20,0,31,60.18%,0.88,0.0016,-0.03,0.43
95.00,82.50,82.75,83.65,84.55,3,385,59.77%,0.87,0.0016,-0.03,0.45
97.50,-,80.40,81.73,83.05,0,380,58.75%,0.87,0.0017,-0.03,0.46
100.00,80.63,79.85,80.28,80.70,3,"1,142",58.72%,0.86,0.0018,-0.03,0.48
105.00,-,76.45,77.53,78.60,0,740,58.80%,0.85,0.0019,-0.03,0.51
110.00,77.55,73.15,74.50,75.85,3,571,58.16%,0.83,0.0020,-0.03,0.54
115.00,74.49,71.35,71.95,72.55,2,"1,276",58.25%,0.82,0.0021,-0.03,0.57
120.00,69.00,67.85,68.98,70.10,12,"1,737",57.43%,0.80,0.0022,-0.03,0.60
125.00,67.04,66.10,66.73,67.35,13,663,57.70%,0.79,0.0023,-0.03,0.62
130.00,63.65,63.55,63.98,64.40,2,885,57.02%,0.77,0.0025,-0.03,0.65
135.00,61.85,61.20,61.90,62.60,3,"3,500",57.25%,0.76,0.0025,-0.04,0.67
140.00,59.30,58.20,59.45,60.70,5,"3,480",56.81%,0.74,0.0026,-0.04,0.69
145.00,-,56.00,56.78,57.55,0,358,55.97%,0.73,0.0028,-0.04,0.72
150.00,54.35,54.05,55.05,56.05,18,"4,659",56.33%,0.71,0.0028,-0.04,0.73
155.00,53.15,52.80,53.45,54.10,87,"1,102",56.75%,0.70,0.0029,-0.04,0.75
160.00,50.85,50.85,51.60,52.35,19,"1,042",56.73%,0.68,0.0029,-0.04,0.77
165.00,48.87,48.80,49.65,50.50,1,641,56.48%,0.67,0.0030,-0.04,0.78
170.00,47.19,46.65,47.58,48.50,13,"3,714",56.00%,0.65,0.0031,-0.04,0.79
175.00,45.00,45.20,46.10,47.00,17,852,56.19%,0.64,0.0031,-0.04,0.81
180.00,45.17,43.75,44.43,45.10,12,615,56.05%,0.62,0.0031,-0.04,0.82
185.00,42.30,41.70,42.55,43.40,24,"2,647",55.60%,0.61,0.0032,-0.04,0.83
190.00,42.43,39.85,40.98,42.10,4,244,55.45%,0.59,0.0032,-0.04,0.83
195.00,-,39.15,39.88,40.60,0,226,55.80%,0.58,0.0033,-0.04,0.84
200.00,37.57,37.60,38.35,39.10,16,863,55.57%,0.57,0.0033,-0.04,0.85
210.00,37.10,34.30,35.45,36.60,3,120,55.12%,0.54,0.0033,-0.04,0.85
220.00,33.80,32.70,32.95,33.20,26,823,54.92%,0.51,0.0034,-0.04,0.86
230.00,31.35,30.25,31.08,31.90,2,140,55.24%,0.49,0.0034,-0.04,0.86
240.00,29.00,27.60,28.73,29.85,4,201,54.81%,0.47,0.0034,-0.04,0.86
250.00,27.90,25.75,26.38,27.00,3,61,54.21%,0.44,0.0034,-0.04,0.85
260.00,25.52,24.00,25.10,26.20,1,99,54.71%,0.42,0.0033,-0.04,0.84
270.00,24.83,22.50,23.58,24.65,3,116,54.78%,0.40,0.0033,-0.04,0.83
280.00,22.45,21.85,22.05,22.25,17,178,54.70%,0.38,0.0032,-0.04,0.82
