Snapshot Date,Symbol,Underlying Price,Expiry Date,DTE,Side,Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
2025-08-15 09:30:53,RIVN,0,2025-08-15,0,C,5.0,6.95,7.0,7.18,7.35,10,365,"1,000.00%",0.97,0.0096,-0.19,0.0
2025-08-15 09:30:53,RIVN,0,2025-08-15,0,C,6.0,5.97,5.7,6.23,6.75,15,55,"1,000.00%",0.94,0.0178,-0.35,0.0
2025-08-15 09:30:53,RIVN,0,2025-08-15,0,C,6.5,5.65,5.5,5.83,6.15,26,20,"1,000.00%",0.93,0.0225,-0.45,0.0
2025-08-15 09:30:53,RIVN,0,2025-08-15,0,C,7.0,4.92,5.0,5.23,5.45,25,51,840.81%,0.93,0.0263,-0.37,0.0
2025-08-15 09:30:53,RIVN,0,2025-08-15,0,C,7.5,4.65,4.4,4.58,4.75,17,22,547.68%,0.96,0.0231,-0.14,0.0
2025-08-15 09:30:53,RIVN,0,2025-08-15,0,C,8.0,3.92,3.9,4.13,4.35,5,67,560.51%,0.94,0.0346,-0.22,0.0
2025-08-15 09:30:53,RIVN,0,2025-08-15,0,C,8.5,3.65,3.4,3.53,3.65,2,7,278.90%,0.99,0.011,-0.02,0.0
2025-08-15 09:30:53,RIVN,0,2025-08-15,0,C,9.0,-,3.05,3.15,3.25,0,461,453.67%,0.91,0.0569,-0.23,0.0
2025-08-15 09:30:53,RIVN,0,2025-08-15,0,C,9.5,2.51,2.55,2.57,2.59,7,118,302.05%,0.94,0.0608,-0.11,0.0
2025-08-15 09:30:53,RIVN,0,2025-08-15,0,C,10.0,2.16,2.06,2.08,2.09,22,811,254.51%,0.93,0.0866,-0.11,0.0
2025-08-15 09:30:53,RIVN,0,2025-08-15,0,C,10.5,1.44,1.56,1.58,1.59,2,131,201.07%,0.91,0.1281,-0.1,0.0
2025-08-15 09:30:53,RIVN,0,2025-08-15,0,C,11.0,1.21,1.06,1.08,1.1,73,882,151.62%,0.88,0.2133,-0.1,0.0
2025-08-15 09:30:53,RIVN,0,2025-08-15,0,C,11.5,0.60,0.57,0.59,0.61,398,"1,026",101.20%,0.81,0.4326,-0.09,0.0
2025-08-15 09:30:53,RIVN,0,2025-08-15,0,C,12.0,0.19,0.17,0.18,0.19,"4,537","10,237",67.97%,0.53,0.938,-0.09,0.0
2025-08-15 09:30:53,RIVN,0,2025-08-15,0,C,12.5,0.03,0.02,0.03,0.03,"10,218","15,567",64.73%,0.13,0.5128,-0.04,0.0
2025-08-15 09:30:53,RIVN,0,2025-08-15,0,C,13.0,0.01,0.01,0.02,0.02,"3,141","29,154",95.27%,0.06,0.1996,-0.04,0.0
2025-08-15 09:30:53,RIVN,0,2025-08-15,0,C,13.5,0.01,0.01,0.02,0.02,467,"3,338",129.95%,0.05,0.1189,-0.04,0.0
2025-08-15 09:30:53,RIVN,0,2025-08-15,0,C,14.0,0.01,0.0,0.01,0.01,53,"14,256",135.81%,0.02,0.0492,-0.02,0.0
2025-08-15 09:30:53,RIVN,0,2025-08-15,0,C,14.5,0.01,0.0,0.01,0.01,17,801,161.98%,0.01,0.0361,-0.02,0.0
2025-08-15 09:30:53,RIVN,0,2025-08-15,0,C,15.0,0.01,0.0,0.01,0.01,276,"39,969",186.68%,0.01,0.0282,-0.02,0.0
2025-08-15 09:30:53,RIVN,0,2025-08-15,0,C,15.5,0.01,0.0,0.01,0.01,2,"8,823",210.12%,0.01,0.0229,-0.02,0.0
2025-08-15 09:30:53,RIVN,0,2025-08-15,0,C,16.0,0.01,0.0,0.01,0.01,116,"20,572",232.45%,0.01,0.0192,-0.02,0.0
2025-08-15 09:30:53,RIVN,0,2025-08-15,0,C,16.5,0.01,0.0,0.04,0.08,2,382,346.70%,0.05,0.0458,-0.11,0.0
2025-08-15 09:30:53,RIVN,0,2025-08-15,0,C,17.0,0.01,0.0,0.01,0.01,12,"20,165",274.24%,0.01,0.0143,-0.02,0.0
2025-08-15 09:30:53,RIVN,0,2025-08-15,0,C,17.5,-,0.0,0.03,0.05,0,314,366.25%,0.03,0.0299,-0.08,0.0
2025-08-15 09:30:53,RIVN,0,2025-08-15,0,C,18.0,0.01,0.0,0.01,0.01,22,"4,543",312.79%,0.01,0.0114,-0.02,0.0
2025-08-15 09:30:53,RIVN,0,2025-08-15,0,C,18.5,-,0.0,0.03,0.05,0,6,409.69%,0.03,0.0247,-0.08,0.0
2025-08-15 09:30:53,RIVN,0,2025-08-15,0,C,19.0,-,0.0,0.01,0.01,0,"8,732",348.59%,0.01,0.0094,-0.02,0.0
