Snapshot Date,Symbol,Underlying Price,Expiry Date,DTE,Side,Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,5.0,-,6.85,7.48,8.1,0,1,329.79%,0.95,0.0122,-0.03,0.0
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,6.0,-,6.15,6.55,6.95,0,30,293.78%,0.93,0.018,-0.03,0.0
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,6.5,-,5.65,5.78,5.9,0,0,160.14%,0.98,0.0117,-0.01,0.0
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,7.0,-,5.15,5.28,5.4,0,0,142.83%,0.98,0.0141,-0.01,0.0
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,7.5,-,4.7,4.83,4.95,0,0,152.65%,0.96,0.0242,-0.01,0.0
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,8.0,-,4.2,4.3,4.4,0,0,125.01%,0.96,0.0265,-0.01,0.0
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,8.5,3.60,3.3,3.58,3.85,3,10,0.00%,1.0,0.0,0.0,0.0
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,9.0,-,3.25,3.3,3.35,0,14,94.94%,0.95,0.0419,-0.01,0.0
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,9.5,-,2.77,2.81,2.85,0,25,84.22%,0.94,0.0573,-0.01,0.0
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,10.0,2.32,2.19,2.3,2.42,35,40,68.87%,0.93,0.0755,-0.01,0.0
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,10.5,1.69,1.81,1.86,1.9,4,18,66.53%,0.88,0.1171,-0.01,0.01
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,11.0,1.23,1.37,1.39,1.41,27,90,57.41%,0.83,0.1717,-0.01,0.01
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,11.5,0.79,0.96,0.99,1.02,402,121,53.88%,0.73,0.239,-0.02,0.01
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,12.0,0.66,0.62,0.65,0.67,279,"1,860",50.45%,0.6,0.2996,-0.02,0.01
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,12.5,0.40,0.38,0.4,0.41,444,"2,000",49.41%,0.44,0.3124,-0.02,0.01
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,13.0,0.23,0.23,0.24,0.24,646,"2,251",50.06%,0.3,0.273,-0.01,0.01
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,13.5,0.13,0.12,0.13,0.14,67,674,50.27%,0.19,0.2125,-0.01,0.01
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,14.0,0.08,0.07,0.08,0.08,280,"1,612",51.89%,0.12,0.1508,-0.01,0.01
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,14.5,0.04,0.03,0.04,0.05,32,485,52.62%,0.07,0.0998,-0.01,0.0
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,15.0,0.03,0.03,0.04,0.04,8,551,58.90%,0.06,0.0759,-0.01,0.0
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,15.5,-,0.0,0.03,0.05,0,299,62.18%,0.04,0.0549,0.0,0.0
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,16.0,0.02,0.01,0.03,0.04,10,378,68.81%,0.04,0.0463,0.0,0.0
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,16.5,-,0.0,0.22,0.43,0,548,121.75%,0.15,0.0745,-0.02,0.01
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,17.0,0.02,0.0,0.03,0.05,11,258,81.16%,0.03,0.0351,0.0,0.0
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,17.5,0.01,0.0,0.02,0.04,20,156,83.92%,0.03,0.0281,0.0,0.0
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,18.0,0.01,0.0,0.06,0.12,2,67,107.80%,0.06,0.0407,-0.01,0.0
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,18.5,-,0.0,0.14,0.27,0,7,134.88%,0.09,0.0484,-0.02,0.0
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,19.0,-,0.0,0.06,0.12,0,91,119.33%,0.05,0.0345,-0.01,0.0
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,20.0,-,0.0,0.1,0.19,0,837,141.97%,0.07,0.0356,-0.01,0.0
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,21.0,-,0.0,0.08,0.16,0,55,147.52%,0.06,0.0298,-0.01,0.0
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,22.5,-,0.0,0.19,0.38,0,9,192.80%,0.1,0.0345,-0.03,0.0
2025-08-14 09:02:55,RIVN,0,2025-08-29,15,C,25.0,-,0.0,0.21,0.42,0,27,220.87%,0.09,0.0298,-0.03,0.0
