Snapshot Date,Symbol,Underlying Price,Expiry Date,DTE,Side,Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
2025-08-21 20:57:58,RIVN,0,2025-10-17,57,P,4.0,-,0.0,0.05,0.1,0,0,150.77%,-0.02,0.0054,0.0,0.0
2025-08-21 20:57:58,RIVN,0,2025-10-17,57,P,5.0,-,0.0,0.03,0.05,0,115,109.40%,-0.01,0.0058,0.0,0.0
2025-08-21 20:57:58,RIVN,0,2025-10-17,57,P,6.0,-,0.0,0.03,0.06,0,0,91.44%,-0.02,0.0094,0.0,0.0
2025-08-21 20:57:58,RIVN,0,2025-10-17,57,P,7.0,-,0.0,0.04,0.08,0,7,77.34%,-0.03,0.0158,0.0,0.0
2025-08-21 20:57:58,RIVN,0,2025-10-17,57,P,8.0,0.07,0.05,0.07,0.09,11,173,68.36%,-0.05,0.0294,0.0,0.0
2025-08-21 20:57:58,RIVN,0,2025-10-17,57,P,9.0,0.10,0.11,0.13,0.14,"3,138",774,60.62%,-0.08,0.0529,0.0,0.01
2025-08-21 20:57:58,RIVN,0,2025-10-17,57,P,10.0,0.24,0.23,0.25,0.26,76,"11,287",55.52%,-0.16,0.0898,-0.01,0.01
2025-08-21 20:57:58,RIVN,0,2025-10-17,57,P,11.0,0.50,0.47,0.49,0.5,57,"3,885",52.72%,-0.28,0.1315,-0.01,0.02
2025-08-21 20:57:58,RIVN,0,2025-10-17,57,P,12.0,0.91,0.88,0.9,0.91,115,"8,810",51.72%,-0.43,0.1573,-0.01,0.02
2025-08-21 20:57:58,RIVN,0,2025-10-17,57,P,13.0,1.54,1.47,1.49,1.51,163,"14,645",52.30%,-0.58,0.1548,-0.01,0.02
2025-08-21 20:57:58,RIVN,0,2025-10-17,57,P,14.0,2.31,2.21,2.24,2.26,30,"1,522",53.94%,-0.7,0.1327,-0.01,0.02
2025-08-21 20:57:58,RIVN,0,2025-10-17,57,P,15.0,-,3.0,3.08,3.15,0,880,55.91%,-0.79,0.1057,-0.01,0.01
2025-08-21 20:57:58,RIVN,0,2025-10-17,57,P,16.0,4.00,3.95,4.0,4.05,3,701,60.34%,-0.84,0.0822,0.0,0.01
2025-08-21 20:57:58,RIVN,0,2025-10-17,57,P,17.0,-,4.9,4.95,5.0,0,303,64.72%,-0.88,0.0651,0.0,0.01
2025-08-21 20:57:58,RIVN,0,2025-10-17,57,P,18.0,-,5.85,5.93,6.0,0,283,70.21%,-0.9,0.0537,0.0,0.01
2025-08-21 20:57:58,RIVN,0,2025-10-17,57,P,19.0,-,6.85,6.93,7.0,0,0,77.78%,-0.9,0.047,0.0,0.01
2025-08-21 20:57:58,RIVN,0,2025-10-17,57,P,20.0,-,7.85,7.93,8.0,0,0,84.88%,-0.9,0.0421,0.0,0.01
2025-08-21 20:57:58,RIVN,0,2025-10-17,57,P,21.0,-,8.85,8.93,9.0,0,1,91.59%,-0.9,0.0384,0.0,0.01
2025-08-21 20:57:58,RIVN,0,2025-10-17,57,P,22.0,-,9.85,9.93,10.0,0,0,97.94%,-0.91,0.0354,0.0,0.01
2025-08-21 20:57:58,RIVN,0,2025-10-17,57,P,23.0,-,10.85,10.93,11.0,0,0,103.98%,-0.91,0.033,0.0,0.01
2025-08-21 20:57:58,RIVN,0,2025-10-17,57,P,24.0,-,11.85,11.93,12.0,0,0,109.75%,-0.91,0.0311,0.0,0.01
2025-08-21 20:57:58,RIVN,0,2025-10-17,57,P,25.0,-,12.85,12.93,13.0,0,0,115.27%,-0.91,0.0294,-0.01,0.01
