Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
5.00,-,7.30,7.48,7.65,0,1,303.41%,0.98,0.0084,-0.02,0.00
6.00,-,6.30,6.53,6.75,0,30,278.29%,0.96,0.0145,-0.02,0.00
6.50,-,5.90,6.08,6.25,0,0,274.14%,0.95,0.0188,-0.03,0.00
7.00,-,5.30,5.40,5.50,0,0,0.00%,1.00,0.0000,0.00,0.00
7.50,4.85,4.90,4.95,5.00,10,0,163.33%,0.97,0.0179,-0.01,0.00
8.00,-,4.40,4.45,4.50,0,0,144.76%,0.97,0.0221,-0.01,0.00
8.50,-,3.90,3.95,4.00,0,14,127.20%,0.97,0.0274,-0.01,0.00
9.00,-,3.40,3.45,3.50,0,14,110.52%,0.96,0.0348,-0.01,0.00
9.50,-,2.89,2.94,2.98,0,26,85.93%,0.97,0.0375,-0.01,0.00
10.00,2.42,2.43,2.45,2.47,5,37,79.22%,0.95,0.0607,-0.01,0.00
10.50,1.91,1.93,1.96,1.99,4,49,68.00%,0.93,0.0913,-0.01,0.00
11.00,1.37,1.43,1.49,1.55,360,87,60.73%,0.89,0.1484,-0.01,0.00
11.50,1.05,1.03,1.05,1.07,46,423,54.96%,0.80,0.2350,-0.02,0.01
12.00,0.67,0.66,0.68,0.69,589,"2,109",51.78%,0.66,0.3275,-0.02,0.01
12.50,0.40,0.37,0.39,0.40,838,"2,620",49.50%,0.49,0.3745,-0.02,0.01
13.00,0.19,0.19,0.20,0.20,"1,138","2,904",48.37%,0.31,0.3373,-0.02,0.01
13.50,0.11,0.10,0.11,0.11,609,"1,521",50.95%,0.18,0.2420,-0.01,0.01
14.00,0.06,0.05,0.06,0.06,927,"2,321",53.19%,0.10,0.1585,-0.01,0.00
14.50,0.04,0.03,0.04,0.05,49,497,59.47%,0.07,0.1085,-0.01,0.00
15.00,0.03,0.02,0.03,0.03,69,952,62.89%,0.05,0.0720,-0.01,0.00
15.50,0.04,0.01,0.02,0.02,243,299,65.43%,0.03,0.0467,0.00,0.00
16.00,0.02,0.01,0.02,0.02,50,425,73.02%,0.03,0.0387,0.00,0.00
16.50,0.03,0.00,0.01,0.02,9,548,75.63%,0.02,0.0269,0.00,0.00
17.00,0.03,0.00,0.01,0.02,49,271,82.25%,0.02,0.0232,0.00,0.00
17.50,-,0.00,0.01,0.01,0,160,81.15%,0.01,0.0138,0.00,0.00
18.00,-,0.00,0.01,0.01,0,69,86.86%,0.01,0.0123,0.00,0.00
18.50,-,0.00,0.01,0.01,0,7,92.36%,0.01,0.0110,0.00,0.00
19.00,0.01,0.00,0.01,0.01,4,91,97.66%,0.01,0.0100,0.00,0.00
20.00,-,0.00,0.01,0.01,0,837,107.75%,0.01,0.0084,0.00,0.00
21.00,-,0.00,0.01,0.01,0,55,117.20%,0.01,0.0072,0.00,0.00
22.50,-,0.00,0.01,0.01,0,9,130.37%,0.01,0.0060,0.00,0.00
25.00,-,0.00,0.04,0.07,0,27,190.24%,0.03,0.0144,-0.01,0.00
