Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
5.00,-,0.00,0.21,0.42,0,0,326.05%,-0.05,0.0127,-0.03,0.00
6.00,-,0.00,0.21,0.42,0,0,267.33%,-0.06,0.0182,-0.03,0.00
6.50,-,0.00,0.21,0.42,0,0,241.63%,-0.07,0.0219,-0.03,0.00
7.00,-,0.00,0.21,0.42,0,0,217.80%,-0.07,0.0263,-0.02,0.00
7.50,-,0.00,0.21,0.42,0,0,195.51%,-0.08,0.0317,-0.02,0.00
8.00,-,0.00,0.21,0.42,0,1,174.50%,-0.09,0.0386,-0.02,0.00
8.50,-,0.00,0.21,0.42,0,1,154.54%,-0.10,0.0474,-0.02,0.00
9.00,-,0.00,0.04,0.08,0,45,88.13%,-0.04,0.0424,-0.01,0.00
9.50,-,0.00,0.07,0.14,0,58,84.76%,-0.07,0.0660,-0.01,0.00
10.00,0.02,0.02,0.03,0.04,190,793,57.49%,-0.05,0.0727,0.00,0.00
10.50,0.05,0.05,0.06,0.07,31,554,53.55%,-0.09,0.1287,-0.01,0.00
11.00,0.11,0.11,0.13,0.14,576,492,51.04%,-0.18,0.2091,-0.01,0.01
11.50,0.22,0.22,0.24,0.25,511,"4,880",47.92%,-0.30,0.2985,-0.01,0.01
12.00,0.38,0.41,0.43,0.44,239,944,45.89%,-0.47,0.3559,-0.01,0.01
12.50,0.72,0.69,0.71,0.72,65,587,44.25%,-0.65,0.3454,-0.01,0.01
13.00,0.96,1.05,1.08,1.10,215,745,43.54%,-0.80,0.2677,-0.01,0.01
13.50,1.63,1.48,1.51,1.53,1,249,42.71%,-0.90,0.1692,0.00,0.00
14.00,1.95,1.94,1.96,1.99,32,82,37.43%,-0.97,0.0653,0.00,0.00
14.50,-,2.42,2.45,2.48,0,96,0.00%,-1.00,0.0000,0.00,0.00
15.00,-,2.91,2.95,2.99,0,36,0.00%,-1.00,0.0000,0.00,0.00
15.50,-,3.40,3.45,3.50,0,4,0.00%,-1.00,0.0000,0.00,0.00
16.00,-,3.90,3.95,4.00,0,0,0.00%,-1.00,0.0000,0.00,0.00
16.50,-,4.40,4.45,4.50,0,0,0.00%,-1.00,0.0000,0.00,0.00
17.00,-,4.90,4.95,5.00,0,0,0.00%,-1.00,0.0000,0.00,0.00
17.50,-,5.40,5.45,5.50,0,0,0.00%,-1.00,0.0000,0.00,0.00
18.00,-,5.90,5.95,6.00,0,1,61.82%,-1.00,0.0019,0.00,0.00
18.50,-,6.40,6.45,6.50,0,0,72.99%,-1.00,0.0041,0.00,0.00
19.00,-,6.90,6.95,7.00,0,0,81.01%,-1.00,0.0053,0.00,0.00
20.00,-,7.90,7.95,8.00,0,0,94.57%,-0.99,0.0067,0.00,0.00
21.00,-,8.90,8.95,9.00,0,0,106.59%,-0.99,0.0073,0.00,0.00
22.50,-,10.40,10.45,10.50,0,0,123.00%,-0.99,0.0077,0.00,0.00
25.00,-,12.90,12.95,13.00,0,0,147.46%,-0.99,0.0079,0.00,0.00
