Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
5.00,7.90,8.20,8.58,8.95,1,0,123.06%,0.94,0.0104,0.00,0.01
6.00,-,7.30,7.57,7.85,0,8,101.59%,0.93,0.0145,0.00,0.01
7.00,-,6.35,6.73,7.10,0,1,93.87%,0.90,0.0198,0.00,0.02
8.00,-,5.50,5.55,5.60,0,0,67.08%,0.91,0.0272,0.00,0.02
9.00,-,4.65,4.73,4.80,0,1,63.22%,0.86,0.0373,0.00,0.02
10.00,-,3.90,3.95,4.00,0,36,59.79%,0.81,0.0487,0.00,0.02
11.00,3.20,3.25,3.30,3.35,25,39,58.93%,0.75,0.0588,-0.01,0.03
12.00,2.50,2.56,2.68,2.80,13,227,56.71%,0.68,0.0687,-0.01,0.03
13.00,2.15,2.18,2.20,2.21,361,626,56.41%,0.60,0.0742,-0.01,0.04
14.00,1.72,1.75,1.77,1.79,22,217,55.72%,0.53,0.0775,-0.01,0.04
15.00,1.34,1.41,1.42,1.44,149,895,55.41%,0.46,0.0777,-0.01,0.04
16.00,1.09,1.14,1.16,1.18,1,84,55.68%,0.39,0.0750,-0.01,0.04
17.00,0.98,0.93,0.95,0.96,40,110,55.97%,0.34,0.0708,-0.01,0.03
18.00,0.74,0.76,0.78,0.79,37,20,56.42%,0.29,0.0657,-0.01,0.03
19.00,0.58,0.62,0.65,0.67,5,29,57.10%,0.25,0.0602,0.00,0.03
20.00,0.52,0.51,0.53,0.55,28,157,57.42%,0.21,0.0548,0.00,0.03
25.00,0.21,0.21,0.24,0.26,4,209,60.60%,0.10,0.0324,0.00,0.02
