Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
5.00,-,0.00,0.23,0.45,0,0,98.16%,-0.05,0.0113,0.00,0.01
6.00,-,0.06,0.18,0.30,0,5,76.66%,-0.05,0.0154,0.00,0.01
7.00,-,0.22,0.24,0.25,0,4,67.97%,-0.07,0.0227,0.00,0.01
8.00,0.37,0.34,0.36,0.38,6,0,63.69%,-0.11,0.0329,0.00,0.02
9.00,0.59,0.53,0.55,0.57,1,148,60.79%,-0.16,0.0448,0.00,0.02
10.00,-,0.80,0.82,0.84,0,63,58.84%,-0.22,0.0569,0.00,0.03
11.00,1.23,1.15,1.17,1.19,3,"1,049",57.25%,-0.29,0.0677,0.00,0.03
12.00,1.58,1.59,1.62,1.64,1,29,56.29%,-0.37,0.0757,0.00,0.03
13.00,-,2.13,2.16,2.18,0,30,55.87%,-0.45,0.0800,0.00,0.03
14.00,2.94,2.75,2.78,2.81,1,23,55.81%,-0.52,0.0807,0.00,0.04
15.00,-,3.45,3.50,3.55,0,21,56.68%,-0.59,0.0777,0.00,0.03
16.00,-,4.20,4.25,4.30,0,18,56.90%,-0.65,0.0739,0.00,0.03
17.00,-,5.00,5.08,5.15,0,1,58.14%,-0.69,0.0683,0.00,0.03
18.00,-,5.90,5.95,6.00,0,0,60.01%,-0.73,0.0625,0.00,0.03
19.00,-,6.75,6.83,6.90,0,0,61.07%,-0.76,0.0572,0.00,0.03
20.00,-,7.70,7.75,7.80,0,32,63.30%,-0.78,0.0523,0.00,0.03
25.00,-,12.55,12.60,12.65,0,0,78.50%,-0.82,0.0371,0.00,0.02
