Date,Expiry Date,Type,Underlying Price,Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
2025-08-04,2025-08-08,CALL,302.63,280.0,24.6,24.45,24.63,24.8,523,1062,63.18%,0.8,0.01,-0.49,0.12
2025-08-04,2025-08-08,CALL,302.63,282.5,21.59,22.15,22.5,22.85,42,119,66.22%,0.77,0.011,-0.62,0.12
2025-08-04,2025-08-08,CALL,302.63,285.0,20.37,20.15,20.48,20.8,656,327,64.71%,0.75,0.0115,-0.54,0.13
2025-08-04,2025-08-08,CALL,302.63,287.5,18.5,18.15,18.25,18.35,276,53,61.33%,0.73,0.0132,-0.64,0.14
2025-08-04,2025-08-08,CALL,302.63,290.0,16.4,16.25,16.33,16.4,1024,297,59.74%,0.69,0.0142,-0.65,0.14
2025-08-04,2025-08-08,CALL,302.63,292.5,14.55,14.4,14.48,14.55,2159,109,58.17%,0.66,0.0153,-0.66,0.15
2025-08-04,2025-08-08,CALL,302.63,295.0,12.82,12.7,12.75,12.8,2318,3084,56.88%,0.62,0.0162,-0.67,0.16
2025-08-04,2025-08-08,CALL,302.63,297.5,11.25,11.05,11.13,11.2,1256,374,55.64%,0.58,0.017,-0.67,0.16
2025-08-04,2025-08-08,CALL,302.63,300.0,9.7,9.6,9.65,9.7,5430,1659,54.21%,0.54,0.0176,-0.67,0.16
2025-08-04,2025-08-08,CALL,302.63,302.5,8.35,8.25,8.3,8.35,10061,659,53.88%,0.49,0.0179,-0.66,0.16
2025-08-04,2025-08-08,CALL,302.63,305.0,7.05,7.0,7.05,7.1,26867,2831,52.08%,0.45,0.0181,-0.64,0.16
2025-08-04,2025-08-08,CALL,302.63,307.5,6.0,5.9,5.95,6.0,11999,1617,52.30%,0.4,0.0179,-0.62,0.16
2025-08-04,2025-08-08,CALL,302.63,310.0,4.99,4.95,5.0,5.05,43918,4070,51.57%,0.36,0.0174,-0.59,0.16
2025-08-04,2025-08-08,CALL,302.63,312.5,4.3,4.2,4.25,4.3,19524,2590,51.37%,0.31,0.0167,-0.56,0.15
