Date,Expiry Date,Type,Underlying Price,Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
2025-08-06,2025-08-15,PUT,308.72,255.0,0.42,0.43,0.44,0.45,724,20859,69.42%,-0.03,0.002,-0.12,0.04
2025-08-06,2025-08-15,PUT,308.72,260.0,0.49,0.49,0.5,0.51,458,6039,65.37%,-0.04,0.0024,-0.13,0.04
2025-08-06,2025-08-15,PUT,308.72,265.0,0.57,0.58,0.59,0.6,1408,7200,61.70%,-0.05,0.003,-0.15,0.05
2025-08-06,2025-08-15,PUT,308.72,270.0,0.67,0.7,0.71,0.72,817,5211,56.18%,-0.05,0.0038,-0.16,0.06
2025-08-06,2025-08-15,PUT,308.72,275.0,0.89,0.87,0.89,0.9,5356,11516,55.01%,-0.07,0.0048,-0.19,0.07
2025-08-06,2025-08-15,PUT,308.72,277.5,1.15,1.13,1.15,1.17,1568,6533,52.30%,-0.09,0.0062,-0.22,0.08
2025-08-06,2025-08-15,PUT,308.72,280.0,1.29,1.31,1.33,1.35,632,712,51.14%,-0.1,0.007,-0.23,0.09
2025-08-06,2025-08-15,PUT,308.72,282.5,1.53,1.52,1.54,1.56,1540,3349,49.88%,-0.12,0.0078,-0.25,0.1
2025-08-06,2025-08-15,PUT,308.72,285.0,1.79,1.78,1.8,1.82,1062,965,48.98%,-0.14,0.0089,-0.27,0.11
2025-08-06,2025-08-15,PUT,308.72,287.5,2.07,2.09,2.11,2.12,1495,10191,48.03%,-0.16,0.01,-0.29,0.12
2025-08-06,2025-08-15,PUT,308.72,290.0,2.44,2.44,2.48,2.52,2489,1678,47.19%,-0.18,0.0112,-0.31,0.13
2025-08-06,2025-08-15,PUT,308.72,292.5,2.92,2.81,2.92,2.93,4315,11938,46.42%,-0.21,0.0124,-0.34,0.15
2025-08-06,2025-08-15,PUT,308.72,295.0,3.2,3.4,3.43,3.45,1427,1479,45.63%,-0.24,0.0136,-0.36,0.16
2025-08-06,2025-08-15,PUT,308.72,297.5,4.05,3.95,4.05,4.15,2375,6076,45.11%,-0.28,0.0147,-0.38,0.17
2025-08-06,2025-08-15,PUT,308.72,300.0,4.75,4.65,4.75,4.85,9844,1342,44.51%,-0.31,0.0158,-0.39,0.18
2025-08-06,2025-08-15,PUT,308.72,302.5,5.5,5.5,5.55,5.6,10300,28315,43.98%,-0.35,0.0168,-0.41,0.19
2025-08-06,2025-08-15,PUT,308.72,305.0,6.4,6.4,6.48,6.55,3660,880,43.52%,-0.4,0.0176,-0.42,0.19
2025-08-06,2025-08-15,PUT,308.72,307.5,7.4,7.35,7.45,7.55,7073,16781,42.80%,-0.44,0.0183,-0.42,0.2
2025-08-06,2025-08-15,PUT,308.72,310.0,8.5,8.2,8.58,8.65,3971,1542,42.27%,-0.49,0.0187,-0.41,0.2
2025-08-06,2025-08-15,PUT,308.72,312.5,9.73,9.73,9.83,9.9,7178,10312,41.78%,-0.54,0.0188,-0.41,0.2
2025-08-06,2025-08-15,PUT,308.72,315.0,10.9,11.05,11.15,11.25,613,1301,41.06%,-0.58,0.0188,-0.39,0.2
2025-08-06,2025-08-15,PUT,308.72,317.5,17.6,12.5,12.6,12.7,1059,4969,40.41%,-0.63,0.0186,-0.37,0.19
2025-08-06,2025-08-15,PUT,308.72,320.0,14.06,14.1,14.16,14.25,655,733,39.76%,-0.68,0.0179,-0.34,0.18
2025-08-06,2025-08-15,PUT,308.72,322.5,15.75,15.65,15.9,16.95,683,37348,39.17%,-0.73,0.017,-0.3,0.17
2025-08-06,2025-08-15,PUT,308.72,325.0,16.8,17.6,17.83,17.75,236,773,38.14%,-0.77,0.0158,-0.27,0.15
2025-08-06,2025-08-15,PUT,308.72,327.5,18.65,19.4,19.5,19.6,434,3184,37.05%,-0.81,0.0144,-0.23,0.14
2025-08-06,2025-08-15,PUT,308.72,330.0,20.9,21.35,21.48,21.6,207,673,36.08%,-0.85,0.0128,-0.18,0.12
2025-08-06,2025-08-15,PUT,308.72,332.5,23.4,23.25,23.43,23.6,339,7266,35.57%,-0.83,0.0107,-0.17,0.09
2025-08-06,2025-08-15,PUT,308.72,335.0,24.75,25.1,25.85,26.6,83,608,34.28%,-0.91,0.0099,-0.12,0.08
2025-08-06,2025-08-15,PUT,308.72,337.5,26.8,27.1,27.7,28.3,103,2356,35.62%,-0.9,0.009,0.0,0.09
2025-08-06,2025-08-15,PUT,308.72,340.0,29.1,29.4,29.45,29.5,30,19,34.07%,-0.95,0.006,-0.05,0.05
2025-08-06,2025-08-15,PUT,308.72,342.5,31.25,31.65,32.25,32.85,120,16796,0.00%,-1.0,0.0,0.04,0.0
2025-08-06,2025-08-15,PUT,308.72,345.0,36.5,36.2,36.95,37.6,162,2152,0.00%,-1.0,0.0,0.04,0.0
2025-08-06,2025-08-15,PUT,308.72,347.5,38.46,38.65,39.43,40.3,17,67,0.00%,-1.0,0.0,0.04,0.0
2025-08-06,2025-08-15,PUT,308.72,350.0,41.06,41.05,41.7,42.35,199,6003,0.00%,-1.0,0.0,0.04,0.0
2025-08-06,2025-08-15,PUT,308.72,352.5,48.58,43.3,44.2,46.05,1,8,0.00%,-1.0,0.0,0.04,0.0
2025-08-06,2025-08-15,PUT,308.72,355.0,45.65,45.85,46.7,47.55,7,1005,0.00%,-1.0,0.0,0.04,0.0
2025-08-06,2025-08-15,PUT,308.72,357.5,,48.3,49.08,49.85,0,40,0.00%,-1.0,0.0,0.04,0.0
2025-08-06,2025-08-15,PUT,308.72,360.0,51.05,50.8,51.47,52.15,60,5777,0.00%,-1.0,0.0,0.04,0.0
2025-08-06,2025-08-15,PUT,308.72,362.5,,53.15,54.0,54.85,0,25,0.00%,-1.0,0.0,0.04,0.0
2025-08-06,2025-08-15,PUT,308.72,365.0,54.53,55.7,56.63,57.55,5,671,0.00%,-1.0,0.0,0.04,0.0
2025-08-06,2025-08-15,PUT,308.72,367.5,,58.1,58.9,59.8,0,3,0.00%,-1.0,0.0,0.04,0.0
2025-08-06,2025-08-15,PUT,308.72,370.0,63.62,60.2,61.78,62.85,5,1154,0.00%,-1.0,0.0,0.04,0.0
2025-08-06,2025-08-15,PUT,308.72,372.5,,63.1,63.97,64.85,0,0,0.00%,-1.0,0.0,0.04,0.0
2025-08-06,2025-08-15,PUT,308.72,375.0,,65.65,66.85,67.85,0,297,0.00%,-1.0,0.0,0.04,0.0
2025-08-06,2025-08-15,PUT,308.72,380.0,73.57,70.65,71.45,72.25,4,859,0.00%,-1.0,0.0,0.04,0.0
