Snapshot Date,Symbol,Underlying Price,Expiry Date,DTE,Side,Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
2025-08-14 08:55:54,TSLA,0,2025-08-29,15,P,50.0,-,0.0,0.01,0.01,0,689,265.46%,0.0,0.0,0.0,0.0
2025-08-14 08:55:54,TSLA,0,2025-08-29,15,P,60.0,-,0.0,0.02,0.04,0,174,266.60%,0.0,0.0,-0.01,0.0
2025-08-14 08:55:54,TSLA,0,2025-08-29,15,P,70.0,-,0.0,0.02,0.04,0,224,243.09%,0.0,0.0,-0.01,0.0
2025-08-14 08:55:54,TSLA,0,2025-08-29,15,P,80.0,-,0.0,0.03,0.05,0,49,227.03%,0.0,0.0,-0.01,0.0
2025-08-14 08:55:54,TSLA,0,2025-08-29,15,P,90.0,-,0.0,0.02,0.04,0,17,205.07%,0.0,0.0,-0.01,0.0
2025-08-14 08:55:54,TSLA,0,2025-08-29,15,P,100.0,0.02,0.0,0.02,0.04,1,189,189.22%,0.0,0.0,-0.01,0.0
2025-08-14 08:55:54,TSLA,0,2025-08-29,15,P,110.0,-,0.0,0.02,0.04,0,190,174.92%,0.0,0.0,-0.01,0.0
2025-08-14 08:55:54,TSLA,0,2025-08-29,15,P,120.0,-,0.01,0.04,0.07,0,380,171.99%,0.0,0.0,-0.01,0.0
2025-08-14 08:55:54,TSLA,0,2025-08-29,15,P,130.0,-,0.0,0.04,0.07,0,298,157.38%,0.0,0.0,-0.01,0.0
2025-08-14 08:55:54,TSLA,0,2025-08-29,15,P,135.0,-,0.0,0.05,0.1,0,128,156.58%,0.0,0.0,-0.02,0.0
2025-08-14 08:55:54,TSLA,0,2025-08-29,15,P,140.0,0.07,0.0,0.05,0.1,8,279,150.71%,0.0,0.0,-0.02,0.0
2025-08-14 08:55:54,TSLA,0,2025-08-29,15,P,145.0,0.05,0.01,0.06,0.1,1,79,146.40%,0.0,0.0001,-0.02,0.0
2025-08-14 08:55:54,TSLA,0,2025-08-29,15,P,150.0,-,0.01,0.03,0.05,0,474,133.11%,0.0,0.0,-0.01,0.0
2025-08-14 08:55:54,TSLA,0,2025-08-29,15,P,155.0,0.05,0.01,0.06,0.1,1,288,135.54%,0.0,0.0001,-0.02,0.0
2025-08-14 08:55:54,TSLA,0,2025-08-29,15,P,160.0,0.05,0.02,0.04,0.05,2,"1,519",124.88%,0.0,0.0,-0.01,0.0
2025-08-14 08:55:54,TSLA,0,2025-08-29,15,P,165.0,0.03,0.01,0.03,0.05,2,140,118.37%,0.0,0.0,-0.01,0.0
2025-08-14 08:55:54,TSLA,0,2025-08-29,15,P,170.0,-,0.03,0.05,0.06,0,"1,265",118.15%,0.0,0.0001,-0.01,0.0
2025-08-14 08:55:54,TSLA,0,2025-08-29,15,P,175.0,0.07,0.04,0.06,0.08,4,797,116.78%,0.0,0.0001,-0.02,0.01
2025-08-14 08:55:54,TSLA,0,2025-08-29,15,P,180.0,0.09,0.06,0.1,0.14,54,"2,513",118.37%,0.0,0.0001,-0.03,0.01
2025-08-14 08:55:54,TSLA,0,2025-08-29,15,P,185.0,0.10,0.08,0.1,0.11,1,71,113.00%,0.0,0.0001,-0.03,0.01
