Snapshot Date,Symbol,Underlying Price,Expiry Date,DTE,Side,Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,50.0,-,280.0,280.73,281.45,0,1,367.44%,1.0,0.0,-0.1,0.01
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,60.0,-,270.05,270.78,271.5,0,0,333.89%,0.99,0.0001,-0.11,0.01
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,70.0,-,260.05,260.8,261.55,0,0,304.13%,0.99,0.0001,-0.11,0.01
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,80.0,-,250.1,250.83,251.55,0,0,278.65%,0.99,0.0001,-0.11,0.02
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,90.0,-,240.15,240.88,241.6,0,0,257.87%,0.99,0.0001,-0.11,0.02
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,100.0,228.30,230.15,230.9,231.65,1,1,237.98%,0.99,0.0001,-0.12,0.02
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,110.0,-,220.2,220.93,221.65,0,0,220.09%,0.99,0.0001,-0.12,0.02
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,120.0,-,210.25,210.95,211.65,0,0,203.82%,0.99,0.0002,-0.12,0.02
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,130.0,202.77,200.25,200.95,201.65,1,0,187.78%,0.99,0.0002,-0.11,0.02
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,135.0,-,195.25,196.0,196.75,0,0,182.38%,0.99,0.0002,-0.12,0.02
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,140.0,-,190.3,191.0,191.7,0,1,175.08%,0.99,0.0002,-0.12,0.02
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,145.0,-,185.3,186.05,186.8,0,0,169.99%,0.99,0.0002,-0.12,0.03
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,150.0,-,180.35,181.05,181.75,0,7,163.17%,0.99,0.0003,-0.12,0.03
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,155.0,-,175.35,176.1,176.85,0,0,158.36%,0.99,0.0003,-0.13,0.03
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,160.0,-,170.45,171.13,171.8,0,1,152.78%,0.98,0.0003,-0.13,0.03
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,165.0,-,165.4,166.15,166.9,0,6,147.37%,0.98,0.0003,-0.13,0.03
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,170.0,-,160.5,161.18,161.85,0,17,142.08%,0.98,0.0004,-0.13,0.03
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,175.0,-,155.5,156.23,156.95,0,1,137.64%,0.98,0.0004,-0.13,0.04
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,180.0,-,150.55,151.23,151.9,0,1,131.89%,0.98,0.0004,-0.13,0.04
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,185.0,146.79,145.55,146.28,147.0,1,0,127.62%,0.98,0.0005,-0.14,0.04
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,190.0,-,140.65,141.3,141.95,0,0,122.78%,0.98,0.0005,-0.14,0.04
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,195.0,-,135.6,136.27,136.95,0,5,116.81%,0.98,0.0006,-0.13,0.04
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,200.0,129.40,130.7,131.3,131.9,455,13,112.21%,0.98,0.0006,-0.13,0.04
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,205.0,-,125.7,126.4,127.1,0,5,109.35%,0.97,0.0007,-0.14,0.05
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,210.0,-,120.8,121.43,122.05,0,37,104.84%,0.97,0.0007,-0.14,0.05
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,215.0,-,115.8,116.48,117.15,0,1,100.89%,0.97,0.0008,-0.15,0.05
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,220.0,-,110.9,111.5,112.1,0,12,96.51%,0.97,0.0009,-0.15,0.05
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,225.0,104.30,105.9,106.53,107.15,6,4,92.20%,0.97,0.001,-0.15,0.06
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,230.0,-,101.05,101.57,102.1,0,27,88.36%,0.97,0.0011,-0.15,0.06
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,235.0,-,96.1,96.63,97.15,0,6,84.55%,0.96,0.0012,-0.15,0.06
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,240.0,92.37,91.25,91.7,92.15,11,2,81.10%,0.96,0.0014,-0.16,0.07
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,245.0,87.41,86.3,86.75,87.2,1,11,77.28%,0.96,0.0015,-0.16,0.07
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,250.0,78.85,81.4,81.8,82.2,25,42,73.47%,0.95,0.0017,-0.16,0.08
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,255.0,74.17,76.45,76.93,77.4,76,32,70.58%,0.95,0.0019,-0.17,0.08
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,260.0,71.64,71.6,72.0,72.4,50,33,67.00%,0.94,0.0022,-0.17,0.09
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,265.0,-,66.65,67.13,67.6,0,35,63.90%,0.94,0.0025,-0.18,0.1
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,270.0,62.41,61.85,62.25,62.65,7,38,60.69%,0.93,0.0028,-0.18,0.11
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,275.0,59.49,57.0,57.45,57.9,2,44,58.01%,0.92,0.0033,-0.19,0.12
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,280.0,51.74,52.25,52.68,53.1,48,209,55.32%,0.91,0.0038,-0.2,0.13
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,285.0,47.75,47.55,48.0,48.45,4,375,53.08%,0.89,0.0044,-0.21,0.15
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,290.0,42.40,43.0,43.35,43.7,11,145,50.66%,0.87,0.0052,-0.23,0.16
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,295.0,37.90,38.6,38.95,39.3,40,94,49.26%,0.85,0.006,-0.25,0.19
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,300.0,33.77,34.3,34.65,35.0,25,425,47.77%,0.82,0.007,-0.26,0.21
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,305.0,28.65,30.2,30.55,30.9,53,334,46.56%,0.78,0.008,-0.28,0.23
2025-08-18 21:07:02,TSLA,0,2025-09-05,18,C,310.0,25.20,26.35,26.63,26.9,45,731,45.35%,0.74,0.009,-0.3,0.26
