Date,Expiry Date,Type,Underlying Price,Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
2025-08-06,2025-08-08,CALL,308.72,250.0,61.0,56.0,57.0,58.75,18,192,142.77%,0.95,0.0026,-0.87,0.03
2025-08-06,2025-08-08,CALL,308.72,252.5,,53.9,56.1,57.3,0,15,73.00%,0.96,0.0024,-0.54,0.02
2025-08-06,2025-08-08,CALL,308.72,255.0,54.44,53.15,53.97,54.8,33,36,162.63%,0.91,0.0038,-1.13,0.04
2025-08-06,2025-08-08,CALL,308.72,257.5,,50.05,51.47,52.5,0,3,135.33%,0.91,0.0038,-1.22,0.04
2025-08-06,2025-08-08,CALL,308.72,260.0,50.07,48.6,48.18,49.75,56,427,128.24%,0.93,0.0038,-0.81,0.03
2025-08-06,2025-08-08,CALL,308.72,262.5,,47.3,46.05,47.3,0,5,100.30%,0.9,0.003,-0.63,0.02
2025-08-06,2025-08-08,CALL,308.72,265.0,44.15,43.0,43.9,44.8,33,172,124.50%,0.9,0.0047,-1.15,0.05
2025-08-06,2025-08-08,CALL,308.72,267.5,,38.55,40.43,42.3,0,19,104.38%,0.94,0.0043,-0.64,0.03
2025-08-06,2025-08-08,CALL,308.72,270.0,,38.3,39.58,40.85,0,768,114.75%,0.87,0.0057,-1.36,0.06
2025-08-06,2025-08-08,CALL,308.72,272.5,36.0,32.9,36.47,40.15,33,24,117.78%,0.89,0.0061,-1.1,0.06
2025-08-06,2025-08-08,CALL,308.72,275.0,34.48,33.35,34.45,35.55,50,276,119.06%,0.86,0.0067,-1.26,0.06
2025-08-06,2025-08-08,CALL,308.72,277.5,33.0,28.2,30.63,33.05,17,59,97.35%,0.91,0.0069,-0.69,0.04
2025-08-06,2025-08-08,CALL,308.72,280.0,29.25,27.4,29.05,30.7,133,1372,88.97%,0.86,0.0081,-1.05,0.06
2025-08-06,2025-08-08,CALL,308.72,282.5,28.7,23.85,26.88,30.1,92,195,80.73%,0.84,0.009,-1.17,0.07
2025-08-06,2025-08-08,CALL,308.72,285.0,24.75,23.25,24.2,25.15,140,2097,88.01%,0.84,0.0101,-1.04,0.07
2025-08-06,2025-08-08,CALL,308.72,287.5,22.3,19.95,21.95,23.95,104,281,84.75%,0.82,0.0114,-1.08,0.07
2025-08-06,2025-08-08,CALL,308.72,290.0,19.8,18.8,19.45,20.1,734,2312,77.68%,0.81,0.0129,-1.03,0.07
2025-08-06,2025-08-08,CALL,308.72,292.5,17.5,16.15,18.85,17.55,677,712,68.19%,0.8,0.0151,-0.96,0.08
2025-08-06,2025-08-08,CALL,308.72,295.0,16.0,14.95,15.08,15.2,1280,1061,70.54%,0.75,0.0165,-1.0,0.09
2025-08-06,2025-08-08,CALL,308.72,297.5,13.25,11.75,12.58,13.4,1410,840,62.60%,0.73,0.0185,-1.01,0.09
2025-08-06,2025-08-08,CALL,308.72,300.0,11.0,10.9,10.95,11.0,7526,2847,63.36%,0.67,0.0209,-1.11,0.1
2025-08-06,2025-08-08,CALL,308.72,302.5,9.2,9.05,9.13,9.2,4458,2600,60.62%,0.62,0.0232,-1.12,0.1
2025-08-06,2025-08-08,CALL,308.72,305.0,7.6,7.4,7.48,7.55,16384,5080,58.73%,0.56,0.0246,-1.12,0.11
2025-08-06,2025-08-08,CALL,308.72,307.5,6.1,5.95,6.0,6.05,16253,4157,56.53%,0.5,0.0258,-1.09,0.11
2025-08-06,2025-08-08,CALL,308.72,310.0,4.85,4.85,4.75,4.85,72465,10946,55.72%,0.43,0.026,-1.06,0.11
2025-08-06,2025-08-08,CALL,308.72,312.5,3.75,3.6,3.68,3.75,31641,7307,54.83%,0.37,0.0254,-0.99,0.1
2025-08-06,2025-08-08,CALL,308.72,315.0,2.85,2.78,2.8,2.85,44000,22733,53.91%,0.31,0.0239,-0.91,0.1
2025-08-06,2025-08-08,CALL,308.72,317.5,2.19,2.0,2.08,2.15,18357,14440,53.23%,0.25,0.0219,-0.83,0.09
2025-08-06,2025-08-08,CALL,308.72,320.0,1.67,1.62,1.64,1.66,54597,31623,52.86%,0.2,0.0193,-0.7,0.08
2025-08-06,2025-08-08,CALL,308.72,322.5,1.19,1.08,1.12,1.15,11268,7761,52.67%,0.15,0.0163,-0.6,0.06
2025-08-06,2025-08-08,CALL,308.72,325.0,0.83,0.8,0.82,0.84,72027,19317,52.59%,0.12,0.0138,-0.5,0.05
2025-08-06,2025-08-08,CALL,308.72,327.5,0.6,0.58,0.6,0.62,7471,6304,53.30%,0.09,0.0113,-0.42,0.04
2025-08-06,2025-08-08,CALL,308.72,330.0,0.44,0.44,0.45,0.46,16588,23540,54.31%,0.07,0.0091,-0.35,0.04
2025-08-06,2025-08-08,CALL,308.72,332.5,0.34,0.33,0.34,0.35,4501,5255,55.04%,0.05,0.0074,-0.29,0.03
2025-08-06,2025-08-08,CALL,308.72,335.0,0.26,0.26,0.27,0.27,9232,21688,56.23%,0.04,0.006,-0.25,0.02
2025-08-06,2025-08-08,CALL,308.72,337.5,0.21,0.2,0.21,0.22,2238,4515,57.64%,0.03,0.0049,-0.21,0.02
2025-08-06,2025-08-08,CALL,308.72,340.0,0.17,0.16,0.17,0.18,4942,12583,59.73%,0.03,0.004,-0.18,0.02
2025-08-06,2025-08-08,CALL,308.72,342.5,0.13,0.13,0.14,0.14,1398,4977,60.49%,0.02,0.0032,-0.15,0.01
2025-08-06,2025-08-08,CALL,308.72,345.0,0.11,0.11,0.11,0.12,3209,14906,62.84%,0.02,0.0027,-0.14,0.01
2025-08-06,2025-08-08,CALL,308.72,347.5,0.1,0.09,0.1,0.1,2355,3247,63.85%,0.02,0.0023,-0.12,0.01
2025-08-06,2025-08-08,CALL,308.72,350.0,0.08,0.08,0.08,0.09,6439,9422,65.39%,0.01,0.002,-0.11,0.01
2025-08-06,2025-08-08,CALL,308.72,352.5,0.07,0.06,0.07,0.08,666,1845,67.33%,0.01,0.0016,-0.1,0.01
2025-08-06,2025-08-08,CALL,308.72,355.0,0.07,0.06,0.07,0.08,1154,3089,70.39%,0.01,0.0015,-0.1,0.01
2025-08-06,2025-08-08,CALL,308.72,357.5,0.05,0.05,0.06,0.06,517,1776,71.08%,0.01,0.0012,-0.08,0.01
2025-08-06,2025-08-08,CALL,308.72,360.0,0.05,0.04,0.05,0.05,2544,6268,73.78%,0.01,0.001,-0.07,0.01
2025-08-06,2025-08-08,CALL,308.72,362.5,0.04,0.04,0.05,0.05,144,914,74.93%,0.01,0.0009,-0.07,0.01
2025-08-06,2025-08-08,CALL,308.72,365.0,0.04,0.03,0.04,0.04,1337,2769,76.50%,0.01,0.0008,-0.06,0.0
2025-08-06,2025-08-08,CALL,308.72,367.5,0.04,0.03,0.04,0.04,127,774,78.13%,0.01,0.0007,-0.06,0.0
2025-08-06,2025-08-08,CALL,308.72,370.0,0.03,0.02,0.03,0.04,2079,3882,79.42%,0.0,0.0006,-0.05,0.0
2025-08-06,2025-08-08,CALL,308.72,372.5,0.03,0.02,0.03,0.03,33,825,80.43%,0.0,0.0005,-0.04,0.0
2025-08-06,2025-08-08,CALL,308.72,375.0,0.01,0.01,0.02,0.03,787,3318,81.50%,0.0,0.0004,-0.04,0.0
2025-08-06,2025-08-08,CALL,308.72,377.5,0.02,0.01,0.02,0.02,1253,1015,81.26%,0.0,0.0003,-0.03,0.0
2025-08-06,2025-08-08,CALL,308.72,380.0,0.02,0.01,0.02,0.02,1265,4026,81.84%,0.0,0.0003,-0.03,0.0
