Date,Expiry Date,Type,Underlying Price,Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
2025-08-04,2025-08-08,PUT,302.63,280.0,1.04,1.63,1.65,1.68,11778,5275,52.11%,-0.14,0.0106,-0.35,0.09
2025-08-04,2025-08-08,PUT,302.63,282.5,1.85,1.85,1.9,1.95,4320,1014,49.55%,-0.17,0.012,-0.36,0.1
2025-08-04,2025-08-08,PUT,302.63,285.0,2.37,2.33,2.35,2.37,14597,3168,48.85%,-0.2,0.0135,-0.41,0.12
2025-08-04,2025-08-08,PUT,302.63,287.5,2.78,2.9,2.92,2.94,7937,836,48.88%,-0.23,0.0151,-0.44,0.13
2025-08-04,2025-08-08,PUT,302.63,290.0,3.35,3.35,3.38,3.4,21696,5751,47.93%,-0.27,0.0167,-0.47,0.14
2025-08-04,2025-08-08,PUT,302.63,292.5,4.02,4.0,4.05,4.1,5854,1502,47.17%,-0.31,0.0182,-0.49,0.15
2025-08-04,2025-08-08,PUT,302.63,295.0,4.8,4.75,4.8,4.85,14023,4094,46.21%,-0.36,0.0196,-0.51,0.15
2025-08-04,2025-08-08,PUT,302.63,297.5,5.65,5.65,5.7,5.75,8903,2430,45.48%,-0.41,0.0207,-0.52,0.16
2025-08-04,2025-08-08,PUT,302.63,300.0,6.7,6.65,6.7,6.75,41481,10424,44.59%,-0.46,0.0216,-0.52,0.16
2025-08-04,2025-08-08,PUT,302.63,302.5,7.75,7.8,7.85,7.9,22536,1433,43.82%,-0.51,0.0222,-0.51,0.16
2025-08-04,2025-08-08,PUT,302.63,305.0,9.12,9.05,9.13,9.2,27263,4135,42.97%,-0.57,0.0221,-0.49,0.16
2025-08-04,2025-08-08,PUT,302.63,307.5,10.55,10.45,10.52,10.6,9371,5346,42.02%,-0.63,0.0218,-0.46,0.16
2025-08-04,2025-08-08,PUT,302.63,310.0,12.0,12.0,12.05,12.1,11777,6028,40.93%,-0.68,0.021,-0.41,0.15
2025-08-04,2025-08-08,PUT,302.63,312.5,13.6,13.55,13.73,13.9,3822,1332,36.86%,-0.74,0.0187,-0.35,0.13
2025-08-04,2025-08-08,PUT,302.63,315.0,15.41,15.4,15.5,15.6,4518,2532,38.44%,-0.79,0.018,-0.3,0.12
2025-08-04,2025-08-08,PUT,302.63,317.5,17.25,17.2,17.4,17.6,2815,1952,36.78%,-0.84,0.0152,-0.23,0.1
2025-08-04,2025-08-08,PUT,302.63,320.0,19.3,19.3,19.4,19.5,2836,6750,34.50%,-0.89,0.0128,-0.16,0.08
2025-08-04,2025-08-08,PUT,302.63,322.5,21.4,20.85,21.68,22.5,689,1455,34.26%,-0.92,0.0102,-0.12,0.06
2025-08-04,2025-08-08,PUT,302.63,325.0,23.1,23.3,23.68,24.05,943,2462,0.00%,-1.0,0.0,0.04,0.0
