Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
50.00,0.03,0.00,0.01,0.01,2,191,353.86%,0.00,0.0000,0.00,0.00
60.00,-,0.00,0.01,0.01,0,11,320.23%,0.00,0.0000,0.00,0.00
70.00,-,0.00,0.01,0.01,0,37,291.97%,0.00,0.0000,0.00,0.00
80.00,-,0.00,0.01,0.01,0,"10,040",267.60%,0.00,0.0000,0.00,0.00
90.00,0.01,0.00,0.01,0.01,10,"34,036",246.18%,0.00,0.0000,0.00,0.00
100.00,-,0.00,0.01,0.01,0,"10,322",227.07%,0.00,0.0000,0.00,0.00
110.00,0.01,0.00,0.01,0.01,1,389,209.82%,0.00,0.0000,0.00,0.00
120.00,0.02,0.01,0.02,0.02,"8,902",288,210.71%,0.00,0.0000,-0.01,0.00
130.00,0.02,0.00,0.01,0.02,8,195,188.98%,0.00,0.0000,-0.01,0.00
135.00,0.03,0.00,0.02,0.03,1,"2,432",187.73%,0.00,0.0000,-0.01,0.00
140.00,0.03,0.00,0.02,0.03,1,50,180.63%,0.00,0.0000,-0.01,0.00
145.00,0.03,0.00,0.02,0.03,1,520,173.78%,0.00,0.0000,-0.01,0.00
150.00,0.03,0.01,0.02,0.03,9,703,171.21%,0.00,0.0000,-0.01,0.00
155.00,0.01,0.00,0.02,0.03,1,194,160.77%,0.00,0.0000,-0.01,0.00
160.00,0.03,0.01,0.02,0.03,12,"1,092",158.32%,0.00,0.0000,-0.01,0.00
165.00,0.03,0.01,0.02,0.03,42,434,152.18%,0.00,0.0000,-0.01,0.00
170.00,0.02,0.02,0.03,0.03,16,"17,621",149.08%,0.00,0.0000,-0.02,0.00
175.00,0.02,0.01,0.02,0.03,451,"1,752",140.42%,0.00,0.0000,-0.01,0.00
180.00,0.03,0.02,0.03,0.04,70,"1,318",139.73%,0.00,0.0001,-0.02,0.00
185.00,0.03,0.02,0.03,0.03,327,909,131.86%,0.00,0.0001,-0.02,0.00
190.00,0.02,0.02,0.03,0.03,46,"1,241",126.42%,0.00,0.0001,-0.02,0.00
195.00,0.04,0.03,0.04,0.05,539,434,126.55%,0.00,0.0001,-0.02,0.00
200.00,0.03,0.03,0.04,0.05,"1,915","5,778",121.16%,0.00,0.0001,-0.02,0.00
205.00,0.05,0.04,0.05,0.05,165,"1,414",117.25%,0.00,0.0001,-0.03,0.00
