Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
50.00,-,287.40,290.03,292.65,0,0,315.36%,0.99,0.0001,-0.09,0.02
60.00,-,277.30,280.00,282.70,0,0,281.71%,0.99,0.0001,-0.08,0.02
70.00,-,267.50,270.10,272.70,0,0,260.07%,0.99,0.0001,-0.09,0.02
80.00,262.73,258.60,259.45,260.30,1,0,188.56%,1.00,0.0000,-0.03,0.01
90.00,-,248.60,249.48,250.35,0,0,172.01%,1.00,0.0000,-0.03,0.01
100.00,-,238.65,239.55,240.45,0,0,163.78%,1.00,0.0001,-0.03,0.01
110.00,-,228.70,229.60,230.50,0,0,153.01%,1.00,0.0001,-0.04,0.01
120.00,-,218.75,219.78,220.80,0,0,152.28%,0.99,0.0001,-0.05,0.02
130.00,-,208.80,209.73,210.65,0,1,135.68%,1.00,0.0001,-0.04,0.01
135.00,-,203.85,204.75,205.65,0,0,131.16%,0.99,0.0001,-0.04,0.01
140.00,-,198.90,199.80,200.70,0,1,128.36%,0.99,0.0001,-0.05,0.02
145.00,-,193.95,194.85,195.75,0,1,125.45%,0.99,0.0001,-0.05,0.02
150.00,-,189.00,189.88,190.75,0,1,121.18%,0.99,0.0002,-0.05,0.02
155.00,-,184.00,184.90,185.80,0,0,117.04%,0.99,0.0002,-0.05,0.02
160.00,-,179.05,179.95,180.85,0,0,114.15%,0.99,0.0002,-0.06,0.02
165.00,-,174.10,174.98,175.85,0,0,110.18%,0.99,0.0002,-0.06,0.02
170.00,-,169.15,170.03,170.90,0,1,107.30%,0.99,0.0002,-0.06,0.03
175.00,-,164.20,165.08,165.95,0,0,104.38%,0.99,0.0003,-0.06,0.03
180.00,-,159.25,160.25,161.25,0,1,105.24%,0.99,0.0003,-0.08,0.04
185.00,-,154.25,155.15,156.05,0,0,97.72%,0.99,0.0003,-0.07,0.03
190.00,-,149.30,150.30,151.30,0,0,97.57%,0.98,0.0004,-0.08,0.04
195.00,-,144.35,145.35,146.35,0,0,94.47%,0.98,0.0004,-0.08,0.04
200.00,143.37,139.45,140.43,141.40,1,0,91.95%,0.98,0.0005,-0.09,0.05
205.00,-,134.50,135.45,136.40,0,0,88.32%,0.98,0.0005,-0.09,0.05
210.00,-,129.55,130.50,131.45,0,0,85.27%,0.98,0.0006,-0.09,0.05
215.00,-,124.60,125.55,126.50,0,0,82.23%,0.98,0.0006,-0.09,0.05
220.00,-,119.70,120.63,121.55,0,1,79.65%,0.98,0.0007,-0.10,0.06
225.00,117.95,114.75,115.65,116.55,3,17,76.21%,0.97,0.0008,-0.10,0.06
