Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
5.00,344.83,344.70,346.75,348.80,10,"4,853",0.00%,1.00,0.0000,0.00,0.00
10.00,-,339.90,341.88,343.85,0,"2,552",0.00%,1.00,0.0000,0.00,0.00
15.00,-,335.50,336.95,338.40,0,162,0.00%,1.00,0.0000,0.00,0.00
20.00,329.00,330.65,332.00,333.35,1,97,0.00%,1.00,0.0000,0.00,0.00
25.00,324.25,325.65,327.10,328.55,1,439,0.00%,1.00,0.0000,0.00,0.00
30.00,319.30,320.85,322.50,324.15,1,124,0.00%,1.00,0.0000,0.00,0.00
35.00,314.05,315.80,317.28,318.75,1,341,0.00%,1.00,0.0000,0.00,0.00
40.00,309.25,311.00,312.35,313.70,1,57,0.00%,1.00,0.0000,0.00,0.00
45.00,-,306.00,307.45,308.90,0,33,0.00%,1.00,0.0000,-0.01,0.00
50.00,299.50,300.40,302.83,305.25,611,613,0.00%,1.00,0.0000,-0.01,0.00
55.00,293.38,296.20,297.60,299.00,1,45,0.00%,1.00,0.0000,-0.01,0.00
60.00,286.71,291.40,292.65,293.90,1,225,0.00%,1.00,0.0000,-0.01,0.00
70.00,-,282.35,283.25,284.15,0,67,100.91%,1.00,0.0000,-0.01,0.01
75.00,271.91,276.60,278.03,279.45,1,142,0.00%,1.00,0.0000,-0.01,0.00
80.00,267.42,272.55,273.38,274.20,1,366,92.12%,1.00,0.0000,-0.01,0.01
85.00,-,267.60,268.65,269.70,0,83,105.94%,1.00,0.0000,-0.02,0.02
90.00,-,262.60,263.90,265.20,0,"8,116",109.17%,0.99,0.0001,-0.02,0.03
95.00,-,257.35,258.63,259.90,0,"7,744",88.44%,1.00,0.0000,-0.01,0.01
100.00,246.59,252.15,253.88,255.60,14,"6,354",95.68%,1.00,0.0001,-0.02,0.02
105.00,243.58,248.10,248.98,249.85,8,321,93.51%,1.00,0.0001,-0.02,0.03
110.00,238.51,243.15,244.03,244.90,2,304,89.60%,1.00,0.0001,-0.02,0.03
115.00,233.63,238.35,239.18,240.00,2,304,89.15%,0.99,0.0001,-0.03,0.03
120.00,228.99,233.20,234.27,235.35,2,757,86.97%,0.99,0.0001,-0.03,0.04
125.00,225.02,228.50,229.43,230.35,7,173,86.03%,0.99,0.0001,-0.03,0.04
130.00,219.00,223.70,224.55,225.40,8,262,84.33%,0.99,0.0001,-0.03,0.05
135.00,215.15,218.90,219.73,220.55,3,450,83.52%,0.99,0.0002,-0.03,0.05
140.00,208.10,213.70,214.70,215.70,1,"2,903",78.97%,0.99,0.0002,-0.03,0.05
145.00,-,209.15,209.98,210.80,0,377,79.79%,0.99,0.0002,-0.04,0.06
150.00,198.92,204.00,205.05,206.10,1,"1,040",77.18%,0.99,0.0002,-0.04,0.07
155.00,193.55,199.55,200.28,201.00,1,225,76.69%,0.98,0.0003,-0.04,0.08
160.00,189.05,194.40,195.55,196.70,1,586,76.52%,0.98,0.0003,-0.05,0.09
165.00,183.65,189.60,190.63,191.65,1,604,73.99%,0.98,0.0003,-0.05,0.09
170.00,180.49,185.00,185.75,186.50,1,"1,413",72.03%,0.98,0.0004,-0.05,0.10
175.00,175.60,179.95,180.88,181.80,1,730,70.10%,0.98,0.0004,-0.05,0.10
180.00,173.00,175.60,176.20,176.80,4,"2,095",69.92%,0.97,0.0004,-0.06,0.12
185.00,166.65,170.55,171.38,172.20,1,759,68.33%,0.97,0.0005,-0.06,0.13
190.00,162.00,166.05,166.65,167.25,1,"2,096",67.45%,0.97,0.0005,-0.06,0.14
