Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
5.00,-,0.00,0.01,0.01,0,"24,897",228.21%,0.00,0.0000,0.00,0.00
10.00,-,0.00,0.01,0.01,0,"10,873",188.06%,0.00,0.0000,0.00,0.00
15.00,-,0.00,0.01,0.01,0,"11,669",165.45%,0.00,0.0000,0.00,0.00
20.00,0.05,0.00,0.01,0.01,1,"9,411",149.74%,0.00,0.0000,0.00,0.00
25.00,-,0.00,0.03,0.05,0,"2,209",155.92%,0.00,0.0000,0.00,0.00
30.00,-,0.01,0.07,0.13,0,"3,539",159.19%,0.00,0.0000,0.00,0.00
35.00,-,0.00,0.05,0.09,0,"1,584",142.80%,0.00,0.0000,0.00,0.00
40.00,-,0.01,0.08,0.15,0,"2,238",142.02%,0.00,0.0000,0.00,0.01
45.00,0.07,0.04,0.07,0.09,1,"2,003",131.53%,0.00,0.0000,0.00,0.01
50.00,0.11,0.06,0.11,0.16,633,"3,309",131.55%,0.00,0.0000,0.00,0.01
55.00,-,0.05,0.12,0.19,0,"1,278",126.28%,0.00,0.0000,0.00,0.01
60.00,0.12,0.10,0.15,0.20,1,"2,215",123.34%,0.00,0.0000,-0.01,0.01
70.00,0.21,0.20,0.22,0.24,8,"2,461",117.77%,0.00,0.0000,-0.01,0.02
75.00,0.24,0.21,0.23,0.25,3,"1,855",113.45%,0.00,0.0000,-0.01,0.02
80.00,0.29,0.25,0.29,0.33,10,"11,731",111.94%,0.00,0.0000,-0.01,0.02
85.00,-,0.27,0.32,0.37,0,"1,206",108.84%,0.00,0.0001,-0.01,0.02
90.00,0.37,0.32,0.37,0.41,2,"1,525",106.40%,0.00,0.0001,-0.01,0.03
95.00,-,0.37,0.41,0.45,0,"4,606",103.94%,-0.01,0.0001,-0.01,0.03
100.00,0.45,0.41,0.45,0.49,21,"13,915",101.32%,-0.01,0.0001,-0.01,0.03
105.00,0.49,0.46,0.50,0.54,16,"1,463",99.02%,-0.01,0.0001,-0.02,0.04
110.00,-,0.49,0.53,0.58,0,"3,704",96.33%,-0.01,0.0001,-0.02,0.04
115.00,-,0.52,0.58,0.64,0,928,93.95%,-0.01,0.0001,-0.02,0.04
120.00,-,0.60,0.64,0.67,0,"4,478",91.82%,-0.01,0.0001,-0.02,0.05
125.00,0.74,0.63,0.68,0.72,40,"2,308",89.39%,-0.01,0.0001,-0.02,0.05
130.00,0.72,0.70,0.73,0.75,2,"9,498",87.19%,-0.01,0.0002,-0.02,0.05
135.00,0.79,0.75,0.78,0.82,1,"2,596",85.19%,-0.01,0.0002,-0.02,0.06
140.00,0.88,0.81,0.85,0.89,1,"2,916",83.26%,-0.01,0.0002,-0.02,0.06
145.00,0.94,0.89,0.93,0.96,28,"2,280",81.48%,-0.01,0.0002,-0.02,0.07
150.00,1.02,1.00,1.02,1.04,555,"11,207",79.94%,-0.02,0.0002,-0.03,0.08
155.00,-,1.05,1.09,1.13,0,"3,183",78.04%,-0.02,0.0003,-0.03,0.08
160.00,1.20,1.12,1.17,1.21,20,"10,894",76.21%,-0.02,0.0003,-0.03,0.09
165.00,1.32,1.26,1.29,1.31,13,"8,006",74.84%,-0.02,0.0003,-0.03,0.10
170.00,1.41,1.37,1.40,1.42,2,"7,697",73.31%,-0.02,0.0004,-0.03,0.10
175.00,-,1.49,1.52,1.54,0,"9,133",71.84%,-0.02,0.0004,-0.03,0.11
180.00,1.67,1.62,1.65,1.67,6,"5,407",70.41%,-0.03,0.0004,-0.04,0.12
185.00,1.84,1.76,1.78,1.80,5,"1,521",68.97%,-0.03,0.0005,-0.04,0.13
190.00,1.94,1.91,1.94,1.96,9,"3,932",67.64%,-0.03,0.0005,-0.04,0.14
195.00,2.12,2.09,2.12,2.14,3,"5,158",66.42%,-0.04,0.0006,-0.04,0.15
200.00,2.37,2.30,2.32,2.34,43,"18,183",65.29%,-0.04,0.0007,-0.05,0.17
205.00,2.63,2.50,2.53,2.55,6,"4,241",64.08%,-0.04,0.0007,-0.05,0.18
210.00,2.80,2.75,2.78,2.80,17,"9,606",63.04%,-0.05,0.0008,-0.05,0.19
215.00,3.12,3.00,3.05,3.10,11,"1,482",62.04%,-0.05,0.0009,-0.05,0.21
220.00,3.44,3.30,3.35,3.40,6,"7,906",61.07%,-0.06,0.0009,-0.06,0.23
225.00,3.70,3.65,3.70,3.75,20,"1,847",60.21%,-0.06,0.0010,-0.06,0.24
230.00,4.30,4.05,4.10,4.15,58,"12,086",59.44%,-0.07,0.0011,-0.06,0.26
235.00,4.75,4.50,4.55,4.60,7,"2,097",58.74%,-0.08,0.0012,-0.07,0.28
240.00,5.15,4.95,5.03,5.10,7,"5,672",58.00%,-0.08,0.0013,-0.07,0.30
245.00,5.64,5.50,5.58,5.65,45,"1,421",57.38%,-0.09,0.0015,-0.08,0.33
250.00,6.15,6.10,6.18,6.25,221,"17,141",56.77%,-0.10,0.0016,-0.08,0.35
255.00,7.15,6.80,6.85,6.90,30,"5,678",56.25%,-0.11,0.0017,-0.09,0.37
260.00,7.64,7.55,7.60,7.65,56,"9,144",55.77%,-0.12,0.0018,-0.09,0.40
265.00,8.50,8.35,8.43,8.50,33,"1,419",55.33%,-0.13,0.0020,-0.10,0.42
